state,value,name
CA,0.06,California
DE,0.02,Delaware
AL,0.05,Alabama
AK,0.64,Alaska
AR,0.08,Arkansas
AZ,0.05,Arizona
CO,0.05,Colorado
CT,0.12,Connecticut
DC,0.12,District of Columbia
FL,0.04,Florida
GA,0.04,Georgia
HI,0.09,Hawaii
ID,0.14,Idaho
IL,0.04,Illinois
IN,0.06,Indiana
IA,0.06,Iowa
KS,0.08,Kansas
KY,0.15,Kentucky
LA,0.1,Louisiana
MA,0.04,Massachusetts
MD,0.02,Maryland
ME,0.16,Maine
MI,0.04,Michigan
MN,0.03,Minnesota
MO,0.08,Missouri
MS,0.12,Mississippi
MT,0.2,Montana
NC,0.06,North Carolina
ND,0.1,North Dakota
NE,0.05,Nebraska
NH,0.06,New Hampshire
NJ,0.02,New Jersey
NM,0.09,New Mexico
NV,0.03,Nevada
NY,0.04,New York
OH,0.04,Ohio
OK,0.07,Oklahoma
OR,0.1,Oregon
PA,0.04,Palmyra Atoll
PR,0.03,Puerto Rico
RI,0.06,Rhode Island
SC,0.05,South Carolina
SD,0.1,South Dakota
TN,0.04,Tennessee
TX,0.02,Texas
UT,0.03,Utah
VA,0.02,Virginia
VT,0.14,Vermont
WA,0.07,Washington
WI,0.06,Wake Island
WV,0.28,West Virginia
WY,0.07,Wyoming
