id,state,county,population
01001,Alabama,Autauga County,55639.0
01003,Alabama,Baldwin County,218289.0
01005,Alabama,Barbour County,25026.0
01007,Alabama,Bibb County,22374.0
01009,Alabama,Blount County,57755.0
01011,Alabama,Bullock County,10173.0
01013,Alabama,Butler County,19726.0
01015,Alabama,Calhoun County,114324.0
01017,Alabama,Chambers County,33427.0
01019,Alabama,Cherokee County,26035.0
01021,Alabama,Chilton County,44147.0
01023,Alabama,Choctaw County,12755.0
01025,Alabama,Clarke County,23866.0
01027,Alabama,Clay County,13285.0
01029,Alabama,Cleburne County,14952.0
01031,Alabama,Coffee County,52238.0
01033,Alabama,Colbert County,54957.0
01035,Alabama,Conecuh County,12219.0
01037,Alabama,Coosa County,10696.0
01039,Alabama,Covington County,37096.0
01041,Alabama,Crenshaw County,13826.0
01043,Alabama,Cullman County,83345.0
01045,Alabama,Dale County,49293.0
01047,Alabama,Dallas County,38184.0
01049,Alabama,DeKalb County,71430.0
01051,Alabama,Elmore County,81526.0
01053,Alabama,Escambia County,36775.0
01055,Alabama,Etowah County,102721.0
01057,Alabama,Fayette County,16406.0
01059,Alabama,Franklin County,31587.0
01061,Alabama,Geneva County,26383.0
01063,Alabama,Greene County,8221.0
01065,Alabama,Hale County,14754.0
01067,Alabama,Henry County,17123.0
01069,Alabama,Houston County,105319.0
01071,Alabama,Jackson County,51765.0
01073,Alabama,Jefferson County,658615.0
01075,Alabama,Lamar County,13854.0
01077,Alabama,Lauderdale County,92870.0
01079,Alabama,Lawrence County,32969.0
01081,Alabama,Lee County,163461.0
01083,Alabama,Limestone County,96921.0
01085,Alabama,Lowndes County,9936.0
01087,Alabama,Macon County,18437.0
01089,Alabama,Madison County,367686.0
01091,Alabama,Marengo County,19138.0
01093,Alabama,Marion County,29818.0
01095,Alabama,Marshall County,96137.0
01097,Alabama,Mobile County,413977.0
01099,Alabama,Monroe County,21006.0
01101,Alabama,Montgomery County,226451.0
01103,Alabama,Morgan County,119352.0
01105,Alabama,Perry County,9104.0
01107,Alabama,Pickens County,20049.0
01109,Alabama,Pike County,33274.0
01111,Alabama,Randolph County,22732.0
01113,Alabama,Russell County,57938.0
01115,Alabama,St. Clair County,88929.0
01117,Alabama,Shelby County,216350.0
01119,Alabama,Sumter County,12595.0
01121,Alabama,Talladega County,80244.0
01123,Alabama,Tallapoosa County,40450.0
01125,Alabama,Tuscaloosa County,208854.0
01127,Alabama,Walker County,63802.0
01129,Alabama,Washington County,16336.0
01131,Alabama,Wilcox County,10552.0
01133,Alabama,Winston County,23712.0
02013,Alaska,Aleutians East Borough,3389.0
02016,Alaska,Aleutians West Census Area,5708.0
02020,Alaska,Anchorage Municipality,292090.0
02050,Alaska,Bethel Census Area,18263.0
02060,Alaska,Bristol Bay Borough,739.0
02063,Alaska,Chugach Census Area,6495.0
02066,Alaska,Copper River Census Area,2894.0
02068,Alaska,Denali Borough,2502.0
02070,Alaska,Dillingham Census Area,4934.0
02090,Alaska,Fairbanks North Star Borough,98455.0
02100,Alaska,Haines Borough,2547.0
02105,Alaska,Hoonah-Angoon Census Area,2135.0
02110,Alaska,Juneau City and Borough,32099.0
02122,Alaska,Kenai Peninsula Borough,58809.0
02130,Alaska,Ketchikan Gateway Borough,13833.0
02150,Alaska,Kodiak Island Borough,13383.0
02158,Alaska,Kusilvak Census Area,8298.0
02164,Alaska,Lake and Peninsula Borough,1156.0
02170,Alaska,Matanuska-Susitna Borough,107360.0
02180,Alaska,Nome Census Area,10009.0
02185,Alaska,North Slope Borough,9375.0
02188,Alaska,Northwest Arctic Borough,7709.0
02195,Alaska,Petersburg Borough,3278.0
02198,Alaska,Prince of Wales-Hyder Census Area,6338.0
02220,Alaska,Sitka City and Borough,8569.0
02230,Alaska,Skagway Municipality,1300.0
02240,Alaska,Southeast Fairbanks Census Area,6911.0
02275,Alaska,Wrangell City and Borough,2510.0
02282,Alaska,Yakutat City and Borough,597.0
02290,Alaska,Yukon-Koyukuk Census Area,5305.0
04001,Arizona,Apache County,71714.0
04003,Arizona,Cochise County,126442.0
04005,Arizona,Coconino County,142254.0
04007,Arizona,Gila County,53846.0
04009,Arizona,Graham County,38304.0
04011,Arizona,Greenlee County,9465.0
04012,Arizona,La Paz County,21035.0
04013,Arizona,Maricopa County,4412779.0
04015,Arizona,Mohave County,210998.0
04017,Arizona,Navajo County,110271.0
04019,Arizona,Pima County,1038476.0
04021,Arizona,Pinal County,447559.0
04023,Arizona,Santa Cruz County,46594.0
04025,Arizona,Yavapai County,232396.0
04027,Arizona,Yuma County,211931.0
05001,Arkansas,Arkansas County,17761.0
05003,Arkansas,Ashley County,20000.0
05005,Arkansas,Baxter County,41673.0
05007,Arkansas,Benton County,273510.0
05009,Arkansas,Boone County,37525.0
05011,Arkansas,Bradley County,10805.0
05013,Arkansas,Calhoun County,5160.0
05015,Arkansas,Carroll County,28062.0
05017,Arkansas,Chicot County,10433.0
05019,Arkansas,Clark County,22341.0
05021,Arkansas,Clay County,14710.0
05023,Arkansas,Cleburne County,25063.0
