state,population,id
Alabama,4893186,01
Alaska,736990,02
Arizona,7174064,04
Arkansas,3011873,05
California,39346023,06
Colorado,5684926,08
Connecticut,3570549,09
Delaware,967679,10
District of Columbia,701974,11
Florida,21216924,12
Georgia,10516579,13
Hawaii,1420074,15
Idaho,1754367,16
Illinois,12716164,17
Indiana,6696893,18
Iowa,3150011,19
Kansas,2912619,20
Kentucky,4461952,21
Louisiana,4664616,22
Maine,1340825,23
Maryland,6037624,24
Massachusetts,6873003,25
Michigan,9973907,26
Minnesota,5600166,27
Mississippi,2981835,28
Missouri,6124160,29
Montana,1061705,30
Nebraska,1923826,31
Nevada,3030281,32
New Hampshire,1355244,33
New Jersey,8885418,34
New Mexico,2097021,35
New York,19514849,36
North Carolina,10386227,37
North Dakota,760394,38
Ohio,11675275,39
Oklahoma,3949342,40
Oregon,4176346,41
Pennsylvania,12794885,42
Puerto Rico,3255642,72
Rhode Island,1057798,44
South Carolina,5091517,45
South Dakota,879336,46
Tennessee,6772268,47
Texas,28635442,48
Utah,3151239,49
Vermont,624340,50
Virginia,8509358,51
Washington,7512465,53
West Virginia,1807426,54
Wisconsin,5806975,55
Wyoming,581348,56
