Week,anxiety,panic,depression,stress,trauma,mental health,medication,therapist,counseling,meditation
2018/10/28,77,29,78,54,15,41,63,36,42,24
2018/11/4,84,28,77,60,15,44,57,35,43,25
2018/11/11,81,29,81,53,15,40,62,32,40,24
2018/11/18,73,27,63,42,13,28,50,24,29,20
2018/11/25,85,29,80,56,15,41,63,33,44,25
2018/12/2,85,28,81,61,15,41,67,34,38,25
2018/12/9,81,28,81,58,14,37,59,32,38,25
2018/12/16,77,33,78,47,13,34,56,32,35,23
2018/12/23,67,28,55,32,11,21,51,22,21,20
2018/12/30,78,33,58,37,12,31,59,30,34,27
2019/1/6,83,33,75,46,14,38,62,38,44,28
2019/1/13,86,34,78,49,14,38,62,38,43,26
2019/1/20,81,34,71,50,13,37,64,37,40,26
2019/1/27,80,35,74,50,15,40,64,35,44,25
2019/2/3,81,32,79,54,15,40,63,35,44,26
2019/2/10,82,31,81,54,15,42,65,34,42,27
2019/2/17,85,29,81,52,14,39,63,36,42,25
2019/2/24,83,26,78,56,15,40,64,36,44,27
2019/3/3,84,26,92,56,16,41,67,35,43,26
2019/3/10,84,25,80,55,15,40,64,34,44,25
2019/3/17,84,25,87,54,15,41,67,35,42,26
2019/3/24,84,24,78,52,15,40,66,36,42,26
2019/3/31,84,23,81,56,15,43,63,38,42,27
2019/4/7,81,23,79,56,15,43,65,37,44,26
2019/4/14,76,21,71,53,15,41,62,33,40,25
2019/4/21,80,25,77,54,16,44,64,37,42,25
2019/4/28,82,35,75,58,17,50,62,38,44,25
2019/5/5,81,26,76,54,16,48,62,38,42,25
2019/5/12,82,23,70,50,16,46,63,38,42,25
2019/5/19,75,24,70,49,14,40,60,37,40,24
2019/5/26,74,21,65,44,14,37,57,33,40,23
2019/6/2,76,22,63,45,16,38,64,35,41,24
2019/6/9,77,22,58,44,14,37,60,35,42,24
2019/6/16,74,22,58,46,15,38,63,36,41,24
2019/6/23,80,23,56,45,14,38,66,35,41,23
2019/6/30,74,21,53,40,14,32,59,31,35,21
2019/7/7,80,20,60,44,14,37,61,36,43,22
2019/7/14,75,21,55,43,15,37,63,37,41,25
2019/7/21,82,20,60,45,15,34,61,36,41,24
2019/7/28,81,21,57,45,15,35,59,37,42,24
2019/8/4,81,25,56,45,14,43,61,36,44,23
2019/8/11,81,21,52,45,15,37,62,37,45,24
2019/8/18,81,20,58,47,15,38,65,39,45,26
2019/8/25,79,21,58,47,14,37,62,36,46,24
2019/9/1,76,21,54,48,14,37,57,35,40,24
2019/9/8,83,22,67,53,15,43,62,39,47,25
2019/9/15,80,22,68,56,16,43,67,40,46,28
2019/9/22,84,21,68,59,16,45,67,38,47,27
2019/9/29,83,22,70,57,17,44,67,39,46,26
2019/10/6,83,21,68,53,14,61,66,38,43,29
2019/10/13,80,21,71,54,16,46,66,39,44,26
2019/10/20,81,24,69,56,16,47,67,39,46,26
2019/10/27,79,23,70,51,16,46,62,36,43,24
2019/11/3,85,24,77,55,18,46,70,40,45,26
2019/11/10,77,20,74,53,16,43,60,35,43,26
2019/11/17,86,22,78,58,17,47,68,38,44,26
2019/11/24,72,22,59,43,14,31,56,28,29,20
2019/12/1,82,21,76,56,16,43,61,37,41,25
2019/12/8,77,21,72,55,16,41,60,35,40,23
2019/12/15,72,20,65,46,14,36,57,33,34,24
2019/12/22,66,18,48,34,12,22,51,27,23,20
2019/12/29,77,22,55,36,13,29,57,34,34,27
2020/1/5,83,20,62,44,14,40,66,40,45,28
2020/1/12,84,21,67,49,15,41,68,40,46,28
2020/1/19,82,22,68,49,16,41,68,39,47,27
2020/1/26,85,24,73,55,24,44,67,41,48,27
2020/2/2,84,22,75,54,21,44,68,39,47,26
2020/2/9,80,22,73,54,21,45,67,38,43,27
2020/2/16,87,22,74,54,19,44,69,43,44,27
2020/2/23,81,25,79,57,19,47,71,40,45,28
2020/3/1,81,30,77,55,17,45,66,38,45,25
2020/3/8,74,41,72,52,14,39,62,32,38,23
2020/3/15,72,38,81,45,12,35,60,26,31,25
2020/3/22,80,28,79,49,12,35,62,25,27,28
2020/3/29,84,28,81,54,14,37,58,26,26,28
2020/4/5,77,26,78,51,14,37,60,28,27,31
2020/4/12,78,24,78,50,15,37,54,27,29,27
2020/4/19,76,25,80,51,16,38,55,28,29,28
2020/4/26,79,25,76,51,16,42,58,30,30,26
2020/5/3,75,23,73,49,15,45,55,31,32,26
2020/5/10,78,25,74,48,17,41,54,31,32,27
2020/5/17,78,23,68,44,16,38,55,32,31,27
2020/5/24,77,22,58,42,15,37,58,31,30,26
2020/5/31,72,19,54,43,16,35,55,30,34,25
2020/6/7,79,21,57,45,17,39,60,36,36,25
2020/6/14,82,21,57,44,16,38,59,35,36,24
2020/6/21,87,22,58,48,16,37,60,37,35,25
2020/6/28,86,21,58,43,15,35,57,37,33,25
2020/7/5,86,21,57,46,16,38,58,36,37,26
2020/7/12,85,22,57,48,16,38,63,36,38,26
2020/7/19,87,20,60,46,16,44,62,37,36,26
2020/7/26,82,20,60,45,17,39,61,34,39,25
2020/8/2,84,21,60,45,16,39,61,39,38,26
2020/8/9,82,20,56,44,16,37,58,35,37,25
2020/8/16,84,21,66,46,17,39,59,38,40,24
2020/8/23,83,19,58,50,17,41,58,37,39,24
2020/8/30,86,20,60,52,17,43,61,40,39,25
2020/9/6,82,21,65,55,17,44,58,38,38,26
2020/9/13,87,21,67,62,18,49,62,39,39,26
2020/9/20,82,20,64,59,17,46,62,38,39,25
2020/9/27,86,20,62,57,17,44,63,36,37,23
2020/10/4,88,20,64,58,19,58,68,38,39,25
2020/10/11,86,20,66,53,17,50,68,38,37,25
2020/10/18,85,20,66,54,16,44,66,38,37,25
2020/10/25,85,21,65,53,17,42,64,36,36,24
2020/11/1,71,17,55,50,13,35,54,30,32,20
2020/11/8,81,18,66,53,16,42,63,36,34,24
2020/11/15,87,19,71,55,17,44,67,37,36,24
2020/11/22,75,18,55,42,14,33,55,29,26,21
2020/11/29,85,16,66,49,16,41,61,37,35,24
2020/12/6,83,18,67,50,15,40,64,35,34,23
