,rank,state,percent,number
0,1,Georgia,6.32,"484,000"
1,2,Texas,6.44,"1,307,000"
2,3,West Virginia,6.47,"92,000"
3,4,New Jersey,6.52,"449,000"
4,5,North Carolina,6.54,"504,000"
5,6,Mississippi,6.77,"149,000"
6,7,Alabama,6.86,"253,000"
7,8,Tennessee,6.94,"353,000"
8,9,Minnesota,6.97,"293,000"
9,10,Hawaii,7.03,"75,000"
10,11,Florida,7.16,"1,166,000"
11,12,Utah,7.19,"153,000"
12,13,Pennsylvania,7.22,"717,000"
13,14,Kansas,7.24,"155,000"
14,15,Kentucky,7.47,"251,000"
15,16,Indiana,7.56,"377,000"
16,17,Missouri,7.66,"353,000"
17,18,Arkansas,7.72,"173,000"
18,19,Arizona,7.73,"405,000"
19,20,California,7.78,"2,319,000"
20,21,Oklahoma,7.78,"225,000"
21,22,Virginia,7.78,"495,000"
22,23,South Carolina,7.86,"298,000"
23,24,Maryland,7.89,"362,000"
24,25,Michigan,7.93,"608,000"
25,26,New York,8.04,"1,238,000"
26,27,Wyoming,8.05,"35,000"
27,28,Ohio,8.05,"713,000"
28,29,Nebraska,8.08,"114,000"
29,30,Idaho,8.18,"101,000"
30,31,New Mexico,8.22,"128,000"
31,32,Illinois,8.32,"808,000"
32,33,Nevada,8.32,"187,000"
33,34,Maine,8.36,"89,000"
34,35,Louisiana,8.46,"293,000"
35,36,Wisconsin,8.52,"378,000"
36,37,North Dakota,8.60,"49,000"
37,38,New Hampshire,8.69,"92,000"
38,39,Rhode Island,8.77,"73,000"
39,40,Connecticut,8.77,"244,000"
40,41,Washington,8.89,"497,000"
41,42,Delaware,8.93,"66,000"
42,43,Colorado,9.07,"383,000"
43,44,Iowa,9.20,"218,000"
44,45,Montana,9.23,"74,000"
45,46,Alaska,9.26,"49,000"
46,47,South Dakota,9.56,"61,000"
47,48,Oregon,9.76,"313,000"
48,49,Vermont,9.99,"50,000"
49,50,Massachusetts,10.13,"546,000"
50,51,District of Columbia,11.55,"64,000"
51,,National,7.68,"18,878,000"
