,rank,state,percent,number
0,1,District of Columbia,10.49,"3,000"
1,2,Louisiana,10.76,"39,000"
2,3,New Jersey,11.17,"77,000"
3,4,Georgia,11.44,"99,000"
4,5,New York,11.46,"161,000"
5,6,Mississippi,11.56,"28,000"
6,7,Delaware,11.58,"8,000"
7,8,Alabama,11.90,"45,000"
8,9,Kentucky,11.94,"41,000"
9,10,Hawaii,11.97,"11,000"
10,11,North Carolina,12.03,"95,000"
11,12,North Dakota,12.13,"6,000"
12,13,Texas,12.19,"296,000"
13,14,Pennsylvania,12.23,"113,000"
14,15,South Carolina,12.31,"46,000"
15,16,South Dakota,12.56,"8,000"
16,17,Tennessee,12.79,"65,000"
17,18,Vermont,12.83,"5,000"
18,19,Maryland,12.91,"59,000"
19,20,Nebraska,13.01,"20,000"
20,21,Arizona,13.06,"72,000"
21,22,Florida,13.09,"185,000"
22,23,Connecticut,13.16,"36,000"
23,24,Virginia,13.22,"83,000"
24,25,California,13.23,"401,000"
25,26,Rhode Island,13.30,"10,000"
26,27,Arkansas,13.36,"32,000"
27,28,Minnesota,13.56,"58,000"
28,29,Massachusetts,13.60,"66,000"
29,30,Wisconsin,13.66,"61,000"
30,31,Indiana,13.77,"74,000"
31,32,Kansas,13.84,"33,000"
32,33,Oklahoma,13.86,"44,000"
33,34,Michigan,13.87,"107,000"
34,35,Colorado,13.89,"59,000"
35,36,New Hampshire,13.91,"13,000"
36,37,Washington,13.98,"75,000"
37,38,Illinois,14.00,"141,000"
38,39,West Virginia,14.05,"18,000"
39,40,Montana,14.07,"11,000"
40,41,Iowa,14.10,"34,000"
41,42,Wyoming,14.20,"6,000"
42,43,Alaska,14.27,"8,000"
43,44,Ohio,14.35,"129,000"
44,45,Missouri,14.57,"68,000"
45,46,New Mexico,14.88,"25,000"
46,47,Nevada,14.97,"34,000"
47,48,Maine,15.07,"14,000"
48,49,Utah,15.48,"47,000"
49,50,Idaho,16.22,"24,000"
50,51,Oregon,16.34,"48,000"
51,,National,13.01,"3,243,000"
