,rank,state,percent,number
0,1,Georgia,3.18,"27,000"
1,2,Pennsylvania,3.19,"29,000"
2,3,Indiana,3.29,"18,000"
3,4,New Jersey,3.34,"23,000"
4,5,Maryland,3.45,"16,000"
5,6,Mississippi,3.49,"9,000"
6,7,Texas,3.61,"88,000"
7,8,Kentucky,3.62,"12,000"
8,9,North Carolina,3.63,"29,000"
9,10,Virginia,3.65,"23,000"
10,11,Missouri,3.72,"17,000"
11,12,Utah,3.84,"12,000"
12,13,Tennessee,3.86,"20,000"
13,14,Michigan,3.87,"30,000"
14,15,Louisiana,3.89,"14,000"
15,16,Hawaii,3.93,"4,000"
16,17,Alabama,3.96,"15,000"
17,18,Ohio,3.99,"36,000"
18,19,New York,4.04,"57,000"
19,20,Nebraska,4.05,"6,000"
20,21,South Carolina,4.09,"15,000"
21,22,Kansas,4.09,"10,000"
22,23,Arkansas,4.10,"10,000"
23,24,Iowa,4.18,"10,000"
24,25,Wisconsin,4.23,"19,000"
25,26,New Hampshire,4.25,"4,000"
26,27,Massachusetts,4.26,"21,000"
27,28,Minnesota,4.27,"18,000"
28,29,Delaware,4.32,"3,000"
29,30,Oklahoma,4.36,"14,000"
30,31,North Dakota,4.39,"2,000"
31,32,West Virginia,4.42,"6,000"
32,33,Florida,4.54,"64,000"
33,34,California,4.63,"140,000"
34,35,Connecticut,4.64,"13,000"
35,36,Idaho,4.65,"7,000"
36,37,Illinois,4.67,"47,000"
37,38,Rhode Island,4.69,"3,000"
38,39,Maine,4.75,"4,000"
39,40,Arizona,4.77,"26,000"
40,41,District of Columbia,5.14,"2,000"
41,42,Washington,5.18,"28,000"
42,43,Nevada,5.20,"12,000"
43,44,Oregon,5.30,"16,000"
44,45,Wyoming,5.40,"2,000"
45,46,Vermont,5.47,"2,000"
46,47,South Dakota,5.59,"4,000"
47,48,Colorado,5.60,"24,000"
48,49,New Mexico,6.01,"10,000"
49,50,Montana,6.30,"5,000"
50,51,Alaska,6.54,"4,000"
51,,National,4.13,"1,028,000"
