,rank,state,percent,number
0,1,Alabama,14.3,"106,000"
1,2,Hawaii,14.7,"25,000"
2,3,Iowa,18.2,"82,000"
3,4,Texas,19.2,"620,000"
4,5,Wyoming,19.2,"17,000"
5,6,Minnesota,19.4,"141,000"
6,7,Maine,19.7,"39,000"
7,8,New York,20.1,"536,000"
8,9,Louisiana,20.2,"133,000"
9,10,Ohio,20.4,"363,000"
10,11,West Virginia,20.4,"70,000"
11,12,Vermont,20.7,"21,000"
12,13,North Dakota,21.2,"21,000"
13,14,Arizona,21.3,"189,000"
14,15,Idaho,21.7,"72,000"
15,16,South Dakota,21.7,"24,000"
16,17,Delaware,21.8,"29,000"
17,18,Illinois,21.8,"331,000"
18,19,North Carolina,21.8,"302,000"
19,20,California,21.9,"1,196,000"
20,21,Mississippi,21.9,"92,000"
21,22,Alaska,22.0,"23,000"
22,23,Florida,22.0,"632,000"
23,24,Michigan,22.0,"307,000"
24,25,Tennessee,22.0,"208,000"
25,26,Wisconsin,22.0,"178,000"
26,27,Colorado,22.2,"186,000"
27,28,Massachusetts,22.3,"262,000"
28,29,Oklahoma,22.4,"129,000"
29,30,Georgia,22.5,"309,000"
30,31,Maryland,22.6,"180,000"
31,32,Nebraska,22.6,"54,000"
32,33,Connecticut,22.9,"113,000"
33,34,Kentucky,22.9,"178,000"
34,35,New Jersey,22.9,"254,000"
35,36,Montana,23.3,"36,000"
36,37,New Mexico,23.8,"65,000"
37,38,Rhode Island,24.3,"39,000"
38,39,District of Columbia,24.5,"30,000"
39,40,Washington,24.5,"327,000"
40,41,Pennsylvania,24.7,"435,000"
41,42,South Carolina,24.8,"173,000"
42,43,Arkansas,25.0,"119,000"
43,44,Missouri,25.0,"238,000"
44,45,Indiana,25.2,"272,000"
45,46,Kansas,25.9,"109,000"
46,47,Virginia,28.3,"337,000"
47,48,Oregon,28.5,"224,000"
48,49,Nevada,28.6,"121,000"
49,50,New Hampshire,28.8,"57,000"
50,51,Utah,31.2,"163,000"
51,,National,22.30,"10,168,000"
