,rank,state,percent,number
1,1,Massachusetts,2.7,"32,000"
2,2,Iowa,3.3,"15,000"
3,3,District of Columbia,3.8,"5,000"
4,4,New York,4.0,"107,000"
5,5,Connecticut,5.1,"26,000"
6,6,Vermont,6.0,"6,000"
7,7,Maryland,6.1,"49,000"
8,8,Minnesota,6.1,"44,000"
9,9,Michigan,6.2,"86,000"
10,10,Colorado,6.4,"54,000"
11,11,Wisconsin,6.4,"52,000"
12,12,Rhode Island,6.8,"11,000"
13,13,West Virginia,6.8,"23,000"
14,14,Ohio,6.9,"123,000"
15,15,Arizona,7.1,"63,000"
16,16,New Hampshire,7.1,"14,000"
17,17,Arkansas,7.2,"35,000"
18,18,Kentucky,7.2,"56,000"
19,19,New Jersey,7.2,"80,000"
20,20,Delaware,7.3,"10,000"
21,21,Pennsylvania,7.5,"133,000"
22,22,California,7.7,"422,000"
23,23,Hawaii,8.0,"14,000"
24,24,Oregon,8.3,"65,000"
25,25,New Mexico,8.4,"23,000"
26,26,Washington,8.8,"118,000"
27,27,Illinois,9.2,"141,000"
28,28,Indiana,9.5,"102,000"
29,29,Montana,9.7,"15,000"
30,30,Nebraska,10.2,"24,000"
31,31,Alaska,10.3,"11,000"
32,32,North Dakota,10.3,"10,000"
33,33,North Carolina,10.8,"151,000"
34,34,Nevada,10.9,"48,000"
35,35,Utah,11.3,"59,000"
36,36,South Dakota,11.5,"12,000"
37,37,Virginia,12.4,"147,000"
38,38,South Carolina,12.7,"88,000"
39,39,Missouri,13.0,"124,000"
40,40,Maine,14.1,"28,000"
41,41,Oklahoma,14.1,"81,000"
42,42,Kansas,14.6,"61,000"
43,43,Louisiana,14.7,"97,000"
44,44,Idaho,15.2,"51,000"
45,45,Florida,16.0,"461,000"
46,46,Tennessee,16.0,"151,000"
47,47,Alabama,16.6,"123,000"
48,48,Mississippi,18.3,"77,000"
49,49,Georgia,20.3,"278,000"
50,50,Texas,21.4,"694,000"
51,51,Wyoming,22.9,"20,000"
52,,National,10.3,"4,720,000"
