,rank,state,percent,number
1,1,New Hampshire,2.0,"1,000"
2,2,Massachusetts,3.6,"10,000"
3,3,Vermont,4.0,"1,000"
4,4,District of Columbia,4.1,0
5,5,Michigan,4.3,"18,000"
6,6,Maine,4.5,"2,000"
7,7,Connecticut,5.2,"8,000"
8,8,Washington,5.2,"15,000"
9,9,Iowa,5.6,"8,000"
10,10,New Mexico,5.7,"3,000"
11,11,Illinois,5.8,"28,000"
12,12,Rhode Island,5.8,"2,000"
13,13,Pennsylvania,5.9,"29,000"
14,14,Delaware,6.0,"2,000"
15,15,Missouri,6.3,"16,000"
16,16,Montana,6.3,"2,000"
17,17,California,7.0,"92,000"
18,18,Colorado,7.0,"14,000"
19,19,Oregon,7.0,"11,000"
20,20,Wisconsin,7.0,"20,000"
21,21,New Jersey,7.3,"27,000"
22,22,Ohio,7.4,"33,000"
23,23,Indiana,7.7,"22,000"
24,24,Minnesota,7.8,"20,000"
25,25,Virginia,7.8,"25,000"
26,26,Kansas,7.9,"10,000"
27,27,Georgia,8.3,"31,000"
28,28,Maryland,8.5,"22,000"
29,29,North Dakota,8.5,"3,000"
30,30,Florida,8.6,"45,000"
31,31,South Dakota,8.7,"3,000"
32,32,New York,8.8,"56,000"
33,33,Alaska,8.9,"2,000"
34,34,Alabama,9.0,"13,000"
35,35,Wyoming,9.1,"2,000"
36,36,Nebraska,10.1,"8,000"
37,37,Texas,10.1,"93,000"
38,38,Idaho,10.3,"7,000"
39,39,Kentucky,10.4,"16,000"
40,40,West Virginia,10.4,"5,000"
41,41,Hawaii,10.6,"4,000"
42,42,Utah,11.2,"21,000"
43,43,Oklahoma,11.5,"16,000"
44,44,Arizona,11.7,"31,000"
45,45,Arkansas,11.8,"11,000"
46,46,North Carolina,11.9,"38,000"
47,47,South Carolina,11.9,"20,000"
48,48,Tennessee,13.0,"27,000"
49,49,Nevada,16.0,"16,000"
50,50,Louisiana,16.5,"22,000"
51,51,Mississippi,18.1,"12,000"
52,,National,8.1,"944,000"
