,rank,state,percent,number
0,1,Mississippi,6.3,"15,000"
1,2,Alabama,6.4,"23,000"
2,3,District of Columbia,6.8,"2,000"
3,4,Pennsylvania,7.1,"64,000"
4,5,New York,7.8,"105,000"
5,6,South Dakota,8.0,"5,000"
6,7,New Jersey,8.1,"54,000"
7,8,Hawaii,8.5,"8,000"
8,9,North Dakota,8.5,"4,000"
9,10,Massachusetts,8.5,"40,000"
10,11,California,8.7,"256,000"
11,12,Colorado,8.7,"36,000"
12,13,New Hampshire,8.7,"8,000"
13,14,Connecticut,9.0,"24,000"
14,15,Nebraska,9.0,"14,000"
15,16,Ohio,9.1,"79,000"
16,17,Texas,9.2,"219,000"
17,18,Louisiana,9.2,"33,000"
18,19,Tennessee,9.2,"46,000"
19,20,Florida,9.3,128000
20,21,Georgia,9.3,78000
21,22,Delaware,9.3,6000
22,23,Rhode Island,9.5,"7,000"
23,24,Kentucky,9.6,"31,000"
24,25,Iowa,9.8,"23,000"
25,26,Maryland,9.8,"42,000"
26,27,Minnesota,9.8,"41,000"
27,28,South Carolina,9.8,"36,000"
28,29,Kansas,9.9,"23,000"
29,30,Virginia,10.2,"62,000"
30,31,Washington,10.3,"53,000"
31,32,Montana,10.4,"8,000"
32,33,Missouri,10.4,"47,000"
33,34,Alaska,10.7,"6,000"
34,35,Vermont,10.7,"4,000"
35,36,Arkansas,10.7,"25,000"
36,37,Illinois,11.0,"104,000"
37,38,Michigan,11.3,"84,000"
38,39,Nevada,11.8,"26,000"
39,40,Utah,11.9,"36,000"
40,41,Wyoming,12.0,"5,000"
41,42,West Virginia,12.5,"15,000"
42,43,Arizona,12.5,"66,000"
43,44,North Carolina,12.6,"98,000"
44,45,Idaho,12.7,"19,000"
45,46,Indiana,12.7,"66,000"
46,47,Oklahoma,12.7,"39,000"
47,48,Oregon,13.1,"37,000"
48,49,New Mexico,13.1,"21,000"
49,50,Wisconsin,13.4,"58,000"
50,51,Maine,13.5,"12,000"
51,,National,9.7,"2,343,000"
