,rank,state,percent,number
0,1,District of Columbia,17.10,"8,373"
1,2,Iowa,17.54,"37,774"
2,3,Hawaii,17.63,"16,639"
3,4,Massachusetts,18.56,"109,857"
4,5,Vermont,19.02,"9,542"
5,6,New York,20.97,"314,383"
6,7,Delaware,20.98,"18,284"
7,8,Ohio,21.02,"236,528"
8,9,Connecticut,21.61,"53,913"
9,10,Pennsylvania,22.48,"277,857"
10,11,Montana,22.85,"20,088"
11,12,North Dakota,23.74,"12,428"
12,13,Minnesota,24.20,"91,135"
13,14,Maine,24.37,"33,492"
14,15,Washington,24.84,"141,746"
15,16,Michigan,25.18,"252,279"
16,17,New Jersey,25.19,"177,138"
17,18,Nevada,25.27,"76,372"
18,19,Rhode Island,25.71,"26,383"
19,20,Kentucky,25.85,"137,755"
20,21,West Virginia,25.99,"65,433"
21,22,Oregon,26.03,"108,294"
22,23,New Hampshire,26.91,"28,858"
23,24,California,27.05,"796,447"
24,25,Indiana,27.10,"157,334"
25,26,Arizona,27.17,"153,262"
26,27,Wyoming,27.44,"12,362"
27,28,Colorado,27.45,"88,135"
28,29,Maryland,27.45,"111,740"
29,30,Louisiana,28.08,"160,506"
30,31,Oklahoma,28.18,"115,914"
31,32,Wisconsin,28.20,"119,187"
32,33,New Mexico,28.23,"54,533"
33,34,South Dakota,28.36,"17,869"
34,35,Illinois,29.66,"249,140"
35,36,Kansas,30.27,"70,938"
36,37,Alaska,30.90,"17,348"
37,38,Idaho,31.04,"43,794"
38,39,Nebraska,31.66,"39,724"
39,40,Tennessee,31.86,"245,411"
40,41,Utah,31.92,"75,977"
41,42,Missouri,32.87,"190,827"
42,43,South Carolina,33.75,"179,775"
43,44,Arkansas,34.16,"111,986"
44,45,Virginia,34.24,"223,528"
45,46,Texas,34.57,"690,102"
46,47,Mississippi,35.20,"130,909"
47,48,North Carolina,35.23,"343,530"
48,49,Florida,35.36,"754,413"
49,50,Alabama,36.70,"212,868"
50,51,Georgia,41.92,"410,646"
51,,National,28.69,"8,153,779"
