,rank,state,percent,number
0,1,Maine,38.6,"6,000"
1,2,District of Columbia,38.8,"1,000"
2,3,Vermont,40.7,"2,000"
3,4,Maryland,41.3,"23,000"
4,5,Utah,45.2,"22,000"
5,6,Washington,47.0,"38,000"
6,7,Wisconsin,47.2,"33,000"
7,8,Delaware,47.9,"4,000"
8,9,Kentucky,49.3,"19,000"
9,10,South Dakota,49.7,"3,000"
10,11,Ohio,52.2,"59,000"
11,12,Virginia,53.0,"51,000"
12,13,Indiana,53.0,"48,000"
13,14,Iowa,53.0,"20,000"
14,15,North Dakota,53.4,"3,000"
15,16,Rhode Island,53.4,"5,000"
16,17,Oregon,53.9,"30,000"
17,18,Kansas,54.7,"19,000"
18,19,Louisiana,54.9,"24,000"
19,20,Minnesota,55.4,"32,000"
20,21,Nebraska,55.4,"12,000"
21,22,Montana,55.6,"5,000"
22,23,Michigan,55.7,"66,000"
23,24,New Jersey,55.7,"40,000"
24,25,Hawaii,56.2,"5,000"
25,26,Wyoming,56.6,"4,000"
26,27,New Hampshire,56.9,"9,000"
27,28,Pennsylvania,57.5,"56,000"
28,29,Alaska,57.8,"5,000"
29,30,Missouri,58.8,"40,000"
30,31,New York,59.1,"85,000"
31,32,Connecticut,59.1,"24,000"
32,33,West Virginia,59.3,"11,000"
33,34,Arizona,59.6,"52,000"
34,35,North Carolina,60.2,"77,000"
35,36,Colorado,60.9,"29,000"
36,37,Oklahoma,61.1,"35,000"
37,38,Idaho,61.2,"15,000"
38,39,Massachusetts,61.2,"41,000"
39,40,Tennessee,61.5,"35,000"
40,41,Illinois,62.1,"90,000"
41,42,New Mexico,62.9,"20,000"
42,43,Arkansas,63.9,"23,000"
43,44,Florida,64.7,"116,000"
44,45,California,66.0,"259,000"
45,46,Mississippi,66.3,"18,000"
46,47,Texas,67.1,"209,000"
47,48,South Carolina,68.0,"36,000"
48,49,Alabama,69.7,"31,000"
49,50,Georgia,70.4,"73,000"
50,51,Nevada,71.0,"23,000"
51,,National,59.6,"1,988,000"
