,rank,state,percent,number
0,1,New Jersey,16.37,1122000
1,2,Texas,17.17,3602000
2,3,Florida,17.23,2903000
3,4,Hawaii,17.45,185000
4,5,Maryland,17.57,810000
5,6,Georgia,17.88,1406000
6,7,South Dakota,18.26,118000
7,8,Iowa,18.5,441000
8,9,Virginia,18.58,1199000
9,10,Connecticut,18.85,526000
10,11,Illinois,19.18,1858000
11,12,North Carolina,19.31,1532000
12,13,Tennessee,19.4,1006000
13,14,South Carolina,19.43,760000
14,15,California,19.49,5864000
15,16,New York,19.52,2972000
16,17,Pennsylvania,19.7,1963000
17,18,Arizona,20.06,1099000
18,19,Mississippi,20.16,446000
19,20,Wisconsin,20.19,904000
20,21,Nebraska,20.3,290000
21,22,Michigan,20.32,1571000
22,23,Arkansas,20.34,460000
23,24,North Dakota,20.5,116000
24,25,Minnesota,20.53,876000
25,26,Kansas,20.56,442000
26,27,Montana,20.81,171000
27,28,Delaware,20.92,157000
28,29,Massachusetts,21.15,1157000
29,30,Louisiana,21.21,734000
30,31,Alabama,21.29,794000
31,32,New Mexico,21.39,338000
32,33,Alaska,21.47,113000
33,34,Nevada,21.97,512000
34,35,Maine,22.1,238000
35,36,Vermont,22.25,112000
36,37,Indiana,22.29,1125000
37,38,New Hampshire,22.37,243000
38,39,Rhode Island,22.38,187000
39,40,Idaho,22.48,293000
40,41,Oklahoma,22.54,657000
41,42,Kentucky,22.54,762000
42,43,Wyoming,22.56,98000
43,44,Missouri,22.71,1056000
44,45,District of Columbia,22.83,129000
45,46,Colorado,23.2,1014000
46,47,Washington,23.43,1360000
47,48,Ohio,23.64,2112000
48,49,Oregon,23.75,783000
49,50,West Virginia,24.62,347000
50,51,Utah,26.86,599000
51,,National,19.86,49564000
