,rank,state,percent,number
0,1,New Jersey,3.79,"260,000"
1,2,Georgia,3.85,"303,000"
2,3,Texas,3.86,"812,000"
3,4,North Carolina,3.87,"307,000"
4,5,Illinois,4.00,"388,000"
5,6,Florida,4.04,"682,000"
6,7,New York,4.21,"642,000"
7,8,Virginia,4.22,"272,000"
8,9,Maryland,4.34,"200,000"
9,10,District of Columbia,4.43,"25,000"
10,11,Connecticut,4.46,"125,000"
11,12,California,4.55,"1,370,000"
12,13,Oklahoma,4.58,"134,000"
13,14,Rhode Island,4.59,"38,000"
14,15,Michigan,4.61,"357,000"
15,16,South Dakota,4.62,"30,000"
16,17,Montana,4.63,"38,000"
17,18,Wisconsin,4.66,"209,000"
18,19,Tennessee,4.68,"243,000"
19,20,Kentucky,4.68,"158,000"
20,21,New Hampshire,4.68,"51,000"
21,22,Arkansas,4.71,"107,000"
22,23,Louisiana,4.72,"163,000"
23,24,Minnesota,4.74,"202,000"
24,25,Hawaii,4.74,"50,000"
25,26,Massachusetts,4.77,"261,000"
26,27,New Mexico,4.81,"76,000"
27,28,Pennsylvania,4.83,"482,000"
28,29,Alabama,4.83,"180,000"
29,30,Nebraska,4.88,"70,000"
30,31,South Carolina,4.89,"191,000"
31,32,Washington,4.92,"286,000"
32,33,Iowa,4.94,"118,000"
33,34,Nevada,4.94,"115,000"
34,35,Kansas,4.96,"107,000"
35,36,Arizona,5.01,"275,000"
36,37,Missouri,5.05,"235,000"
37,38,Delaware,5.18,"39,000"
38,39,North Dakota,5.28,"30,000"
39,40,Idaho,5.30,"69,000"
40,41,Mississippi,5.31,"118,000"
41,42,West Virginia,5.44,"77,000"
42,43,Maine,5.44,"59,000"
43,44,Colorado,5.54,"242,000"
44,45,Indiana,5.62,"284,000"
45,46,Oregon,5.65,"187,000"
46,47,Vermont,5.66,"29,000"
47,48,Wyoming,5.74,"25,000"
48,49,Ohio,6.09,"545,000"
49,50,Alaska,6.11,"32,000"
50,51,Utah,6.19,"138,000"
51,,National,4.58,"11,434,000"
