,rank,state,percent,number
0,1,Massachusetts,3.8,"45,000"
1,2,Kentucky,4.2,"33,000"
2,3,Rhode Island,4.4,"9,000"
3,4,District of Columbia,4.7,"6,000"
4,5,Hawaii,4.7,"9,000"
5,6,Vermont,5.1,"6,000"
6,7,New York,5.2,"151,000"
7,8,Connecticut,5.4,"28,000"
8,9,Maryland,5.6,"43,000"
9,10,Pennsylvania,5.9,"115,000"
10,11,Wisconsin,6.3,"56,000"
11,12,Michigan,6.9,"108,000"
12,13,Ohio,6.9,"150,000"
13,14,Illinois,7.1,"130,000"
14,15,Delaware,7.3,"12,000"
15,16,California,7.4,"434,000"
16,17,Minnesota,8.0,"69,000"
17,18,New Mexico,8.1,"28,000"
18,19,New Hampshire,8.8,"22,000"
19,20,Alaska,9.7,"11,000"
20,21,North Dakota,9.8,"11,000"
21,22,South Dakota,9.8,"10,000"
22,23,Montana,10.0,"17,000"
23,24,West Virginia,10.1,"37,000"
24,25,New Jersey,10.6,"116,000"
25,26,Colorado,10.8,"113,000"
26,27,Arkansas,11.3,"52,000"
27,28,Iowa,11.3,"46,000"
28,29,Utah,11.3,"70,000"
29,30,Nevada,11.5,"61,000"
30,31,Arizona,11.6,"127,000"
31,32,Nebraska,11.6,"32,000"
32,33,Washington,11.6,"165,000"
33,34,Oregon,11.8,"95,000"
34,35,Louisiana,12.4,"95,000"
35,36,Virginia,12.4,"147,000"
36,37,Maine,12.6,"31,000"
37,38,Indiana,13.4,"153,000"
38,39,Idaho,14.0,"42,000"
39,40,Kansas,14.0,"63,000"
40,41,Georgia,15.2,"207,000"
41,42,Tennessee,15.3,"148,000"
42,43,North Carolina,15.4,"240,000"
43,44,South Carolina,15.6,"119,000"
44,45,Oklahoma,17.6,"117,000"
45,46,Florida,17.8,"512,000"
46,47,Wyoming,18.0,"19,000"
47,48,Mississippi,18.2,"81,000"
48,49,Alabama,19.3,"154,000"
49,50,Missouri,19.3,"209,000"
50,51,Texas,21.5,"759,000"
51,,National,11.1,"5,514,000"
52,,,,
53,,,,
