,rank,state,percent,number
0,1,Maine,65.6,"7,000"
1,2,Vermont,49.7,"3,000"
2,3,New Hampshire,47.6,"4,000"
3,4,Wyoming,45.6,"3,000"
4,5,Colorado,43.1,"16,000"
5,6,Massachusetts,42.2,"19,000"
6,7,Pennsylvania,39.9,"28,000"
7,8,Illinois,38.3,"38,000"
8,9,Oregon,36.6,"14,000"
9,10,Wisconsin,36.4,"19,000"
10,11,Delaware,36.3,"3,000"
11,12,Minnesota,35.9,"17,000"
12,13,District of Columbia,35.8,"1,000"
13,14,Washington,35.7,"24,000"
14,15,Montana,35.5,"3,000"
15,16,Maryland,34.5,"18,000"
16,17,Oklahoma,33.6,"12,000"
17,18,North Dakota,33.0,"2,000"
18,19,Indiana,32.9,"23,000"
19,20,Alabama,31.3,"8,000"
20,21,Michigan,30.4,"26,000"
21,22,Iowa,29.5,"9,000"
22,23,South Dakota,29.3,"2,000"
23,24,Kentucky,28.6,"9,000"
24,25,New Jersey,28.4,"14,000"
25,26,New York,28.3,"29,000"
26,27,Nebraska,27.8,"5,000"
27,28,Idaho,27.7,"6,000"
28,29,Utah,27.3,"11,000"
29,30,California,26.1,"72,000"
30,31,Ohio,25.1,"19,000"
31,32,Virginia,25.0,"19,000"
32,33,North Carolina,24.9,"27,000"
33,34,South Carolina,24.2,"8,000"
34,35,Connecticut,23.6,"5,000"
35,36,Arkansas,22.7,"7,000"
36,37,Kansas,22.7,"6,000"
37,38,New Mexico,22.5,"5,000"
38,39,Louisiana,21.1,"7,000"
39,40,West Virginia,20.9,"3,000"
40,41,Rhode Island,20.4,"1,000"
41,42,Alaska,20.2,"1,000"
42,43,Georgia,20.1,"14,000"
43,44,Texas,19.2,"44,000"
44,45,Nevada,18.7,"5,000"
45,46,Florida,17.0,"20,000"
46,47,Arizona,16.1,"10,000"
47,48,Mississippi,13.5,"2,000"
48,49,Hawaii,13.3,"1,000"
49,50,Missouri,12.6,"5,000"
50,51,Tennessee,12.2,"6,000"
51,,National,27.2,"661,000"
