,rank,state,percent,number,
1,1,Vermont,32.23,2326,
2,2,Minnesota,21.2,17016,
3,3,Massachusetts,20.22,17455,
4,4,Pennsylvania,16.33,26105,
5,5,Wisconsin,16.18,892,
6,6,Maine,15.32,2468,
7,7,Indiana,13.36,12712,
8,8,Iowa,13.31,733,
9,9,New Hampshire,13.24,2132,
10,10,Connecticut,12.43,5824,
11,11,Rhode Island,12.34,1610,
12,12,North Dakota,11.99,1240,
13,13,District of Columbia,11.54,802,
14,14,Illinois,10.59,18381,
15,15,Oregon,10.3,5568,
16,16,South Dakota,10.04,1251,
17,17,Ohio,10.03,15281,
18,18,Nebraska,9.98,2861,
19,19,Delaware,9.47,1211,
20,20,New York,9.1,22063,
21,21,Missouri,8.87,7188,
22,22,Michigan,8.52,11314,
23,23,Virginia,8.47,9913,
24,24,Maryland,7.61,6180,
25,25,Mississippi,7.53,3193,
26,26,Texas,7.41,35851,
27,27,Arizona,7.39,7756,
28,28,Kentucky,7.39,4501,
29,29,Colorado,6.98,5687,
30,30,Wyoming,6.8,589,
31,31,Montana,6.68,906,
32,32,Oklahoma,6.66,4057,
33,33,Alaska,6.48,765,
34,34,Georgia,6.35,10124,
35,35,New Mexico,6.15,1830,
36,36,New Jersey,5.84,7313,
37,37,Hawaii,5.8,959,
38,38,Kansas,5.6,2459,
39,39,Washington,5.49,5633,
40,40,Florida,5.43,14062,
41,41,Idaho,4.95,1412,
42,42,Nevada,4.64,2085,
43,43,California,4.51,25424,
44,44,West Virginia,4.45,1025,
45,45,Tennessee,3.84,3470,
46,46,North Carolina,3.65,5187,
47,47,Utah,3.12,1933,
48,48,South Carolina,3.05,2143,
49,49,Louisiana,2.74,1727,
50,50,Arkansas,2.54,1123,
51,51,Alabama,2.13,1420,
52,,National,7.59,"345,160",
