,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,327,978,43,43.00,-107.5,-107.50,578803,%null%,Breakdown by County (All Years),33.44,56.495906206429474,56.5,0.86
1,True,Wisconsin,2644,8870,44.5,44.50,-90,-90.00,5895908,%null%,Breakdown by County (All Years),29.81,44.8446617552377,44.8,0.24
2,True,West Virginia,988,2641,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),37.41,55.413500815217844,55.4,0.82
3,True,Washington,3889,11982,47.5,47.50,-120.5,-120.50,7738692,%null%,Breakdown by County (All Years),32.46,50.253970567635974,50.3,0.54
4,True,Virginia,4119,13268,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),31.04,47.66106698306487,47.7,0.38
5,True,Vermont,309,914,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),33.81,47.86467772666016,47.9,0.42
6,True,Utah,2130,6434,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),33.11,63.81114298339562,63.8,0.98
7,True,Texas,14263,42671,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),33.43,48.30340185250302,48.3,0.46
8,True,Tennessee,3654,10535,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),34.68,52.38545949388248,52.4,0.66
9,True,South Dakota,453,1347,44.5,44.50,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),33.63,50.59327031325387,50.6,0.56
10,True,South Carolina,2383,7121,34,34.00,-81,-81.00,5190705,%null%,Breakdown by County (All Years),33.46,45.90898538830467,45.9,0.3
11,True,Rhode Island,422,1330,41.4966,41.50,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),31.73,38.517355628371405,38.5,0.04
