,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,188,623,43,43.00,-107.5,-107.50,578803,%null%,Breakdown by County (All Years),30.18,32.48082680981266,32.5,0.82
1,True,Wisconsin,1591,6060,44.5,44.50,-90,-90.00,5895908,%null%,Breakdown by County (All Years),26.25,26.984817266483805,27.0,0.34
2,True,West Virginia,633,1851,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),34.20,35.50277936845435,35.5,0.92
3,True,Washington,2175,7788,47.5,47.50,-120.5,-120.50,7738692,%null%,Breakdown by County (All Years),27.93,28.10552480961899,28.1,0.48
4,True,Virginia,2482,8927,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),27.80,28.71929309346128,28.7,0.54
5,True,Vermont,164,591,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),27.75,25.403906625152967,25.4,0.2
6,True,Utah,1283,4342,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),29.55,38.43647720549136,38.4,0.96
7,True,Texas,8347,27780,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),30.05,28.26814101260904,28.3,0.52
8,True,Tennessee,2494,7675,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),32.50,35.75515489264995,35.8,0.94
9,True,South Dakota,237,856,44.5,44.50,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),27.69,26.46932685262951,26.5,0.28
10,True,South Carolina,1467,4879,34,34.00,-81,-81.00,5190705,%null%,Breakdown by County (All Years),30.07,28.262056888226162,28.3,0.5
11,True,Rhode Island,242,883,41.4966,41.50,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),27.41,22.08815180584332,22.1,0.04
12,True,Pennsylvania,3523,12255,40.86,40.86,-77.9,-77.90,12964056,%null%,Breakdown by County (All Years),28.75,27.175137163862914,27.2,0.36
13,True,Oregon,1346,4324,44,44.00,-120.5,-120.50,4246155,%null%,Breakdown by County (All Years),31.13,31.69926674838766,31.7,0.8
14,True,Oklahoma,1394,4261,35.5,35.50,-97.5,-97.50,3986639,%null%,Breakdown by County (All Years),32.72,34.96679784650679,35.0,0.88
15,True,Ohio,3536,11825,40.25,40.25,-83,-83.00,11780017,%null%,Breakdown by County (All Years),29.90,30.016934610535788,30.0,0.66
16,True,North Dakota,229,759,47.5,47.50,-100,-100.00,774948,%null%,Breakdown by County (All Years),30.17,29.550369831266096,29.6,0.58
17,True,North Carolina,2811,10323,35.5,35.50,-80,-80.00,10551162,%null%,Breakdown by County (All Years),27.23,26.641615397432055,26.6,0.3
18,True,New York,4674,17250,43,43.00,-75.49,-75.49,19835913,%null%,Breakdown by County (All Years),27.10,23.56332173870696,23.6,0.1
19,True,New Mexico,501,1704,34.5,34.50,-106,-106.00,2115877,%null%,Breakdown by County (All Years),29.40,23.67812495716906,23.7,0.12
20,True,New Jersey,2008,7647,40.16,40.16,-74.49,-74.49,9267130,%null%,Breakdown by County (All Years),26.26,21.667981349133985,21.7,0
21,True,New Hampshire,357,1292,43.66,43.66,-71.49,-71.49,1388992,%null%,Breakdown by County (All Years),27.63,25.702091876699072,25.7,0.22
