,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,138,348,43,43.00,-107.5,-107.50,578803,%null%,Breakdown by County (All Years),39.66,23.842309041245468,23.8,0.88
1,True,Wisconsin,1036,2745,44.5,44.50,-90,-90.00,5895908,%null%,Breakdown by County (All Years),37.74,17.571508917710386,17.6,0.26
2,True,West Virginia,346,766,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),45.17,19.40594259318358,19.4,0.4
3,True,Washington,1684,4102,47.5,47.50,-120.5,-120.50,7738692,%null%,Breakdown by County (All Years),41.05,21.76078334684983,21.8,0.68
4,True,Virginia,1605,4239,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),37.86,18.5715009730078,18.6,0.34
5,True,Vermont,142,314,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),45.22,21.996065492510496,22.0,0.72
6,True,Utah,821,2042,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),40.21,24.59575041754357,24.6,0.9
7,True,Texas,5802,14572,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),39.82,19.6491858338514,19.6,0.46
8,True,Tennessee,1136,2783,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),40.82,16.286229333620827,16.3,0.12
9,True,South Dakota,213,481,44.5,44.50,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),44.28,23.788888690337913,23.8,0.86
10,True,South Carolina,903,2204,34,34.00,-81,-81.00,5190705,%null%,Breakdown by County (All Years),40.97,17.39648082485905,17.4,0.24
11,True,Rhode Island,175,435,41.4966,41.50,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),40.23,15.972837049680086,16.0,0.08
12,True,Pennsylvania,2152,5561,40.86,40.86,-77.9,-77.90,12964056,%null%,Breakdown by County (All Years),38.70,16.599743166799033,16.6,0.16
13,True,Oregon,872,2187,44,44.00,-120.5,-120.50,4246155,%null%,Breakdown by County (All Years),39.87,20.53622630356169,20.5,0.58
14,True,Oklahoma,798,1875,35.5,35.50,-97.5,-97.50,3986639,%null%,Breakdown by County (All Years),42.56,20.016861321027562,20.0,0.5
15,True,Ohio,2411,5863,40.25,40.25,-83,-83.00,11780017,%null%,Breakdown by County (All Years),41.12,20.466863502828563,20.5,0.56
16,True,North Dakota,161,401,47.5,47.50,-100,-100.00,774948,%null%,Breakdown by County (All Years),40.15,20.775587523291886,20.8,0.62
