,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,661,2354,43,43.00,-107.5,-107.50,578803,%null%,Breakdown by County (All Years),28.08,114.20120490045835,114.2,0.92
1,True,Wisconsin,5080,19297,44.5,44.50,-90,-90.00,5895908,%null%,Breakdown by County (All Years),26.33,86.16145299417835,86.2,0.3
2,True,West Virginia,2026,5971,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),33.93,113.63132859476858,113.6,0.9
3,True,Washington,7246,26192,47.5,47.50,-120.5,-120.50,7738692,%null%,Breakdown by County (All Years),27.66,93.633394377241,93.6,0.54
4,True,Virginia,7992,28717,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),27.83,92.47566091979958,92.5,0.5
5,True,Vermont,518,2106,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),24.60,80.23916848676363,80.2,0.18
6,True,Utah,4089,15090,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),27.10,122.4994195582651,122.5,0.98
7,True,Texas,26849,89989,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),29.84,90.92743716874807,90.9,0.44
8,True,Tennessee,8098,25399,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),31.88,116.09672987998368,116.1,0.94
9,True,South Dakota,790,2935,44.5,44.50,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),26.92,88.23108950876504,88.2,0.34
10,True,South Carolina,4664,15359,34,34.00,-81,-81.00,5190705,%null%,Breakdown by County (All Years),30.37,89.85291978642593,89.9,0.38
11,True,Rhode Island,745,2838,41.4966,41.50,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),26.25,67.99864915435236,68.0,0
12,True,Pennsylvania,11199,40052,40.86,40.86,-77.9,-77.90,12964056,%null%,Breakdown by County (All Years),27.96,86.38500173093976,86.4,0.32
13,True,Oregon,4253,14454,44,44.00,-120.5,-120.50,4246155,%null%,Breakdown by County (All Years),29.42,100.1612046663393,100.2,0.72
14,True,Oklahoma,4463,13729,35.5,35.50,-97.5,-97.50,3986639,%null%,Breakdown by County (All Years),32.51,111.94893743827821,111.9,0.88
15,True,Ohio,11385,37895,40.25,40.25,-83,-83.00,11780017,%null%,Breakdown by County (All Years),30.04,96.64671960999716,96.6,0.66
16,True,North Dakota,733,2504,47.5,47.50,-100,-100.00,774948,%null%,Breakdown by County (All Years),29.27,94.58699164331026,94.6,0.56
17,True,North Carolina,8655,31484,35.5,35.50,-80,-80.00,10551162,%null%,Breakdown by County (All Years),27.49,82.02887985228547,82.0,0.22
18,True,New York,15029,57514,43,43.00,-75.49,-75.49,19835913,%null%,Breakdown by County (All Years),26.13,75.76661583462278,75.8,0.1
19,True,New Mexico,1703,5724,34.5,34.50,-106,-106.00,2115877,%null%,Breakdown by County (All Years),29.75,80.48672016379024,80.5,0.2
20,True,New Jersey,6525,25331,40.16,40.16,-74.49,-74.49,9267130,%null%,Breakdown by County (All Years),25.76,70.41014855732034,70.4,0.02
21,True,New Hampshire,1176,4244,43.66,43.66,-71.49,-71.49,1388992,%null%,Breakdown by County (All Years),27.71,84.66571441736166,84.7,0.28
22,True,Nevada,3103,9775,39.25,39.25,-116.75,-116.75,3143991,%null%,Breakdown by County (All Years),31.74,98.69621128050304,98.7,0.7
23,True,Nebraska,1792,6991,41.5,41.50,-99.75,-99.75,1963692,%null%,Breakdown by County (All Years),25.63,91.25667365350574,91.3,0.48
24,True,Montana,1052,3618,47,47.00,-109.75,-109.75,1104271,%null%,Breakdown by County (All Years),29.08,95.26646991544648,95.3,0.6
25,True,Missouri,5706,19025,38.25,38.25,-92.5,-92.50,6168187,%null%,Breakdown by County (All Years),29.99,92.50692302292391,92.5,0.52
26,True,Mississippi,3245,9831,33.503,33.50,-89.8071,-89.81,2949965,%null%,Breakdown by County (All Years),33.01,110.00130510023,110.0,0.86
27,True,Minnesota,4484,18129,46.25,46.25,-94.25,-94.25,5707390,%null%,Breakdown by County (All Years),24.73,78.56480808215314,78.6,0.14
28,True,Michigan,8919,31839,43.1045,43.10,-84.6165,-84.62,10050811,%null%,Breakdown by County (All Years),28.01,88.7391077197651,88.7,0.36
29,True,Massachusetts,5098,20819,42.3616,42.36,-72.1839,-72.18,6984723,%null%,Breakdown by County (All Years),24.49,72.98786222445757,73.0,0.04
30,True,Maryland,4548,18076,39.4444,39.44,-77.0834,-77.08,6165129,%null%,Breakdown by County (All Years),25.16,73.76974593718964,73.8,0.06
31,True,Maine,1246,4470,45.5,45.50,-69.24,-69.24,1372247,%null%,Breakdown by County (All Years),27.87,90.79997988700285,90.8,0.42
32,True,Louisiana,3413,10915,30.6935,30.69,-92.241,-92.24,4624047,%null%,Breakdown by County (All Years),31.27,73.80980340381488,73.8,0.08
33,True,Kentucky,4708,15095,37.79,37.79,-84.87,-84.87,4509394,%null%,Breakdown by County (All Years),31.19,104.40427250313458,104.4,0.76
34,True,Kansas,2952,10050,38.5,38.50,-98.5,-98.50,2934582,%null%,Breakdown by County (All Years),29.37,100.59354279416968,100.6,0.74
35,True,Iowa,2911,10593,42,42.00,-93.5,-93.50,3193079,%null%,Breakdown by County (All Years),27.48,91.16592480173526,91.2,0.46
36,True,Indiana,8120,27779,40,40.00,-86.25,-86.25,6805985,%null%,Breakdown by County (All Years),29.23,119.30675721442229,119.3,0.96
37,True,Illinois,10705,39447,40,40.00,-89.25,-89.25,12671469,%null%,Breakdown by County (All Years),27.14,84.4811284311235,84.5,0.26
38,True,Idaho,1865,6216,44.0739,44.07,-114.542,-114.54,1900923,%null%,Breakdown by County (All Years),30.00,98.11023381799264,98.1,0.68
39,True,Hawaii,1383,5433,20.79,20.79,-156.34,-156.34,1441553,%null%,Breakdown by County (All Years),25.46,95.93819998293507,95.9,0.62
40,True,Georgia,9787,33181,32.1598,32.16,-83.4715,-83.47,10799566,%null%,Breakdown by County (All Years),29.50,90.62401211307936,90.6,0.4
41,True,Florida,17318,58972,28.42,28.42,-81.55,-81.55,21781128,%null%,Breakdown by County (All Years),29.37,79.50919713616302,79.5,0.16
42,True,District of Columbia,644,3243,38.91,38.91,-77,-77.00,670050,%null%,Breakdown by County (All Years),19.86,96.11223043056488,96.1,0.64
