,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,447,1105,43,43.00,-107.5,-107.50,578803,%null%,Breakdown by County (All Years),40.452,77.22834885099076,77.2,0.84
1,True,Wisconsin,3797,9504,44.5,44.50,-90,-90.00,5895908,%null%,Breakdown by County (All Years),39.952,64.40059783836519,64.4,0.36
2,True,West Virginia,1170,2560,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),45.703,65.62125096538956,65.6,0.4
3,True,Washington,5581,13698,47.5,47.50,-120.5,-120.50,7738692,%null%,Breakdown by County (All Years),40.743,72.11813055746372,72.1,0.7
4,True,Virginia,5542,14662,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),37.798,64.1266407429341,64.1,0.34
5,True,Vermont,437,1098,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),39.800,67.69211704385272,67.7,0.58
6,True,Utah,2621,6384,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),41.056,78.52065998097649,78.5,0.88
7,True,Texas,19718,48835,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),40.377,66.77742955392657,66.8,0.48
8,True,Tennessee,3841,9119,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),42.121,55.06637928735704,55.1,0.08
9,True,South Dakota,665,1508,44.5,44.50,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),44.098,74.27047408016297,74.3,0.78
10,True,South Carolina,3070,7297,34,34.00,-81,-81.00,5190705,%null%,Breakdown by County (All Years),42.072,59.144181763363555,59.1,0.22
11,True,Rhode Island,582,1448,41.4966,41.50,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),40.193,53.12109235950749,53.1,0.06
12,True,Pennsylvania,7182,18462,40.86,40.86,-77.9,-77.90,12964056,%null%,Breakdown by County (All Years),38.902,55.39932872860161,55.4,0.12
13,True,Oregon,2887,7082,44,44.00,-120.5,-120.50,4246155,%null%,Breakdown by County (All Years),40.765,67.99092355319107,68.0,0.6
14,True,Oklahoma,2514,6001,35.5,35.50,-97.5,-97.50,3986639,%null%,Breakdown by County (All Years),41.893,63.0606382970718,63.1,0.3
15,True,Ohio,7770,19246,40.25,40.25,-83,-83.00,11780017,%null%,Breakdown by County (All Years),40.372,65.95915778389794,66.0,0.42
16,True,North Dakota,519,1266,47.5,47.50,-100,-100.00,774948,%null%,Breakdown by County (All Years),40.995,66.97223555645024,67.0,0.5
