,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Delaware,Delaware,11,55,%null%,41957,26.217317730056962,26.2,26.217317730056962,26.217317730056962,26.2
1,%null%,%null%,True,True,Massachusetts,Massachusetts,157,693,%null%,520119,30.18539987964293,30.2,30.18539987964293,30.18539987964293,30.2
2,%null%,%null%,True,True,Louisiana,Louisiana,26,97,%null%,85860,30.28185418122525,30.3,30.28185418122525,30.28185418122525,30.3
3,%null%,%null%,True,True,New Jersey,New Jersey,286,1175,%null%,942292,30.351525853981567,30.4,30.351525853981567,30.351525853981567,30.4
4,%null%,%null%,True,True,District of Columbia,District of Columbia,9,56,%null%,29628,30.376670716889425,30.4,30.376670716889425,30.376670716889425,30.4
5,%null%,%null%,True,True,Ohio,Ohio,98,395,%null%,313413,31.268645525233474,31.3,31.268645525233474,31.268645525233474,31.3
6,%null%,%null%,True,True,Connecticut,Connecticut,57,246,%null%,179054,31.833971874406604,31.8,31.833971874406604,31.833971874406604,31.8
7,%null%,%null%,True,True,Kentucky,Kentucky,26,108,%null%,78406,33.160727495344744,33.2,33.160727495344744,33.160727495344744,33.2
8,%null%,%null%,True,True,New York,New York,604,2215,%null%,1812286,33.328072942129445,33.3,33.328072942129445,33.328072942129445,33.3
9,%null%,%null%,True,True,North Carolina,North Carolina,126,468,%null%,353832,35.61012005697619,35.6,35.61012005697619,35.61012005697619,35.6
10,%null%,%null%,True,True,Michigan,Michigan,122,510,%null%,341843,35.688898119897146,35.7,35.688898119897146,35.688898119897146,35.7
11,%null%,%null%,True,True,California,California,2242,8400,%null%,6136428,36.5359130751636,36.5,36.5359130751636,36.5359130751636,36.5
12,%null%,%null%,True,True,Texas,Texas,588,2102,%null%,1584396,37.1119341376777,37.1,37.1119341376777,37.1119341376777,37.1
13,%null%,%null%,True,True,Tennessee,Tennessee,52,184,%null%,139839,37.18562060655468,37.2,37.18562060655468,37.18562060655468,37.2
14,%null%,%null%,True,True,Maryland,Maryland,157,583,%null%,421227,37.272064706203544,37.3,37.272064706203544,37.272064706203544,37.3
15,%null%,%null%,True,True,Illinois,Illinois,284,1044,%null%,756590,37.53684294003357,37.5,37.53684294003357,37.53684294003357,37.5
16,%null%,%null%,True,True,Kansas,Kansas,36,149,%null%,94576,38.06462527491119,38.1,38.06462527491119,38.06462527491119,38.1
17,%null%,%null%,True,True,Pennsylvania,Pennsylvania,194,725,%null%,503783,38.508643602503454,38.5,38.508643602503454,38.508643602503454,38.5
18,%null%,%null%,True,True,Hawaii,Hawaii,264,887,%null%,651433,40.52604028349807,40.5,40.52604028349807,40.52604028349807,40.5
19,%null%,%null%,True,True,South Carolina,South Carolina,41,138,%null%,100149,40.93900088867587,40.9,40.93900088867587,40.93900088867587,40.9
20,%null%,%null%,True,True,Georgia,Georgia,206,686,%null%,490433,42.00369877230937,42.0,42.00369877230937,42.00369877230937,42.0
21,%null%,%null%,True,True,New Hampshire,New Hampshire,18,50,%null%,42740,42.11511464670098,42.1,42.11511464670098,42.11511464670098,42.1
22,%null%,%null%,True,True,Minnesota,Minnesota,129,446,%null%,305845,42.17822753355458,42.2,42.17822753355458,42.17822753355458,42.2
23,%null%,%null%,True,True,Virginia,Virginia,260,928,%null%,614516,42.309720170019986,42.3,42.309720170019986,42.309720170019986,42.3
24,%null%,%null%,True,True,Washington,Washington,347,1145,%null%,813284,42.66652239562072,42.7,42.66652239562072,42.66652239562072,42.7
25,%null%,%null%,True,True,Oregon,Oregon,97,326,%null%,221414,43.809334549757466,43.8,43.809334549757466,43.809334549757466,43.8
26,%null%,%null%,True,True,Florida,Florida,292,911,%null%,650132,44.91395593510241,44.9,44.91395593510241,44.91395593510241,44.9
27,%null%,%null%,True,True,Missouri,Missouri,65,211,%null%,144420,45.00761667359092,45.0,45.00761667359092,45.00761667359092,45.0
28,%null%,%null%,True,True,Vermont,Vermont,6,25,%null%,12952,46.32489190858555,46.3,46.32489190858555,46.32489190858555,46.3
29,%null%,%null%,True,True,Mississippi,Mississippi,16,72,%null%,33735,47.428486734845116,47.4,47.428486734845116,47.428486734845116,47.4
30,%null%,%null%,True,True,Oklahoma,Oklahoma,50,135,%null%,102892,48.59464292656377,48.6,48.59464292656377,48.59464292656377,48.6
31,%null%,%null%,True,True,Iowa,Iowa,45,121,%null%,91780,49.03028982349096,49.0,49.03028982349096,49.03028982349096,49.0
32,%null%,%null%,True,True,Wisconsin,Wisconsin,94,301,%null%,185474,50.68095797793761,50.7,50.68095797793761,50.68095797793761,50.7
33,%null%,%null%,True,True,Nebraska,Nebraska,28,93,%null%,54128,51.72923440733077,51.7,51.72923440733077,51.72923440733077,51.7
34,%null%,%null%,True,True,Nevada,Nevada,155,443,%null%,292101,53.063837508259134,53.1,53.063837508259134,53.063837508259134,53.1
35,%null%,%null%,True,True,Rhode Island,Rhode Island,21,60,%null%,39360,53.35365853658537,53.4,53.35365853658537,53.35365853658537,53.4
36,%null%,%null%,True,True,Colorado,Colorado,114,369,%null%,206559,55.19004255442755,55.2,55.19004255442755,55.19004255442755,55.2
37,%null%,%null%,True,True,Arkansas,Arkansas,37,104,%null%,64245,57.592030508210755,57.6,57.592030508210755,57.592030508210755,57.6
38,%null%,%null%,True,True,Arizona,Arizona,156,584,%null%,270631,57.64306380274248,57.6,57.64306380274248,57.64306380274248,57.6
39,%null%,%null%,True,True,Utah,Utah,71,243,%null%,119717,59.306531236165284,59.3,59.306531236165284,59.306531236165284,59.3
40,%null%,%null%,True,True,Maine,Maine,14,50,%null%,18886,74.12898443291327,74.1,74.12898443291327,74.12898443291327,74.1
41,%null%,%null%,True,True,South Dakota,South Dakota,12,29,%null%,15358,78.13517385076182,78.1,78.13517385076182,78.13517385076182,78.1
42,%null%,%null%,True,True,Idaho,Idaho,25,66,%null%,31829,78.5447233654843,78.5,78.5447233654843,78.5447233654843,78.5
43,%null%,%null%,True,True,New Mexico,New Mexico,30,76,%null%,35760,83.89261744966443,83.9,83.89261744966443,83.89261744966443,83.9
44,%null%,%null%,True,True,Indiana,Indiana,195,655,%null%,183573,106.22477161674102,106.2,106.22477161674102,106.22477161674102,106.2
45,%null%,%null%,True,True,West Virginia,West Virginia,18,76,%null%,15762,114.19870574800153,114.2,114.19870574800153,114.19870574800153,114.2
46,%null%,%null%,True,True,Wyoming,Wyoming,8,35,%null%,6184,129.366106080207,129.4,129.366106080207,129.366106080207,129.4
47,%null%,%null%,True,True,Alaska,Alaska,78,255,%null%,58213,133.9906893649185,134.0,133.9906893649185,133.9906893649185,134.0
48,%null%,%null%,True,True,Alabama,Alabama,113,451,%null%,78576,143.8098147016901,143.8,143.8098147016901,143.8098147016901,143.8
