,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,78,227,%null%,291001,26.804031601265976,26.8,26.804031601265976,26.804031601265976,26.8
1,%null%,%null%,True,True,Oklahoma,Oklahoma,106,272,%null%,235733,44.96612693174057,45.0,44.96612693174057,44.96612693174057,45.0
2,%null%,%null%,True,True,North Dakota,North Dakota,8,24,%null%,16837,47.51440280334977,47.5,47.51440280334977,47.51440280334977,47.5
3,%null%,%null%,True,True,South Dakota,South Dakota,10,30,%null%,20807,48.06074878646609,48.1,48.06074878646609,48.06074878646609,48.1
4,%null%,%null%,True,True,Alaska,Alaska,27,86,%null%,52262,51.66277601316445,51.7,51.66277601316445,51.66277601316445,51.7
5,%null%,%null%,True,True,Maine,Maine,13,45,%null%,24338,53.41441367408991,53.4,53.41441367408991,53.41441367408991,53.4
6,%null%,%null%,True,True,District of Columbia,District of Columbia,9,32,%null%,16480,54.6116504854369,54.6,54.6116504854369,54.6116504854369,54.6
7,%null%,%null%,True,True,Montana,Montana,17,38,%null%,28810,59.00728913571676,59.0,59.00728913571676,59.00728913571676,59.0
8,%null%,%null%,True,True,Minnesota,Minnesota,84,278,%null%,139747,60.108624872090274,60.1,60.108624872090274,60.108624872090274,60.1
9,%null%,%null%,True,True,Rhode Island,Rhode Island,15,59,%null%,24311,61.700464810168235,61.7,61.700464810168235,61.700464810168235,61.7
10,%null%,%null%,True,True,Louisiana,Louisiana,47,141,%null%,74216,63.32866228306565,63.3,63.32866228306565,63.32866228306565,63.3
11,%null%,%null%,True,True,Kansas,Kansas,56,141,%null%,81605,68.62324612462471,68.6,68.62324612462471,68.62324612462471,68.6
12,%null%,%null%,True,True,West Virginia,West Virginia,25,55,%null%,33519,74.58456397863898,74.6,74.58456397863898,74.58456397863898,74.6
13,%null%,%null%,True,True,Washington,Washington,260,718,%null%,342530,75.9057600794091,75.9,75.9057600794091,75.9057600794091,75.9
14,%null%,%null%,True,True,Michigan,Michigan,186,500,%null%,243379,76.42401357553446,76.4,76.42401357553446,76.42401357553446,76.4
15,%null%,%null%,True,True,Tennessee,Tennessee,104,285,%null%,134263,77.45991077214124,77.5,77.45991077214124,77.45991077214124,77.5
16,%null%,%null%,True,True,Oregon,Oregon,116,304,%null%,148706,78.0062674001049,78.0,78.0062674001049,78.0062674001049,78.0
17,%null%,%null%,True,True,Vermont,Vermont,10,20,%null%,12316,81.19519324455993,81.2,81.19519324455993,81.19519324455993,81.2
18,%null%,%null%,True,True,Missouri,Missouri,117,308,%null%,143689,81.42585723333032,81.4,81.42585723333032,81.42585723333032,81.4
19,%null%,%null%,True,True,Idaho,Idaho,35,89,%null%,41056,85.24941543257988,85.2,85.24941543257988,85.24941543257988,85.2
20,%null%,%null%,True,True,Pennsylvania,Pennsylvania,204,576,%null%,238808,85.42427389367191,85.4,85.42427389367191,85.42427389367191,85.4
21,%null%,%null%,True,True,Utah,Utah,65,181,%null%,76033,85.4891954809096,85.5,85.4891954809096,85.4891954809096,85.5
22,%null%,%null%,True,True,Maryland,Maryland,139,412,%null%,161497,86.06971027325585,86.1,86.06971027325585,86.06971027325585,86.1
23,%null%,%null%,True,True,Ohio,Ohio,238,551,%null%,274463,86.71478487082047,86.7,86.71478487082047,86.71478487082047,86.7
24,%null%,%null%,True,True,Alabama,Alabama,76,220,%null%,86070,88.30022075055187,88.3,88.30022075055187,88.30022075055187,88.3
25,%null%,%null%,True,True,Kentucky,Kentucky,82,185,%null%,90573,90.53470681108057,90.5,90.53470681108057,90.53470681108057,90.5
26,%null%,%null%,True,True,Arkansas,Arkansas,58,134,%null%,63545,91.27390038555355,91.3,91.27390038555355,91.27390038555355,91.3
27,%null%,%null%,True,True,Delaware,Delaware,23,58,%null%,25193,91.29520104791014,91.3,91.29520104791014,91.29520104791014,91.3
28,%null%,%null%,True,True,New Hampshire,New Hampshire,21,54,%null%,22716,92.44585314315901,92.4,92.44585314315901,92.44585314315901,92.4
29,%null%,%null%,True,True,Connecticut,Connecticut,64,190,%null%,68017,94.09412352794155,94.1,94.09412352794155,94.09412352794155,94.1
30,%null%,%null%,True,True,North Carolina,North Carolina,215,535,%null%,225732,95.24568957879255,95.2,95.24568957879255,95.24568957879255,95.2
31,%null%,%null%,True,True,Iowa,Iowa,57,134,%null%,59427,95.91599777878743,95.9,95.91599777878743,95.91599777878743,95.9
32,%null%,%null%,True,True,Virginia,Virginia,247,663,%null%,250775,98.4946665337454,98.5,98.4946665337454,98.4946665337454,98.5
33,%null%,%null%,True,True,Indiana,Indiana,139,355,%null%,139946,99.32402498106411,99.3,99.32402498106411,99.32402498106411,99.3
34,%null%,%null%,True,True,Massachusetts,Massachusetts,138,394,%null%,137083,100.66893779680922,100.7,100.66893779680922,100.66893779680922,100.7
35,%null%,%null%,True,True,South Carolina,South Carolina,100,226,%null%,98263,101.76770503648372,101.8,101.76770503648372,101.76770503648372,101.8
36,%null%,%null%,True,True,New York,New York,386,1069,%null%,378698,101.92818551986015,101.9,101.92818551986015,101.92818551986015,101.9
37,%null%,%null%,True,True,Mississippi,Mississippi,39,82,%null%,37834,103.08188401966486,103.1,103.08188401966486,103.08188401966486,103.1
38,%null%,%null%,True,True,Nebraska,Nebraska,43,103,%null%,40407,106.41720493973817,106.4,106.41720493973817,106.41720493973817,106.4
39,%null%,%null%,True,True,Georgia,Georgia,233,639,%null%,217873,106.94303562166951,106.9,106.94303562166951,106.94303562166951,106.9
40,%null%,%null%,True,True,California,California,1259,3505,%null%,1170491,107.56169846671185,107.6,107.56169846671185,107.56169846671185,107.6
41,%null%,%null%,True,True,Wyoming,Wyoming,12,33,%null%,11050,108.59728506787332,108.6,108.59728506787332,108.59728506787332,108.6
42,%null%,%null%,True,True,Wisconsin,Wisconsin,120,283,%null%,109888,109.20209668025626,109.2,109.20209668025626,109.20209668025626,109.2
43,%null%,%null%,True,True,Illinois,Illinois,255,709,%null%,224432,113.62016111784415,113.6,113.62016111784415,113.62016111784415,113.6
44,%null%,%null%,True,True,Nevada,Nevada,137,366,%null%,118795,115.32471905383224,115.3,115.32471905383224,115.32471905383224,115.3
45,%null%,%null%,True,True,Florida,Florida,468,1199,%null%,390375,119.88472622478385,119.9,119.88472622478385,119.88472622478385,119.9
46,%null%,%null%,True,True,New Jersey,New Jersey,192,558,%null%,152237,126.11914317807104,126.1,126.11914317807104,126.11914317807104,126.1
47,%null%,%null%,True,True,Colorado,Colorado,183,449,%null%,144152,126.94933126144625,126.9,126.94933126144625,126.94933126144625,126.9
48,%null%,%null%,True,True,Arizona,Arizona,224,543,%null%,163394,137.09193728043869,137.1,137.09193728043869,137.09193728043869,137.1
49,%null%,%null%,True,True,Texas,Texas,690,1779,%null%,473467,145.7334935697736,145.7,145.7334935697736,145.7334935697736,145.7
50,%null%,%null%,True,True,New Mexico,New Mexico,50,130,%null%,33832,147.7890754315441,147.8,147.7890754315441,147.7890754315441,147.8
