,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Rhode Island,Rhode Island,41,127,%null%,187776,21.834526244035448,21.83,21.834526244035448,21.834526244035448,21.8
1,%null%,%null%,True,True,South Dakota,South Dakota,10,49,%null%,41288,24.22011238132145,24.22,24.22011238132145,24.22011238132145,24.2
2,%null%,%null%,True,True,Hawaii,Hawaii,41,127,%null%,160134,25.60355702099492,25.60,25.60355702099492,25.60355702099492,25.6
3,%null%,%null%,True,True,District of Columbia,District of Columbia,21,89,%null%,76919,27.301446976689768,27.30,27.301446976689768,27.301446976689768,27.3
4,%null%,%null%,True,True,Maryland,Maryland,208,648,%null%,684437,30.38994092955232,30.39,30.38994092955232,30.38994092955232,30.4
5,%null%,%null%,True,True,Oklahoma,Oklahoma,148,428,%null%,467249,31.674760138598476,31.67,31.674760138598476,31.674760138598476,31.7
6,%null%,%null%,True,True,New Mexico,New Mexico,337,908,%null%,1059242,31.815203702270114,31.82,31.815203702270114,31.815203702270114,31.8
7,%null%,%null%,True,True,West Virginia,West Virginia,11,26,%null%,33684,32.65645410283815,32.66,32.65645410283815,32.65645410283815,32.7
8,%null%,%null%,True,True,New York,New York,1268,3819,%null%,3868268,32.77952820228588,32.78,32.77952820228588,32.77952820228588,32.8
9,%null%,%null%,True,True,Florida,Florida,1938,5700,%null%,5830908,33.236676003119925,33.24,33.236676003119925,33.236676003119925,33.2
10,%null%,%null%,True,True,Louisiana,Louisiana,86,218,%null%,258338,33.28972121793929,33.29,33.28972121793929,33.28972121793929,33.3
11,%null%,%null%,True,True,New Jersey,New Jersey,664,2002,%null%,1991638,33.3393919979434,33.34,33.3393919979434,33.3393919979434,33.3
12,%null%,%null%,True,True,Oregon,Oregon,201,664,%null%,596517,33.695602975271456,33.70,33.695602975271456,33.695602975271456,33.7
13,%null%,%null%,True,True,Massachusetts,Massachusetts,305,947,%null%,897349,33.98900539255072,33.99,33.98900539255072,33.98900539255072,34.0
14,%null%,%null%,True,True,Washington,Washington,361,1052,%null%,1059156,34.08374214940953,34.08,34.08374214940953,34.08374214940953,34.1
15,%null%,%null%,True,True,California,California,5403,16454,%null%,15754605,34.29473477754599,34.29,34.29473477754599,34.29473477754599,34.3
16,%null%,%null%,True,True,Connecticut,Connecticut,219,593,%null%,637112,34.37386205251196,34.37,34.37386205251196,34.37386205251196,34.4
17,%null%,%null%,True,True,North Dakota,North Dakota,12,32,%null%,34335,34.94975972040192,34.95,34.94975972040192,34.94975972040192,34.9
18,%null%,%null%,True,True,Nevada,Nevada,337,949,%null%,940757,35.82221551367675,35.82,35.82221551367675,35.82221551367675,35.8
19,%null%,%null%,True,True,Virginia,Virginia,317,1034,%null%,882402,35.92466925505609,35.92,35.92466925505609,35.92466925505609,35.9
20,%null%,%null%,True,True,Pennsylvania,Pennsylvania,395,1106,%null%,1084634,36.41781467296803,36.42,36.41781467296803,36.41781467296803,36.4
21,%null%,%null%,True,True,Minnesota,Minnesota,122,410,%null%,333474,36.584561315125015,36.58,36.584561315125015,36.584561315125015,36.6
22,%null%,%null%,True,True,Kansas,Kansas,138,384,%null%,374093,36.88922273338448,36.89,36.88922273338448,36.88922273338448,36.9
23,%null%,%null%,True,True,North Carolina,North Carolina,398,1129,%null%,1078224,36.91255249373043,36.91,36.91255249373043,36.91255249373043,36.9
24,%null%,%null%,True,True,South Carolina,South Carolina,125,382,%null%,330096,37.86777179971887,37.87,37.86777179971887,37.86777179971887,37.9
25,%null%,%null%,True,True,Texas,Texas,4521,13008,%null%,11857401,38.128085572883975,38.13,38.128085572883975,38.128085572883975,38.1
26,%null%,%null%,True,True,Illinois,Illinois,899,2747,%null%,2282133,39.39297140000166,39.39,39.39297140000166,39.39297140000166,39.4
27,%null%,%null%,True,True,Montana,Montana,19,47,%null%,48014,39.571791560794765,39.57,39.571791560794765,39.571791560794765,39.6
28,%null%,%null%,True,True,Idaho,Idaho,102,280,%null%,251919,40.48920486346802,40.49,40.48920486346802,40.48920486346802,40.5
29,%null%,%null%,True,True,Georgia,Georgia,453,1317,%null%,1104836,41.00156041258612,41.00,41.00156041258612,41.00156041258612,41.0
30,%null%,%null%,True,True,Ohio,Ohio,210,577,%null%,508643,41.286324593083954,41.29,41.286324593083954,41.286324593083954,41.3
31,%null%,%null%,True,True,Colorado,Colorado,544,1481,%null%,1293214,42.06573699325866,42.07,42.06573699325866,42.06573699325866,42.1
32,%null%,%null%,True,True,Missouri,Missouri,122,370,%null%,287125,42.49020461471484,42.49,42.49020461471484,42.49020461471484,42.5
33,%null%,%null%,True,True,Mississippi,Mississippi,44,98,%null%,102936,42.74500660604648,42.75,42.74500660604648,42.74500660604648,42.7
34,%null%,%null%,True,True,Michigan,Michigan,245,701,%null%,561587,43.62636599493934,43.63,43.62636599493934,43.62636599493934,43.6
35,%null%,%null%,True,True,Tennessee,Tennessee,187,440,%null%,425839,43.91330995986746,43.91,43.91330995986746,43.91330995986746,43.9
36,%null%,%null%,True,True,Arizona,Arizona,1036,2866,%null%,2351122,44.06406813427802,44.06,44.06406813427802,44.06406813427802,44.1
37,%null%,%null%,True,True,Iowa,Iowa,95,257,%null%,215119,44.16160357755475,44.16,44.16160357755475,44.16160357755475,44.2
38,%null%,%null%,True,True,Wisconsin,Wisconsin,197,565,%null%,442517,44.518063712806516,44.52,44.518063712806516,44.518063712806516,44.5
39,%null%,%null%,True,True,Nebraska,Nebraska,106,295,%null%,235669,44.97833826256317,44.98,44.97833826256317,44.97833826256317,45.0
40,%null%,%null%,True,True,Indiana,Indiana,244,695,%null%,522944,46.65891567739567,46.66,46.65891567739567,46.65891567739567,46.7
41,%null%,%null%,True,True,New Hampshire,New Hampshire,30,87,%null%,60873,49.28293332019122,49.28,49.28293332019122,49.28293332019122,49.3
42,%null%,%null%,True,True,Utah,Utah,246,651,%null%,493636,49.83429085398958,49.83,49.83429085398958,49.83429085398958,49.8
43,%null%,%null%,True,True,Kentucky,Kentucky,97,235,%null%,187984,51.600136181802704,51.60,51.600136181802704,51.600136181802704,51.6
44,%null%,%null%,True,True,Alabama,Alabama,126,379,%null%,241168,52.24573741126517,52.25,52.24573741126517,52.24573741126517,52.2
45,%null%,%null%,True,True,Delaware,Delaware,54,156,%null%,101213,53.35283017003744,53.35,53.35283017003744,53.35283017003744,53.4
46,%null%,%null%,True,True,Arkansas,Arkansas,137,375,%null%,251277,54.52150415676723,54.52,54.52150415676723,54.52150415676723,54.5
