,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Rhode Island,Rhode Island,204,741,%null%,771405,26.4452524938262,26.45,26.4452524938262,26.4452524938262,26.4
1,%null%,%null%,True,True,New Jersey,New Jersey,1439,5034,%null%,4960795,29.00744739502439,29.01,29.00744739502439,29.00744739502439,29.0
2,%null%,%null%,True,True,Maryland,Maryland,917,3248,%null%,3020582,30.3583878868377,30.36,30.3583878868377,30.3583878868377,30.4
3,%null%,%null%,True,True,Massachusetts,Massachusetts,1505,5284,%null%,4894728,30.74736737158837,30.75,30.74736737158837,30.74736737158837,30.7
4,%null%,%null%,True,True,New York,New York,3357,11835,%null%,10858889,30.914764853015807,30.91,30.914764853015807,30.914764853015807,30.9
5,%null%,%null%,True,True,Louisiana,Louisiana,882,2593,%null%,2676273,32.95627912399071,32.96,32.95627912399071,32.95627912399071,33.0
6,%null%,%null%,True,True,Connecticut,Connecticut,773,2737,%null%,2330326,33.171324527126245,33.17,33.171324527126245,33.171324527126245,33.2
7,%null%,%null%,True,True,California,California,4695,15795,%null%,13815325,33.983999652559746,33.98,33.983999652559746,33.983999652559746,34.0
8,%null%,%null%,True,True,Vermont,Vermont,205,700,%null%,595151,34.44503999825255,34.45,34.44503999825255,34.44503999825255,34.4
9,%null%,%null%,True,True,Minnesota,Minnesota,1556,5522,%null%,4458035,34.90327016275108,34.90,34.90327016275108,34.90327016275108,34.9
10,%null%,%null%,True,True,Florida,Florida,4110,12196,%null%,11467951,35.83900907843084,35.84,35.83900907843084,35.83900907843084,35.8
11,%null%,%null%,True,True,Pennsylvania,Pennsylvania,3477,11288,%null%,9701126,35.8412002895334,35.84,35.8412002895334,35.8412002895334,35.8
12,%null%,%null%,True,True,North Carolina,North Carolina,2342,7275,%null%,6528578,35.87304923062878,35.87,35.87304923062878,35.87304923062878,35.9
13,%null%,%null%,True,True,Illinois,Illinois,2755,8995,%null%,7597266,36.263045153348585,36.26,36.263045153348585,36.263045153348585,36.3
14,%null%,%null%,True,True,North Dakota,North Dakota,238,757,%null%,644623,36.920804873546246,36.92,36.920804873546246,36.920804873546246,36.9
15,%null%,%null%,True,True,New Hampshire,New Hampshire,468,1435,%null%,1238184,37.797290225039255,37.80,37.797290225039255,37.797290225039255,37.8
16,%null%,%null%,True,True,South Dakota,South Dakota,275,847,%null%,723678,38.00032611188954,38.00,38.00032611188954,38.00032611188954,38.0
17,%null%,%null%,True,True,Wisconsin,Wisconsin,1829,6154,%null%,4727246,38.690603366103645,38.69,38.690603366103645,38.690603366103645,38.7
18,%null%,%null%,True,True,Michigan,Michigan,2900,8869,%null%,7462582,38.860544513949726,38.86,38.860544513949726,38.860544513949726,38.9
19,%null%,%null%,True,True,Nebraska,Nebraska,600,2020,%null%,1519341,39.49080555319708,39.49,39.49080555319708,39.49080555319708,39.5
20,%null%,%null%,True,True,Montana,Montana,376,1101,%null%,943656,39.84502827301474,39.85,39.84502827301474,39.84502827301474,39.8
21,%null%,%null%,True,True,Washington,Washington,2046,6415,%null%,5111255,40.029307870571905,40.03,40.029307870571905,40.029307870571905,40.0
22,%null%,%null%,True,True,Virginia,Virginia,2098,6657,%null%,5213717,40.24000535510462,40.24,40.24000535510462,40.24000535510462,40.2
23,%null%,%null%,True,True,Missouri,Missouri,1958,5826,%null%,4854359,40.33488252516965,40.33,40.33488252516965,40.33488252516965,40.3
24,%null%,%null%,True,True,Oregon,Oregon,1275,3988,%null%,3148080,40.500876724860866,40.50,40.500876724860866,40.500876724860866,40.5
25,%null%,%null%,True,True,District of Columbia,District of Columbia,102,462,%null%,249751,40.840677314605344,40.84,40.840677314605344,40.840677314605344,40.8
26,%null%,%null%,True,True,Kansas,Kansas,903,2968,%null%,2192217,41.191177698193194,41.19,41.191177698193194,41.191177698193194,41.2
27,%null%,%null%,True,True,New Mexico,New Mexico,314,939,%null%,759740,41.329928659804665,41.33,41.329928659804665,41.329928659804665,41.3
28,%null%,%null%,True,True,South Carolina,South Carolina,1366,3904,%null%,3290272,41.51632448624308,41.52,41.51632448624308,41.51632448624308,41.5
29,%null%,%null%,True,True,Maine,Maine,529,1564,%null%,1269535,41.66879999369848,41.67,41.66879999369848,41.66879999369848,41.7
30,%null%,%null%,True,True,Wyoming,Wyoming,201,687,%null%,482320,41.6735777077459,41.67,41.6735777077459,41.6735777077459,41.7
31,%null%,%null%,True,True,Nevada,Nevada,616,1807,%null%,1464563,42.060327893030205,42.06,42.060327893030205,42.060327893030205,42.1
32,%null%,%null%,True,True,Texas,Texas,5053,14958,%null%,11885058,42.515568708204874,42.52,42.515568708204874,42.515568708204874,42.5
33,%null%,%null%,True,True,Iowa,Iowa,1147,3466,%null%,2685614,42.70904158229738,42.71,42.70904158229738,42.70904158229738,42.7
34,%null%,%null%,True,True,Ohio,Ohio,3961,11811,%null%,9149813,43.29050222119294,43.29,43.29050222119294,43.29050222119294,43.3
35,%null%,%null%,True,True,Colorado,Colorado,1686,5590,%null%,3893018,43.30830219639365,43.31,43.30830219639365,43.30830219639365,43.3
36,%null%,%null%,True,True,Georgia,Georgia,2400,6921,%null%,5510193,43.55564315079345,43.56,43.55564315079345,43.55564315079345,43.6
37,%null%,%null%,True,True,Delaware,Delaware,265,875,%null%,608053,43.58172725074952,43.58,43.58172725074952,43.58172725074952,43.6
38,%null%,%null%,True,True,Kentucky,Kentucky,1684,4794,%null%,3765843,44.71774314542587,44.72,44.71774314542587,44.71774314542587,44.7
39,%null%,%null%,True,True,Idaho,Idaho,696,2103,%null%,1541463,45.151910879469696,45.15,45.151910879469696,45.151910879469696,45.2
40,%null%,%null%,True,True,Arizona,Arizona,1760,5317,%null%,3872615,45.447326935417024,45.45,45.447326935417024,45.447326935417024,45.4
41,%null%,%null%,True,True,West Virginia,West Virginia,771,2065,%null%,1632071,47.240591861506026,47.24,47.240591861506026,47.240591861506026,47.2
42,%null%,%null%,True,True,Oklahoma,Oklahoma,1237,3432,%null%,2544785,48.609214530893574,48.61,48.609214530893574,48.609214530893574,48.6
43,%null%,%null%,True,True,Mississippi,Mississippi,811,2208,%null%,1652517,49.076650951245895,49.08,49.076650951245895,49.076650951245895,49.1
44,%null%,%null%,True,True,Tennessee,Tennessee,2520,6989,%null%,5097174,49.439159816792596,49.44,49.439159816792596,49.439159816792596,49.4
45,%null%,%null%,True,True,Arkansas,Arkansas,1082,2933,%null%,2156694,50.169379615281535,50.17,50.169379615281535,50.169379615281535,50.2
46,%null%,%null%,True,True,Indiana,Indiana,2662,7849,%null%,5276416,50.45091213429722,50.45,50.45091213429722,50.45091213429722,50.5
47,%null%,%null%,True,True,Utah,Utah,1315,4145,%null%,2577888,51.010749885177326,51.01,51.010749885177326,51.010749885177326,51.0
48,%null%,%null%,True,True,Alabama,Alabama,1668,4733,%null%,3269726,51.013448833327324,51.01,51.013448833327324,51.013448833327324,51.0
49,%null%,%null%,True,True,Hawaii,Hawaii,166,566,%null%,308195,53.862002952676065,53.86,53.862002952676065,53.862002952676065,53.9
50,%null%,%null%,True,True,Alaska,Alaska,337,1016,%null%,434746,77.51652689156427,77.52,77.51652689156427,77.51652689156427,77.5
