,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Mexico,New Mexico,79,222,%null%,186151,42.438665384553396,42.4,42.438665384553396,42.438665384553396,42.4
1,%null%,%null%,True,True,Arizona,Arizona,184,495,%null%,279130,65.91910579299967,65.9,65.91910579299967,65.91910579299967,65.9
2,%null%,%null%,True,True,South Dakota,South Dakota,49,127,%null%,73258,66.88689289906904,66.9,66.88689289906904,66.88689289906904,66.9
3,%null%,%null%,True,True,Alaska,Alaska,84,231,%null%,109039,77.03665660910316,77.0,77.03665660910316,77.03665660910316,77.0
4,%null%,%null%,True,True,North Carolina,North Carolina,90,242,%null%,115825,77.70343190157566,77.7,77.70343190157566,77.70343190157566,77.7
5,%null%,%null%,True,True,Montana,Montana,53,142,%null%,66192,80.0700991056321,80.1,80.0700991056321,80.0700991056321,80.1
6,%null%,%null%,True,True,Oklahoma,Oklahoma,275,753,%null%,339826,80.92376686892703,80.9,80.92376686892703,80.92376686892703,80.9
7,%null%,%null%,True,True,North Dakota,North Dakota,40,86,%null%,40207,99.48516427487752,99.5,99.48516427487752,99.48516427487752,99.5
8,%null%,%null%,True,True,Wyoming,Wyoming,14,33,%null%,12146,115.26428453811955,115.3,115.26428453811955,115.26428453811955,115.3
9,%null%,%null%,True,True,Louisiana,Louisiana,38,83,%null%,30358,125.17293629356347,125.2,125.17293629356347,125.17293629356347,125.2
10,%null%,%null%,True,True,Utah,Utah,39,122,%null%,31014,125.74966144321918,125.7,125.74966144321918,125.74966144321918,125.7
11,%null%,%null%,True,True,Mississippi,Mississippi,20,53,%null%,14992,133.40448239060834,133.4,133.40448239060834,133.40448239060834,133.4
