,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Louisiana,Louisiana,1015,3073,%null%,4624047,21.950468929057166,21.95,21.950468929057166,21.950468929057166,22.0
1,%null%,%null%,True,True,Rhode Island,Rhode Island,259,799,%null%,1095610,23.639798833526527,23.64,23.639798833526527,23.639798833526527,23.6
2,%null%,%null%,True,True,New Jersey,New Jersey,2192,7423,%null%,9267130,23.65349358431359,23.65,23.65349358431359,23.65349358431359,23.7
3,%null%,%null%,True,True,Maryland,Maryland,1540,5316,%null%,6165129,24.979201570640292,24.98,24.979201570640292,24.979201570640292,25.0
4,%null%,%null%,True,True,New York,New York,4966,16351,%null%,19835913,25.035399177239785,25.04,25.035399177239785,25.035399177239785,25.0
5,%null%,%null%,True,True,Florida,Florida,5531,16926,%null%,21781128,25.393542519928264,25.39,25.393542519928264,25.393542519928264,25.4
6,%null%,%null%,True,True,Massachusetts,Massachusetts,1795,6075,%null%,6984723,25.69894325086335,25.70,25.69894325086335,25.69894325086335,25.7
7,%null%,%null%,True,True,New Mexico,New Mexico,548,1645,%null%,2115877,25.899426100855578,25.90,25.899426100855578,25.899426100855578,25.9
8,%null%,%null%,True,True,Pennsylvania,Pennsylvania,3384,11002,%null%,12964056,26.102941857085465,26.10,26.102941857085465,26.102941857085465,26.1
9,%null%,%null%,True,True,North Carolina,North Carolina,2779,9122,%null%,10551162,26.338331266262426,26.34,26.338331266262426,26.338331266262426,26.3
10,%null%,%null%,True,True,Illinois,Illinois,3386,11030,%null%,12671469,26.721448002595437,26.72,26.721448002595437,26.721448002595437,26.7
11,%null%,%null%,True,True,District of Columbia,District of Columbia,186,833,%null%,670050,27.759122453548244,27.76,27.759122453548244,27.759122453548244,27.8
12,%null%,%null%,True,True,California,California,10925,36477,%null%,39237836,27.843023759006485,27.84,27.843023759006485,27.843023759006485,27.8
13,%null%,%null%,True,True,Wisconsin,Wisconsin,1648,5346,%null%,5895908,27.95158947527675,27.95,27.95158947527675,27.95158947527675,28.0
