,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Mexico,New Mexico,268,734,%null%,186151,143.96914332987734,144,143.96914332987734,143.96914332987734,144.0
1,%null%,%null%,True,True,Alaska,Alaska,228,650,%null%,109039,209.09949651042288,209,209.09949651042288,209.09949651042288,209.1
2,%null%,%null%,True,True,Arizona,Arizona,632,1884,%null%,279130,226.4177981585641,226,226.4177981585641,226.4177981585641,226.4
3,%null%,%null%,True,True,North Carolina,North Carolina,277,700,%null%,115825,239.1538959637384,239,239.1538959637384,239.1538959637384,239.2
4,%null%,%null%,True,True,South Dakota,South Dakota,187,462,%null%,73258,255.26222392093698,255,255.26222392093698,255.26222392093698,255.3
5,%null%,%null%,True,True,Oklahoma,Oklahoma,875,2357,%null%,339826,257.48471276476783,257,257.48471276476783,257.48471276476783,257.5
6,%null%,%null%,True,True,Montana,Montana,174,434,%null%,66192,262.8716461203771,263,262.8716461203771,262.8716461203771,262.9
7,%null%,%null%,True,True,North Dakota,North Dakota,110,272,%null%,40207,273.5842017559131,274,273.5842017559131,273.5842017559131,273.6
8,%null%,%null%,True,True,Louisiana,Louisiana,112,264,%null%,30358,368.9307596020818,369,368.9307596020818,368.9307596020818,368.9
9,%null%,%null%,True,True,Wyoming,Wyoming,50,118,%null%,12146,411.6581590647127,412,411.6581590647127,411.6581590647127,411.7
10,%null%,%null%,True,True,Washington,Washington,406,997,%null%,95740,424.06517651974093,424,424.06517651974093,424.06517651974093,424.1
11,%null%,%null%,True,True,Nevada,Nevada,114,279,%null%,26502,430.1562146253113,430,430.1562146253113,430.1562146253113,430.2
12,%null%,%null%,True,True,Utah,Utah,135,369,%null%,31014,435.2872896111433,435,435.2872896111433,435.2872896111433,435.3
13,%null%,%null%,True,True,Minnesota,Minnesota,272,713,%null%,60687,448.2014269942491,448,448.2014269942491,448.2014269942491,448.2
14,%null%,%null%,True,True,Wisconsin,Wisconsin,236,616,%null%,52520,449.35262757044933,449,449.35262757044933,449.35262757044933,449.4
15,%null%,%null%,True,True,Oregon,Oregon,225,555,%null%,46873,480.02048087385066,480,480.02048087385066,480.02048087385066,480.0
16,%null%,%null%,True,True,Rhode Island,Rhode Island,24,51,%null%,4633,518.0228793438376,518,518.0228793438376,518.0228793438376,518.0
17,%null%,%null%,True,True,Mississippi,Mississippi,79,178,%null%,14992,526.9477054429029,527,526.9477054429029,526.9477054429029,526.9
18,%null%,%null%,True,True,Virginia,Virginia,124,331,%null%,23140,535.8686257562662,536,535.8686257562662,535.8686257562662,535.9
19,%null%,%null%,True,True,Nebraska,Nebraska,89,196,%null%,16418,542.0879522475332,542,542.0879522475332,542.0879522475332,542.1
20,%null%,%null%,True,True,South Carolina,South Carolina,109,240,%null%,19363,562.9292981459485,563,562.9292981459485,562.9292981459485,562.9
21,%null%,%null%,True,True,California,California,912,2339,%null%,160861,566.9491051280298,567,566.9491051280298,566.9491051280298,566.9
