,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,1321,5100,%null%,942292,140.19008969618758,140.2,140.19008969618758,140.19008969618758,140.2
1,%null%,%null%,True,True,Massachusetts,Massachusetts,768,3143,%null%,520119,147.65851660869916,147.7,147.65851660869916,147.65851660869916,147.7
2,%null%,%null%,True,True,North Carolina,North Carolina,546,2050,%null%,353832,154.31052024689683,154.3,154.31052024689683,154.31052024689683,154.3
3,%null%,%null%,True,True,California,California,9575,35512,%null%,6136428,156.0354003990595,156.0,156.0354003990595,156.0354003990595,156.0
4,%null%,%null%,True,True,Pennsylvania,Pennsylvania,810,3044,%null%,503783,160.78351194859692,160.8,160.78351194859692,160.78351194859692,160.8
5,%null%,%null%,True,True,Maryland,Maryland,689,2578,%null%,421227,163.56976167244738,163.6,163.56976167244738,163.56976167244738,163.6
6,%null%,%null%,True,True,Ohio,Ohio,515,1969,%null%,313413,164.31992291321674,164.3,164.31992291321674,164.31992291321674,164.3
7,%null%,%null%,True,True,Illinois,Illinois,1244,4564,%null%,756590,164.42194583592172,164.4,164.42194583592172,164.42194583592172,164.4
8,%null%,%null%,True,True,Texas,Texas,2729,9657,%null%,1584396,172.242292962113,172.2,172.242292962113,172.242292962113,172.2
9,%null%,%null%,True,True,New York,New York,3135,10782,%null%,1812286,172.98594151254272,173.0,172.98594151254272,172.98594151254272,173.0
10,%null%,%null%,True,True,Virginia,Virginia,1082,3938,%null%,614516,176.07352778446779,176.1,176.07352778446779,176.07352778446779,176.1
11,%null%,%null%,True,True,Michigan,Michigan,626,2328,%null%,341843,183.1250018283247,183.1,183.1250018283247,183.1250018283247,183.1
12,%null%,%null%,True,True,Tennessee,Tennessee,257,922,%null%,139839,183.78277876701065,183.8,183.78277876701065,183.78277876701065,183.8
13,%null%,%null%,True,True,Missouri,Missouri,269,938,%null%,144420,186.26229054147623,186.3,186.26229054147623,186.26229054147623,186.3
14,%null%,%null%,True,True,Georgia,Georgia,931,3156,%null%,490433,189.83225027679623,189.8,189.83225027679623,189.83225027679623,189.8
15,%null%,%null%,True,True,Connecticut,Connecticut,340,1261,%null%,179054,189.8868497771622,189.9,189.8868497771622,189.8868497771622,189.9
16,%null%,%null%,True,True,Washington,Washington,1559,5351,%null%,813284,191.6919550858003,191.7,191.6919550858003,191.6919550858003,191.7
17,%null%,%null%,True,True,New Hampshire,New Hampshire,82,280,%null%,42740,191.8577445016378,191.9,191.8577445016378,191.8577445016378,191.9
18,%null%,%null%,True,True,Hawaii,Hawaii,1264,4390,%null%,651433,194.03376863008168,194.0,194.03376863008168,194.03376863008168,194.0
19,%null%,%null%,True,True,Oregon,Oregon,443,1491,%null%,221414,200.07768253136655,200.1,200.07768253136655,200.07768253136655,200.1
20,%null%,%null%,True,True,Louisiana,Louisiana,173,588,%null%,85860,201.49079897507568,201.5,201.49079897507568,201.49079897507568,201.5
21,%null%,%null%,True,True,Nevada,Nevada,593,1887,%null%,292101,203.01197188643656,203.0,203.01197188643656,203.01197188643656,203.0
22,%null%,%null%,True,True,Iowa,Iowa,188,673,%null%,91780,204.83765526258446,204.8,204.83765526258446,204.83765526258446,204.8
23,%null%,%null%,True,True,Rhode Island,Rhode Island,81,285,%null%,39360,205.7926829268293,205.8,205.7926829268293,205.7926829268293,205.8
24,%null%,%null%,True,True,Florida,Florida,1346,4404,%null%,650132,207.03487907071178,207.0,207.03487907071178,207.03487907071178,207.0
25,%null%,%null%,True,True,Minnesota,Minnesota,637,2230,%null%,305845,208.27543363468422,208.3,208.27543363468422,208.27543363468422,208.3
26,%null%,%null%,True,True,Wisconsin,Wisconsin,391,1414,%null%,185474,210.81121882312345,210.8,210.81121882312345,210.81121882312345,210.8
27,%null%,%null%,True,True,Nebraska,Nebraska,120,434,%null%,54128,221.69671888856044,221.7,221.69671888856044,221.69671888856044,221.7
28,%null%,%null%,True,True,Kansas,Kansas,213,704,%null%,94576,225.21569954322447,225.2,225.21569954322447,225.21569954322447,225.2
29,%null%,%null%,True,True,Kentucky,Kentucky,185,656,%null%,78406,235.9513302553376,236.0,235.9513302553376,235.9513302553376,236.0
30,%null%,%null%,True,True,Oklahoma,Oklahoma,245,731,%null%,102892,238.11375034016248,238.1,238.11375034016248,238.11375034016248,238.1
31,%null%,%null%,True,True,South Carolina,South Carolina,244,695,%null%,100149,243.6369808984613,243.6,243.6369808984613,243.6369808984613,243.6
32,%null%,%null%,True,True,Colorado,Colorado,564,1999,%null%,206559,273.04547369032576,273.0,273.04547369032576,273.04547369032576,273.0
33,%null%,%null%,True,True,Arizona,Arizona,770,2543,%null%,270631,284.5202508212289,284.5,284.5202508212289,284.5202508212289,284.5
34,%null%,%null%,True,True,Vermont,Vermont,37,146,%null%,12952,285.6701667696109,285.7,285.6701667696109,285.6701667696109,285.7
35,%null%,%null%,True,True,New Mexico,New Mexico,103,326,%null%,35760,288.0313199105145,288.0,288.0313199105145,288.0313199105145,288.0
36,%null%,%null%,True,True,Delaware,Delaware,121,473,%null%,41957,288.3904950306266,288.4,288.3904950306266,288.3904950306266,288.4
37,%null%,%null%,True,True,Utah,Utah,351,1096,%null%,119717,293.19144315343686,293.2,293.19144315343686,293.19144315343686,293.2
38,%null%,%null%,True,True,District of Columbia,District of Columbia,89,380,%null%,29628,300.39152153368434,300.4,300.39152153368434,300.39152153368434,300.4
39,%null%,%null%,True,True,North Dakota,North Dakota,41,135,%null%,13076,313.55154481492815,313.6,313.55154481492815,313.55154481492815,313.6
40,%null%,%null%,True,True,Mississippi,Mississippi,111,346,%null%,33735,329.035126722988,329.0,329.035126722988,329.035126722988,329.0
41,%null%,%null%,True,True,Arkansas,Arkansas,235,724,%null%,64245,365.7872207953926,365.8,365.7872207953926,365.7872207953926,365.8
42,%null%,%null%,True,True,Montana,Montana,42,137,%null%,11461,366.46016926969725,366.5,366.46016926969725,366.46016926969725,366.5
43,%null%,%null%,True,True,South Dakota,South Dakota,65,183,%null%,15358,423.2321916916265,423.2,423.2321916916265,423.2321916916265,423.2
44,%null%,%null%,True,True,Idaho,Idaho,150,425,%null%,31829,471.26834019290584,471.3,471.26834019290584,471.26834019290584,471.3
45,%null%,%null%,True,True,Indiana,Indiana,956,3202,%null%,183573,520.7737521313047,520.8,520.7737521313047,520.7737521313047,520.8
46,%null%,%null%,True,True,West Virginia,West Virginia,89,281,%null%,15762,564.6491561984519,564.6,564.6491561984519,564.6491561984519,564.6
47,%null%,%null%,True,True,Alaska,Alaska,354,1199,%null%,58213,608.11159019463,608.1,608.11159019463,608.11159019463,608.1
48,%null%,%null%,True,True,Maine,Maine,122,383,%null%,18886,645.9811500582442,646.0,645.9811500582442,645.9811500582442,646.0
49,%null%,%null%,True,True,Alabama,Alabama,525,1715,%null%,78576,668.1429444105071,668.1,668.1429444105071,668.1429444105071,668.1
50,%null%,%null%,True,True,Wyoming,Wyoming,62,179,%null%,6184,1002.5873221216042,"1,002.6",1002.5873221216042,1002.5873221216042,"1,002.6"
