,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Louisiana,Louisiana,1396,4201,%null%,1499002,93.12862824732723,93.1,93.12862824732723,93.12862824732723,93.1
1,%null%,%null%,True,True,Alabama,Alabama,1434,4477,%null%,1336172,107.32151249988773,107.3,107.32151249988773,107.32151249988773,107.3
2,%null%,%null%,True,True,North Carolina,North Carolina,2422,8470,%null%,2248971,107.69369636158046,107.7,107.69369636158046,107.69369636158046,107.7
3,%null%,%null%,True,True,South Carolina,South Carolina,1490,4606,%null%,1352562,110.1613086867737,110.2,110.1613086867737,110.1613086867737,110.2
4,%null%,%null%,True,True,Mississippi,Mississippi,1261,4009,%null%,1107951,113.81369753716544,113.8,113.81369753716544,113.81369753716544,113.8
5,%null%,%null%,True,True,District of Columbia,District of Columbia,337,1227,%null%,295889,113.89406162446052,113.9,113.89406162446052,113.89406162446052,113.9
6,%null%,%null%,True,True,Tennessee,Tennessee,1349,4107,%null%,1158262,116.46760404813419,116.5,116.46760404813419,116.46760404813419,116.5
7,%null%,%null%,True,True,Arkansas,Arkansas,552,1650,%null%,466227,118.39726141986628,118.4,118.39726141986628,118.39726141986628,118.4
8,%null%,%null%,True,True,Florida,Florida,4014,12398,%null%,3386309,118.53614067706165,118.5,118.53614067706165,118.53614067706165,118.5
9,%null%,%null%,True,True,New York,New York,3467,11464,%null%,2857575,121.32664934428668,121.3,121.32664934428668,121.32664934428668,121.3
10,%null%,%null%,True,True,Michigan,Michigan,1684,5349,%null%,1383769,121.69661265717038,121.7,121.69661265717038,121.69661265717038,121.7
11,%null%,%null%,True,True,Rhode Island,Rhode Island,84,259,%null%,68125,123.30275229357798,123.3,123.30275229357798,123.30275229357798,123.3
12,%null%,%null%,True,True,Maryland,Maryland,2335,7959,%null%,1862521,125.3677139747686,125.4,125.3677139747686,125.3677139747686,125.4
13,%null%,%null%,True,True,Georgia,Georgia,4330,13900,%null%,3451256,125.46157109179963,125.5,125.46157109179963,125.46157109179963,125.5
14,%null%,%null%,True,True,Pennsylvania,Pennsylvania,1781,5662,%null%,1416684,125.716108885256,125.7,125.716108885256,125.716108885256,125.7
15,%null%,%null%,True,True,Missouri,Missouri,897,2808,%null%,711459,126.0789448162157,126.1,126.0789448162157,126.0789448162157,126.1
16,%null%,%null%,True,True,Virginia,Virginia,2122,7028,%null%,1657724,128.00683346564327,128.0,128.00683346564327,128.00683346564327,128.0
17,%null%,%null%,True,True,Ohio,Ohio,1944,6043,%null%,1510741,128.6785756128946,128.7,128.6785756128946,128.6785756128946,128.7
18,%null%,%null%,True,True,New Jersey,New Jersey,1553,4915,%null%,1205848,128.7890347705515,128.8,128.7890347705515,128.7890347705515,128.8
19,%null%,%null%,True,True,Illinois,Illinois,2364,7174,%null%,1791229,131.97642512487235,132.0,131.97642512487235,131.97642512487235,132.0
20,%null%,%null%,True,True,Massachusetts,Massachusetts,695,2190,%null%,522609,132.98661140546758,133.0,132.98661140546758,132.98661140546758,133.0
21,%null%,%null%,True,True,Texas,Texas,4979,15581,%null%,3630643,137.13824245457346,137.1,137.13824245457346,137.13824245457346,137.1
22,%null%,%null%,True,True,Kentucky,Kentucky,519,1550,%null%,377275,137.56543635279306,137.6,137.56543635279306,137.56543635279306,137.6
23,%null%,%null%,True,True,Wisconsin,Wisconsin,533,1472,%null%,378263,140.9072523614522,140.9,140.9072523614522,140.9072523614522,140.9
24,%null%,%null%,True,True,Delaware,Delaware,320,1092,%null%,223935,142.8986089713533,142.9,142.8986089713533,142.8986089713533,142.9
25,%null%,%null%,True,True,Oklahoma,Oklahoma,425,1308,%null%,296154,143.50641895770443,143.5,143.50641895770443,143.50641895770443,143.5
26,%null%,%null%,True,True,Connecticut,Connecticut,553,1806,%null%,382977,144.39509422236844,144.4,144.39509422236844,144.39509422236844,144.4
