,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,144,475,%null%,160134,89.92468807373825,89.9,89.92468807373825,89.92468807373825,89.9
1,%null%,%null%,True,True,Rhode Island,Rhode Island,206,548,%null%,187776,109.70518064076346,109.7,109.70518064076346,109.70518064076346,109.7
2,%null%,%null%,True,True,New Mexico,New Mexico,1197,3357,%null%,1059242,113.0053377792799,113.0,113.0053377792799,113.0053377792799,113.0
3,%null%,%null%,True,True,New York,New York,4450,13667,%null%,3868268,115.03856506322725,115.0,115.03856506322725,115.03856506322725,115.0
4,%null%,%null%,True,True,Florida,Florida,6843,20951,%null%,5830908,117.35736526798227,117.4,117.35736526798227,117.35736526798227,117.4
5,%null%,%null%,True,True,Louisiana,Louisiana,307,816,%null%,258338,118.83656295241119,118.8,118.83656295241119,118.83656295241119,118.8
6,%null%,%null%,True,True,New Jersey,New Jersey,2441,7432,%null%,1991638,122.56243353460819,122.6,122.56243353460819,122.56243353460819,122.6
7,%null%,%null%,True,True,Oklahoma,Oklahoma,584,1648,%null%,467249,124.98689135771292,125.0,124.98689135771292,124.98689135771292,125.0
8,%null%,%null%,True,True,California,California,19966,62110,%null%,15754605,126.73120017924917,126.7,126.73120017924917,126.73120017924917,126.7
9,%null%,%null%,True,True,Maryland,Maryland,877,2654,%null%,684437,128.13451055392972,128.1,128.13451055392972,128.13451055392972,128.1
10,%null%,%null%,True,True,Washington,Washington,1370,3957,%null%,1059156,129.34827353100016,129.3,129.34827353100016,129.34827353100016,129.3
11,%null%,%null%,True,True,Idaho,Idaho,329,1018,%null%,251919,130.59753333412723,130.6,130.59753333412723,130.59753333412723,130.6
12,%null%,%null%,True,True,Massachusetts,Massachusetts,1182,3523,%null%,897349,131.7213258163769,131.7,131.7213258163769,131.7213258163769,131.7
13,%null%,%null%,True,True,Mississippi,Mississippi,136,373,%null%,102936,132.1209295095982,132.1,132.1209295095982,132.1209295095982,132.1
14,%null%,%null%,True,True,Oregon,Oregon,796,2422,%null%,596517,133.44129337470685,133.4,133.44129337470685,133.44129337470685,133.4
15,%null%,%null%,True,True,Virginia,Virginia,1199,3777,%null%,882402,135.87911178805123,135.9,135.87911178805123,135.87911178805123,135.9
16,%null%,%null%,True,True,North Carolina,North Carolina,1471,4322,%null%,1078224,136.42805205597352,136.4,136.42805205597352,136.42805205597352,136.4
17,%null%,%null%,True,True,South Carolina,South Carolina,451,1363,%null%,330096,136.6269206533857,136.6,136.6269206533857,136.6269206533857,136.6
18,%null%,%null%,True,True,Texas,Texas,16218,47339,%null%,11857401,136.7753355056475,136.8,136.7753355056475,136.7753355056475,136.8
19,%null%,%null%,True,True,Kansas,Kansas,512,1488,%null%,374093,136.8643626050207,136.9,136.8643626050207,136.8643626050207,136.9
20,%null%,%null%,True,True,Pennsylvania,Pennsylvania,1486,4078,%null%,1084634,137.00474076969743,137.0,137.00474076969743,137.00474076969743,137.0
21,%null%,%null%,True,True,Connecticut,Connecticut,873,2473,%null%,637112,137.0245733874107,137.0,137.0245733874107,137.0245733874107,137.0
22,%null%,%null%,True,True,Tennessee,Tennessee,584,1627,%null%,425839,137.14103217413154,137.1,137.14103217413154,137.14103217413154,137.1
23,%null%,%null%,True,True,Nevada,Nevada,1298,3518,%null%,940757,137.9739932841318,138.0,137.9739932841318,137.9739932841318,138.0
24,%null%,%null%,True,True,District of Columbia,District of Columbia,107,390,%null%,76919,139.1073726907526,139.1,139.1073726907526,139.1073726907526,139.1
25,%null%,%null%,True,True,South Dakota,South Dakota,58,178,%null%,41288,140.4766518116644,140.5,140.4766518116644,140.4766518116644,140.5
26,%null%,%null%,True,True,Minnesota,Minnesota,489,1642,%null%,333474,146.6381187139027,146.6,146.6381187139027,146.6381187139027,146.6
27,%null%,%null%,True,True,Illinois,Illinois,3353,10135,%null%,2282133,146.92395228498953,146.9,146.92395228498953,146.92395228498953,146.9
28,%null%,%null%,True,True,West Virginia,West Virginia,50,141,%null%,33684,148.43842774017338,148.4,148.43842774017338,148.43842774017338,148.4
29,%null%,%null%,True,True,Georgia,Georgia,1644,4769,%null%,1104836,148.80036494104104,148.8,148.80036494104104,148.80036494104104,148.8
30,%null%,%null%,True,True,Ohio,Ohio,762,2174,%null%,508643,149.81037780919033,149.8,149.81037780919033,149.81037780919033,149.8
31,%null%,%null%,True,True,Missouri,Missouri,432,1200,%null%,287125,150.45711797997387,150.5,150.45711797997387,150.45711797997387,150.5
32,%null%,%null%,True,True,Nebraska,Nebraska,355,1054,%null%,235669,150.6350007849993,150.6,150.6350007849993,150.6350007849993,150.6
33,%null%,%null%,True,True,Michigan,Michigan,846,2524,%null%,561587,150.64451278252525,150.6,150.64451278252525,150.64451278252525,150.6
34,%null%,%null%,True,True,Colorado,Colorado,1950,5575,%null%,1293214,150.78710870745292,150.8,150.78710870745292,150.78710870745292,150.8
35,%null%,%null%,True,True,New Hampshire,New Hampshire,93,267,%null%,60873,152.77709329259278,152.8,152.77709329259278,152.77709329259278,152.8
36,%null%,%null%,True,True,Arizona,Arizona,3661,10120,%null%,2351122,155.7128894204554,155.7,155.7128894204554,155.7128894204554,155.7
37,%null%,%null%,True,True,Kentucky,Kentucky,296,855,%null%,187984,157.46020937952167,157.5,157.46020937952167,157.46020937952167,157.5
38,%null%,%null%,True,True,Wyoming,Wyoming,97,289,%null%,61087,158.78992256945014,158.8,158.78992256945014,158.78992256945014,158.8
39,%null%,%null%,True,True,North Dakota,North Dakota,55,157,%null%,34335,160.1863987185088,160.2,160.1863987185088,160.1863987185088,160.2
40,%null%,%null%,True,True,Iowa,Iowa,347,1014,%null%,215119,161.30606780433158,161.3,161.30606780433158,161.30606780433158,161.3
41,%null%,%null%,True,True,Montana,Montana,78,185,%null%,48014,162.45261798642062,162.5,162.45261798642062,162.45261798642062,162.5
42,%null%,%null%,True,True,Delaware,Delaware,165,541,%null%,101213,163.02253663066998,163.0,163.02253663066998,163.02253663066998,163.0
43,%null%,%null%,True,True,Wisconsin,Wisconsin,732,2089,%null%,442517,165.41737379580897,165.4,165.41737379580897,165.41737379580897,165.4
44,%null%,%null%,True,True,Indiana,Indiana,876,2593,%null%,522944,167.51315628442052,167.5,167.51315628442052,167.51315628442052,167.5
45,%null%,%null%,True,True,Arkansas,Arkansas,423,1212,%null%,251277,168.34011867381417,168.3,168.34011867381417,168.34011867381417,168.3
46,%null%,%null%,True,True,Utah,Utah,843,2442,%null%,493636,170.77360646306184,170.8,170.77360646306184,170.77360646306184,170.8
47,%null%,%null%,True,True,Alabama,Alabama,429,1270,%null%,241168,177.88429642406953,177.9,177.88429642406953,177.88429642406953,177.9
48,%null%,%null%,True,True,Maine,Maine,54,148,%null%,27037,199.72630099493287,199.7,199.72630099493287,199.72630099493287,199.7
49,%null%,%null%,True,True,Vermont,Vermont,30,103,%null%,14384,208.5650723025584,208.6,208.5650723025584,208.5650723025584,208.6
50,%null%,%null%,True,True,Alaska,Alaska,153,417,%null%,54732,279.5439596579697,279.5,279.5439596579697,279.5439596579697,279.5
