,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,355,998,%null%,291001,121.99270792883873,122.0,121.99270792883873,121.99270792883873,122.0
1,%null%,%null%,True,True,Oklahoma,Oklahoma,527,1252,%null%,235733,223.55800842478567,223.6,223.55800842478567,223.55800842478567,223.6
2,%null%,%null%,True,True,Montana,Montana,71,208,%null%,28810,246.4422075668171,246.4,246.4422075668171,246.4422075668171,246.4
3,%null%,%null%,True,True,Alaska,Alaska,139,360,%null%,52262,265.96762466036506,266.0,265.96762466036506,265.96762466036506,266.0
4,%null%,%null%,True,True,Washington,Washington,1034,2814,%null%,342530,301.8713689311885,301.9,301.8713689311885,301.8713689311885,301.9
5,%null%,%null%,True,True,North Dakota,North Dakota,52,133,%null%,16837,308.84361822177345,308.8,308.84361822177345,308.84361822177345,308.8
6,%null%,%null%,True,True,Minnesota,Minnesota,454,1274,%null%,139747,324.8728058562975,324.9,324.8728058562975,324.8728058562975,324.9
7,%null%,%null%,True,True,Missouri,Missouri,473,1226,%null%,143689,329.18316642192514,329.2,329.18316642192514,329.18316642192514,329.2
8,%null%,%null%,True,True,Michigan,Michigan,814,2138,%null%,243379,334.45777984131746,334.5,334.45777984131746,334.45777984131746,334.5
9,%null%,%null%,True,True,Maine,Maine,83,216,%null%,24338,341.03048730380476,341.0,341.03048730380476,341.03048730380476,341.0
10,%null%,%null%,True,True,South Dakota,South Dakota,71,173,%null%,20807,341.23131638390925,341.2,341.23131638390925,341.23131638390925,341.2
11,%null%,%null%,True,True,West Virginia,West Virginia,115,273,%null%,33519,343.0889943017393,343.1,343.0889943017393,343.0889943017393,343.1
12,%null%,%null%,True,True,District of Columbia,District of Columbia,57,204,%null%,16480,345.873786407767,345.9,345.873786407767,345.873786407767,345.9
13,%null%,%null%,True,True,Oregon,Oregon,519,1337,%null%,148706,349.01079983322796,349.0,349.01079983322796,349.01079983322796,349.0
14,%null%,%null%,True,True,Rhode Island,Rhode Island,85,224,%null%,24311,349.63596725762,349.6,349.63596725762,349.63596725762,349.6
15,%null%,%null%,True,True,Louisiana,Louisiana,274,681,%null%,74216,369.19262692680826,369.2,369.19262692680826,369.19262692680826,369.2
16,%null%,%null%,True,True,Vermont,Vermont,46,97,%null%,12316,373.4978889249756,373.5,373.4978889249756,373.4978889249756,373.5
17,%null%,%null%,True,True,Maryland,Maryland,620,1648,%null%,161497,383.9080602116448,383.9,383.9080602116448,383.9080602116448,383.9
