,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,4899,17846,%null%,4960795,98.7543327228801,98.8,98.7543327228801,98.7543327228801,98.8
1,%null%,%null%,True,True,Rhode Island,Rhode Island,796,2737,%null%,771405,103.18833816218458,103.2,103.18833816218458,103.18833816218458,103.2
2,%null%,%null%,True,True,New York,New York,11836,41022,%null%,10858889,108.99825939836019,109.0,108.99825939836019,108.99825939836019,109.0
3,%null%,%null%,True,True,Massachusetts,Massachusetts,5344,19418,%null%,4894728,109.1786918496799,109.2,109.1786918496799,109.1786918496799,109.2
4,%null%,%null%,True,True,Louisiana,Louisiana,3117,9273,%null%,2676273,116.46793880893318,116.5,116.46793880893318,116.46793880893318,116.5
5,%null%,%null%,True,True,Maryland,Maryland,3528,12330,%null%,3020582,116.79868316768092,116.8,116.79868316768092,116.79868316768092,116.8
6,%null%,%null%,True,True,Connecticut,Connecticut,2796,9872,%null%,2330326,119.98321264921731,120.0,119.98321264921731,119.98321264921731,120.0
7,%null%,%null%,True,True,California,California,16864,56724,%null%,13815325,122.06734188301759,122.1,122.06734188301759,122.06734188301759,122.1
8,%null%,%null%,True,True,Florida,Florida,14233,42995,%null%,11467951,124.11109883535428,124.1,124.11109883535428,124.11109883535428,124.1
9,%null%,%null%,True,True,Vermont,Vermont,741,2616,%null%,595151,124.50621774978114,124.5,124.50621774978114,124.50621774978114,124.5
10,%null%,%null%,True,True,District of Columbia,District of Columbia,321,1664,%null%,249751,128.52801390184624,128.5,128.52801390184624,128.52801390184624,128.5
11,%null%,%null%,True,True,Illinois,Illinois,9775,32373,%null%,7597266,128.6647064878339,128.7,128.6647064878339,128.6647064878339,128.7
12,%null%,%null%,True,True,Pennsylvania,Pennsylvania,12517,40897,%null%,9701126,129.02625942596768,129.0,129.02625942596768,129.02625942596768,129.0
13,%null%,%null%,True,True,New Mexico,New Mexico,984,3105,%null%,759740,129.51799299760444,129.5,129.51799299760444,129.51799299760444,129.5
14,%null%,%null%,True,True,Minnesota,Minnesota,5787,20680,%null%,4458035,129.81055554745532,129.8,129.81055554745532,129.81055554745532,129.8
15,%null%,%null%,True,True,Wisconsin,Wisconsin,6259,21328,%null%,4727246,132.402671661259,132.4,132.402671661259,132.402671661259,132.4
16,%null%,%null%,True,True,North Carolina,North Carolina,8654,27446,%null%,6528578,132.55566526125597,132.6,132.55566526125597,132.55566526125597,132.6
17,%null%,%null%,True,True,New Hampshire,New Hampshire,1655,5231,%null%,1238184,133.66349427871785,133.7,133.66349427871785,133.66349427871785,133.7
18,%null%,%null%,True,True,South Dakota,South Dakota,974,3155,%null%,723678,134.5902459381106,134.6,134.5902459381106,134.5902459381106,134.6
19,%null%,%null%,True,True,North Dakota,North Dakota,889,2805,%null%,644623,137.91006526295214,137.9,137.91006526295214,137.91006526295214,137.9
20,%null%,%null%,True,True,Maine,Maine,1753,5537,%null%,1269535,138.0820536653184,138.1,138.0820536653184,138.0820536653184,138.1
21,%null%,%null%,True,True,Nebraska,Nebraska,2127,7422,%null%,1519341,139.99490568608363,140.0,139.99490568608363,139.99490568608363,140.0
22,%null%,%null%,True,True,Michigan,Michigan,10482,32760,%null%,7462582,140.46076813628312,140.5,140.46076813628312,140.46076813628312,140.5
23,%null%,%null%,True,True,Nevada,Nevada,2074,6059,%null%,1464563,141.61220787361145,141.6,141.61220787361145,141.61220787361145,141.6
24,%null%,%null%,True,True,Montana,Montana,1337,4047,%null%,943656,141.68298617292743,141.7,141.68298617292743,141.68298617292743,141.7
25,%null%,%null%,True,True,Washington,Washington,7277,23381,%null%,5111255,142.37207887299695,142.4,142.37207887299695,142.37207887299695,142.4
26,%null%,%null%,True,True,Virginia,Virginia,7466,23898,%null%,5213717,143.19918016263637,143.2,143.19918016263637,143.19918016263637,143.2
27,%null%,%null%,True,True,Missouri,Missouri,6981,21141,%null%,4854359,143.8088942329976,143.8,143.8088942329976,143.8088942329976,143.8
28,%null%,%null%,True,True,South Carolina,South Carolina,4749,14097,%null%,3290272,144.33457173145564,144.3,144.33457173145564,144.33457173145564,144.3
29,%null%,%null%,True,True,Delaware,Delaware,891,3019,%null%,608053,146.53327917138802,146.5,146.53327917138802,146.53327917138802,146.5
30,%null%,%null%,True,True,Iowa,Iowa,3998,12650,%null%,2685614,148.86726089452915,148.9,148.86726089452915,148.86726089452915,148.9
31,%null%,%null%,True,True,Texas,Texas,17699,53370,%null%,11885058,148.91807848140078,148.9,148.91807848140078,148.91807848140078,148.9
32,%null%,%null%,True,True,Kansas,Kansas,3275,10234,%null%,2192217,149.39214502943824,149.4,149.39214502943824,149.39214502943824,149.4
33,%null%,%null%,True,True,Oregon,Oregon,4708,14436,%null%,3148080,149.5514726436431,149.6,149.5514726436431,149.5514726436431,149.6
34,%null%,%null%,True,True,Ohio,Ohio,13866,41949,%null%,9149813,151.54408073695058,151.5,151.54408073695058,151.54408073695058,151.5
35,%null%,%null%,True,True,Georgia,Georgia,8376,24824,%null%,5510193,152.00919459626914,152.0,152.00919459626914,152.00919459626914,152.0
36,%null%,%null%,True,True,Wyoming,Wyoming,746,2472,%null%,482320,154.66909935312657,154.7,154.66909935312657,154.66909935312657,154.7
37,%null%,%null%,True,True,Arizona,Arizona,5995,18401,%null%,3872615,154.80495737376424,154.8,154.80495737376424,154.80495737376424,154.8
38,%null%,%null%,True,True,Colorado,Colorado,6152,20121,%null%,3893018,158.02649769407694,158.0,158.02649769407694,158.02649769407694,158.0
39,%null%,%null%,True,True,Kentucky,Kentucky,6048,17415,%null%,3765843,160.601490821577,160.6,160.601490821577,160.601490821577,160.6
40,%null%,%null%,True,True,Oklahoma,Oklahoma,4145,11916,%null%,2544785,162.88212953157142,162.9,162.88212953157142,162.88212953157142,162.9
41,%null%,%null%,True,True,Idaho,Idaho,2517,7308,%null%,1541463,163.28643632704774,163.3,163.28643632704774,163.28643632704774,163.3
42,%null%,%null%,True,True,West Virginia,West Virginia,2673,7182,%null%,1632071,163.77963948872323,163.8,163.77963948872323,163.77963948872323,163.8
43,%null%,%null%,True,True,Alabama,Alabama,5557,15825,%null%,3269726,169.9530786371702,170.0,169.9530786371702,169.9530786371702,170.0
44,%null%,%null%,True,True,Tennessee,Tennessee,8782,25350,%null%,5097174,172.29154821867962,172.3,172.29154821867962,172.29154821867962,172.3
45,%null%,%null%,True,True,Mississippi,Mississippi,2850,7895,%null%,1652517,172.46418645012426,172.5,172.46418645012426,172.46418645012426,172.5
46,%null%,%null%,True,True,Arkansas,Arkansas,3720,10079,%null%,2156694,172.48622196751137,172.5,172.48622196751137,172.48622196751137,172.5
47,%null%,%null%,True,True,Indiana,Indiana,9224,28034,%null%,5276416,174.81563242928533,174.8,174.81563242928533,174.81563242928533,174.8
48,%null%,%null%,True,True,Hawaii,Hawaii,566,1837,%null%,308195,183.64996187478707,183.6,183.64996187478707,183.64996187478707,183.6
49,%null%,%null%,True,True,Utah,Utah,4777,15855,%null%,2577888,185.30673171216128,185.3,185.30673171216128,185.30673171216128,185.3
50,%null%,%null%,True,True,Alaska,Alaska,1053,3174,%null%,434746,242.2103941151845,242.2,242.2103941151845,242.2103941151845,242.2
