,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,False,False,Louisiana,Louisiana,5565,16325,%null%,4624047,120.34912274896861,120.3,120.34912274896861,120.34912274896861,120.3
1,%null%,%null%,False,False,Rhode Island,Rhode Island,1343,4337,%null%,1095610,122.58011518697347,122.6,122.58011518697347,122.58011518697347,122.6
2,%null%,%null%,False,False,New Jersey,New Jersey,11768,39869,%null%,9267130,126.98645643257406,127.0,126.98645643257406,126.98645643257406,127.0
3,%null%,%null%,False,False,Massachusetts,Massachusetts,9105,31588,%null%,6984723,130.35592105800043,130.4,130.35592105800043,130.35592105800043,130.4
4,%null%,%null%,False,False,New York,New York,26758,87849,%null%,19835913,134.89674006938827,134.9,134.89674006938827,134.89674006938827,134.9
5,%null%,%null%,False,False,Maryland,Maryland,8496,28617,%null%,6165129,137.80733541828565,137.8,137.80733541828565,137.80733541828565,137.8
6,%null%,%null%,False,False,Florida,Florida,30323,91040,%null%,21781128,139.21684864071318,139.2,139.21684864071318,139.21684864071318,139.2
7,%null%,%null%,False,False,North Carolina,North Carolina,14892,47080,%null%,10551162,141.14085254306588,141.1,141.14085254306588,141.14085254306588,141.1
8,%null%,%null%,False,False,New Mexico,New Mexico,2992,8670,%null%,2115877,141.40708557255454,141.4,141.40708557255454,141.40708557255454,141.4
9,%null%,%null%,False,False,Pennsylvania,Pennsylvania,18533,59004,%null%,12964056,142.95680302522607,143.0,142.95680302522607,142.95680302522607,143.0
10,%null%,%null%,False,False,Connecticut,Connecticut,5235,17420,%null%,3605597,145.19093509341172,145.2,145.19093509341172,145.19093509341172,145.2
11,%null%,%null%,False,False,Illinois,Illinois,18887,60324,%null%,12671469,149.05138465003543,149.1,149.05138465003543,149.05138465003543,149.1
12,%null%,%null%,False,False,Vermont,Vermont,964,3233,%null%,645570,149.32540235760646,149.3,149.32540235760646,149.32540235760646,149.3
13,%null%,%null%,False,False,South Carolina,South Carolina,7790,22837,%null%,5190705,150.07595307381175,150.1,150.07595307381175,150.07595307381175,150.1
14,%null%,%null%,False,False,New Hampshire,New Hampshire,2090,6522,%null%,1388992,150.46882919412064,150.5,150.46882919412064,150.46882919412064,150.5
15,%null%,%null%,False,False,District of Columbia,District of Columbia,1009,4244,%null%,670050,150.5857771808074,150.6,150.5857771808074,150.5857771808074,150.6
16,%null%,%null%,False,False,California,California,59397,193491,%null%,39237836,151.37684963054537,151.4,151.37684963054537,151.37684963054537,151.4
17,%null%,%null%,False,False,Wisconsin,Wisconsin,8954,29062,%null%,5895908,151.86804136021118,151.9,151.86804136021118,151.86804136021118,151.9
18,%null%,%null%,False,False,Minnesota,Minnesota,8719,29703,%null%,5707390,152.76685139792443,152.8,152.76685139792443,152.76685139792443,152.8
19,%null%,%null%,False,False,Missouri,Missouri,9609,28790,%null%,6168187,155.78321474365157,155.8,155.78321474365157,155.78321474365157,155.8
20,%null%,%null%,False,False,Michigan,Michigan,15748,48585,%null%,10050811,156.68387357000347,156.7,156.68387357000347,156.68387357000347,156.7
21,%null%,%null%,False,False,Virginia,Virginia,13666,43780,%null%,8642274,158.12967744369132,158.1,158.12967744369132,158.12967744369132,158.1
22,%null%,%null%,False,False,Texas,Texas,47003,140099,%null%,29527941,159.18143428964453,159.2,159.18143428964453,159.18143428964453,159.2
23,%null%,%null%,False,False,Georgia,Georgia,17219,51914,%null%,10799566,159.441592375101,159.4,159.441592375101,159.441592375101,159.4
24,%null%,%null%,False,False,Nebraska,Nebraska,3167,10457,%null%,1963692,161.2778378686678,161.3,161.2778378686678,161.2778378686678,161.3
25,%null%,%null%,False,False,Mississippi,Mississippi,4761,13585,%null%,2949965,161.391745325792,161.4,161.391745325792,161.391745325792,161.4
26,%null%,%null%,False,False,North Dakota,North Dakota,1268,3815,%null%,774948,163.6238818604603,163.6,163.6238818604603,163.6238818604603,163.6
27,%null%,%null%,False,False,Maine,Maine,2251,6940,%null%,1372247,164.03752385685667,164.0,164.03752385685667,164.03752385685667,164.0
28,%null%,%null%,False,False,Ohio,Ohio,19342,57657,%null%,11780017,164.19331143579845,164.2,164.19331143579845,164.19331143579845,164.2
29,%null%,%null%,False,False,South Dakota,South Dakota,1473,4486,%null%,895376,164.5118922106467,164.5,164.5118922106467,164.5118922106467,164.5
30,%null%,%null%,False,False,Montana,Montana,1835,5357,%null%,1104271,166.172977466582,166.2,166.172977466582,166.172977466582,166.2
31,%null%,%null%,False,False,Washington,Washington,12948,40255,%null%,7738692,167.3150966597456,167.3,167.3150966597456,167.3150966597456,167.3
32,%null%,%null%,False,False,Iowa,Iowa,5361,16510,%null%,3193079,167.8943740508769,167.9,167.8943740508769,167.8943740508769,167.9
33,%null%,%null%,False,False,Kansas,Kansas,4972,15034,%null%,2934582,169.4278776329985,169.4,169.4278776329985,169.4278776329985,169.4
34,%null%,%null%,False,False,Oregon,Oregon,7216,21734,%null%,4246155,169.9419828056206,169.9,169.9419828056206,169.9419828056206,169.9
35,%null%,%null%,False,False,Nevada,Nevada,5377,15224,%null%,3143991,171.02466260240567,171.0,171.02466260240567,171.02466260240567,171.0
36,%null%,%null%,False,False,Tennessee,Tennessee,12021,34796,%null%,6975218,172.33869966501405,172.3,172.33869966501405,172.33869966501405,172.3
37,%null%,%null%,False,False,Kentucky,Kentucky,7856,22442,%null%,4509394,174.2140961734548,174.2,174.2140961734548,174.2140961734548,174.2
38,%null%,%null%,False,False,Oklahoma,Oklahoma,7047,19911,%null%,3986639,176.76544076351033,176.8,176.76544076351033,176.76544076351033,176.8
39,%null%,%null%,False,False,Delaware,Delaware,1783,5941,%null%,1003384,177.69866770847452,177.7,177.69866770847452,177.69866770847452,177.7
40,%null%,%null%,False,False,Alabama,Alabama,9079,26216,%null%,5039877,180.143285242874,180.1,180.143285242874,180.143285242874,180.1
41,%null%,%null%,False,False,West Virginia,West Virginia,3230,8618,%null%,1782959,181.1595218959045,181.2,181.1595218959045,181.1595218959045,181.2
42,%null%,%null%,False,False,Hawaii,Hawaii,2640,8668,%null%,1441553,183.13582643163312,183.1,183.13582643163312,183.13582643163312,183.1
43,%null%,%null%,False,False,Arkansas,Arkansas,5588,15321,%null%,3025891,184.6728781704298,184.7,184.6728781704298,184.6728781704298,184.7
