,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Colorado,Colorado,30,100,%,37197,30,30.00,30,30,30.00
1,%,%,True,True,Connecticut,Connecticut,8,26,%,8111,30.76923076923077,30.77,30.76923076923077,30.76923076923077,30.77
2,%,%,True,True,New York,New York,51,162,%,60197,31.48148148148148,31.48,31.48148148148148,31.48148148148148,31.48
3,%,%,True,True,Washington,Washington,62,190,%,95740,32.631578947368425,32.63,32.631578947368425,32.631578947368425,32.63
4,%,%,True,True,Maryland,Maryland,16,49,%,14865,32.6530612244898,32.65,32.6530612244898,32.6530612244898,32.65
5,%,%,True,True,Idaho,Idaho,14,42,%,20059,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
6,%,%,True,True,Utah,Utah,22,66,%,31014,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
7,%,%,True,True,Alaska,Alaska,38,110,%,109039,34.54545454545455,34.55,34.54545454545455,34.54545454545455,34.55
8,%,%,True,True,Arizona,Arizona,135,381,%,279130,35.43307086614173,35.43,35.43307086614173,35.43307086614173,35.43
9,%,%,True,True,New Hampshire,New Hampshire,5,14,%,2960,35.714285714285715,35.71,35.714285714285715,35.714285714285715,35.71
10,%,%,True,True,Florida,Florida,55,152,%,55453,36.18421052631579,36.18,36.18421052631579,36.18421052631579,36.18
11,%,%,True,True,Arkansas,Arkansas,28,76,%,23903,36.84210526315789,36.84,36.84210526315789,36.84210526315789,36.84
12,%,%,True,True,Illinois,Illinois,31,84,%,19819,36.904761904761905,36.90,36.904761904761905,36.904761904761905,36.90
13,%,%,True,True,Minnesota,Minnesota,55,149,%,60687,36.91275167785235,36.91,36.91275167785235,36.91275167785235,36.91
14,%,%,True,True,Maine,Maine,12,32,%,8892,37.5,37.50,37.5,37.5,37.50
15,%,%,True,True,Massachusetts,Massachusetts,14,37,%,12835,37.83783783783784,37.84,37.83783783783784,37.83783783783784,37.84
16,%,%,True,True,Louisiana,Louisiana,21,54,%,30358,38.88888888888889,38.89,38.88888888888889,38.88888888888889,38.89
17,%,%,True,True,Oklahoma,Oklahoma,183,468,%,339826,39.1025641025641,39.10,39.1025641025641,39.1025641025641,39.10
18,%,%,True,True,Wyoming,Wyoming,9,23,%,12146,39.130434782608695,39.13,39.130434782608695,39.130434782608695,39.13
19,%,%,True,True,New Mexico,New Mexico,66,166,%,186151,39.75903614457831,39.76,39.75903614457831,39.75903614457831,39.76
20,%,%,True,True,Michigan,Michigan,60,149,%,57651,40.26845637583892,40.27,40.26845637583892,40.26845637583892,40.27
21,%,%,True,True,California,California,186,459,%,160861,40.52287581699346,40.52,40.52287581699346,40.52287581699346,40.52
22,%,%,True,True,Virginia,Virginia,28,68,%,23140,41.17647058823529,41.18,41.17647058823529,41.17647058823529,41.18
23,%,%,True,True,Kentucky,Kentucky,17,41,%,9313,41.46341463414634,41.46,41.46341463414634,41.46341463414634,41.46
24,%,%,True,True,Kansas,Kansas,22,53,%,23301,41.509433962264154,41.51,41.509433962264154,41.509433962264154,41.51
25,%,%,True,True,Missouri,Missouri,33,78,%,27135,42.30769230769231,42.31,42.30769230769231,42.30769230769231,42.31
26,%,%,True,True,New Jersey,New Jersey,17,40,%,14320,42.5,42.50,42.5,42.5,42.50
27,%,%,True,True,South Dakota,South Dakota,42,98,%,73258,42.857142857142854,42.86,42.857142857142854,42.857142857142854,42.86
28,%,%,True,True,Wisconsin,Wisconsin,56,130,%,52520,43.07692307692308,43.08,43.07692307692308,43.07692307692308,43.08
29,%,%,True,True,Iowa,Iowa,13,30,%,9836,43.333333333333336,43.33,43.333333333333336,43.333333333333336,43.33
30,%,%,True,True,North Dakota,North Dakota,27,62,%,40207,43.54838709677419,43.55,43.54838709677419,43.54838709677419,43.55
31,%,%,True,True,Tennessee,Tennessee,26,59,%,19841,44.06779661016949,44.07,44.06779661016949,44.06779661016949,44.07
32,%,%,True,True,Texas,Texas,125,283,%,96976,44.16961130742049,44.17,44.16961130742049,44.16961130742049,44.17
33,%,%,True,True,North Carolina,North Carolina,58,130,%,115825,44.61538461538462,44.62,44.61538461538462,44.61538461538462,44.62
34,%,%,True,True,Georgia,Georgia,31,69,%,24975,44.927536231884055,44.93,44.927536231884055,44.927536231884055,44.93
35,%,%,True,True,Alabama,Alabama,36,80,%,28165,45,45.00,45,45,45.00
36,%,%,True,True,Nebraska,Nebraska,17,37,%,16418,45.94594594594595,45.95,45.94594594594595,45.94594594594595,45.95
37,%,%,True,True,Nevada,Nevada,23,50,%,26502,46,46.00,46,46,46.00
38,%,%,True,True,Oregon,Oregon,41,89,%,46873,46.06741573033708,46.07,46.06741573033708,46.06741573033708,46.07
39,%,%,True,True,Indiana,Indiana,51,109,%,15815,46.788990825688074,46.79,46.788990825688074,46.788990825688074,46.79
40,%,%,True,True,Hawaii,Hawaii,8,17,%,3099,47.05882352941176,47.06,47.05882352941176,47.05882352941176,47.06
