,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Rhode Island,Rhode Island,15,59,%,24311,25.423728813559322,25.42,25.423728813559322,25.423728813559322,25.42
1,%,%,True,True,District of Columbia,District of Columbia,9,32,%,16480,28.125,28.13,28.125,28.125,28.13
2,%,%,True,True,Maine,Maine,13,45,%,24338,28.888888888888886,28.89,28.888888888888886,28.888888888888886,28.89
3,%,%,True,True,Minnesota,Minnesota,84,278,%,139747,30.215827338129497,30.22,30.215827338129497,30.215827338129497,30.22
4,%,%,True,True,Alaska,Alaska,27,86,%,52262,31.3953488372093,31.40,31.3953488372093,31.3953488372093,31.40
5,%,%,True,True,South Dakota,South Dakota,10,30,%,20807,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
6,%,%,True,True,Louisiana,Louisiana,47,141,%,74216,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
7,%,%,True,True,North Dakota,North Dakota,8,24,%,16837,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
8,%,%,True,True,Connecticut,Connecticut,64,190,%,68017,33.68421052631579,33.68,33.68421052631579,33.68421052631579,33.68
9,%,%,True,True,Maryland,Maryland,139,412,%,161497,33.737864077669904,33.74,33.737864077669904,33.737864077669904,33.74
10,%,%,True,True,Hawaii,Hawaii,78,227,%,291001,34.36123348017621,34.36,34.36123348017621,34.36123348017621,34.36
11,%,%,True,True,New Jersey,New Jersey,192,558,%,152237,34.40860215053764,34.41,34.40860215053764,34.40860215053764,34.41
12,%,%,True,True,Alabama,Alabama,76,220,%,86070,34.54545454545455,34.55,34.54545454545455,34.54545454545455,34.55
13,%,%,True,True,Massachusetts,Massachusetts,138,394,%,137083,35.025380710659896,35.03,35.025380710659896,35.025380710659896,35.03
14,%,%,True,True,Pennsylvania,Pennsylvania,204,576,%,238808,35.41666666666667,35.42,35.41666666666667,35.41666666666667,35.42
15,%,%,True,True,Utah,Utah,65,181,%,76033,35.91160220994475,35.91,35.91160220994475,35.91160220994475,35.91
16,%,%,True,True,California,California,1259,3505,%,1170491,35.92011412268189,35.92,35.92011412268189,35.92011412268189,35.92
17,%,%,True,True,Illinois,Illinois,255,709,%,224432,35.966149506346966,35.97,35.966149506346966,35.966149506346966,35.97
18,%,%,True,True,New York,New York,386,1069,%,378698,36.10851262862489,36.11,36.10851262862489,36.10851262862489,36.11
19,%,%,True,True,Washington,Washington,260,718,%,342530,36.211699164345404,36.21,36.211699164345404,36.211699164345404,36.21
