,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,52,386,%,249751,13.471502590673575,13.47,13.471502590673575,13.471502590673575,13.47
1,%,%,True,True,Massachusetts,Massachusetts,1220,4785,%,4894728,25.49634273772205,25.50,25.49634273772205,25.49634273772205,25.50
2,%,%,True,True,South Dakota,South Dakota,183,700,%,723678,26.142857142857146,26.14,26.142857142857146,26.142857142857146,26.14
3,%,%,True,True,New Jersey,New Jersey,1201,4403,%,4960795,27.276856688621393,27.28,27.276856688621393,27.276856688621393,27.28
4,%,%,True,True,Vermont,Vermont,158,578,%,595151,27.33564013840831,27.34,27.33564013840831,27.33564013840831,27.34
5,%,%,True,True,Nebraska,Nebraska,437,1572,%,1519341,27.798982188295163,27.80,27.798982188295163,27.798982188295163,27.80
6,%,%,True,True,Minnesota,Minnesota,1310,4696,%,4458035,27.896081771720617,27.90,27.896081771720617,27.896081771720617,27.90
7,%,%,True,True,Wyoming,Wyoming,188,672,%,482320,27.976190476190478,27.98,27.976190476190478,27.976190476190478,27.98
8,%,%,True,True,Delaware,Delaware,165,577,%,608053,28.596187175043326,28.60,28.596187175043326,28.596187175043326,28.60
9,%,%,True,True,New York,New York,2764,9594,%,10858889,28.809672712111738,28.81,28.809672712111738,28.809672712111738,28.81
10,%,%,True,True,Utah,Utah,1056,3661,%,2577888,28.844577984157333,28.84,28.844577984157333,28.844577984157333,28.84
11,%,%,True,True,Connecticut,Connecticut,658,2252,%,2330326,29.218472468916517,29.22,29.218472468916517,29.218472468916517,29.22
12,%,%,True,True,Colorado,Colorado,1299,4418,%,3893018,29.402444545043004,29.40,29.402444545043004,29.402444545043004,29.40
13,%,%,True,True,California,California,4143,14017,%,13815325,29.556966540629237,29.56,29.556966540629237,29.556966540629237,29.56
14,%,%,True,True,Maryland,Maryland,893,2972,%,3020582,30.047106325706597,30.05,30.047106325706597,30.047106325706597,30.05
15,%,%,True,True,Maine,Maine,347,1140,%,1269535,30.438596491228072,30.44,30.438596491228072,30.438596491228072,30.44
16,%,%,True,True,Wisconsin,Wisconsin,1435,4713,%,4727246,30.4476978569913,30.45,30.4476978569913,30.4476978569913,30.45
17,%,%,True,True,Rhode Island,Rhode Island,202,663,%,771405,30.46757164404223,30.47,30.46757164404223,30.46757164404223,30.47
18,%,%,True,True,Pennsylvania,Pennsylvania,2881,9454,%,9701126,30.473873492701504,30.47,30.473873492701504,30.473873492701504,30.47
19,%,%,True,True,Illinois,Illinois,2370,7633,%,7597266,31.049390803091836,31.05,31.049390803091836,31.049390803091836,31.05
20,%,%,True,True,New Mexico,New Mexico,213,682,%,759740,31.2316715542522,31.23,31.2316715542522,31.2316715542522,31.23
21,%,%,True,True,Washington,Washington,1731,5540,%,5111255,31.24548736462094,31.25,31.24548736462094,31.24548736462094,31.25
22,%,%,True,True,Montana,Montana,287,917,%,943656,31.297709923664126,31.30,31.297709923664126,31.297709923664126,31.30
23,%,%,True,True,Alaska,Alaska,241,769,%,434746,31.339401820546165,31.34,31.339401820546165,31.339401820546165,31.34
24,%,%,True,True,Kansas,Kansas,686,2167,%,2192217,31.656668204891552,31.66,31.656668204891552,31.656668204891552,31.66
25,%,%,True,True,New Hampshire,New Hampshire,384,1211,%,1238184,31.709331131296448,31.71,31.709331131296448,31.709331131296448,31.71
26,%,%,True,True,Virginia,Virginia,1754,5527,%,5213717,31.73511850913696,31.74,31.73511850913696,31.73511850913696,31.74
27,%,%,True,True,North Dakota,North Dakota,211,663,%,644623,31.825037707390646,31.83,31.825037707390646,31.825037707390646,31.83
28,%,%,True,True,Michigan,Michigan,2404,7518,%,7462582,31.976589518488964,31.98,31.976589518488964,31.976589518488964,31.98
29,%,%,True,True,Hawaii,Hawaii,112,347,%,308195,32.27665706051873,32.28,32.27665706051873,32.27665706051873,32.28
30,%,%,True,True,Louisiana,Louisiana,697,2158,%,2676273,32.29842446709917,32.30,32.29842446709917,32.29842446709917,32.30
31,%,%,True,True,Idaho,Idaho,472,1455,%,1541463,32.439862542955325,32.44,32.439862542955325,32.439862542955325,32.44
32,%,%,True,True,Missouri,Missouri,1556,4794,%,4854359,32.45723821443471,32.46,32.45723821443471,32.45723821443471,32.46
33,%,%,True,True,Arizona,Arizona,1416,4362,%,3872615,32.46217331499312,32.46,32.46217331499312,32.46217331499312,32.46
34,%,%,True,True,Tennessee,Tennessee,1917,5902,%,5097174,32.48051507963402,32.48,32.48051507963402,32.48051507963402,32.48
35,%,%,True,True,Iowa,Iowa,881,2693,%,2685614,32.71444485703676,32.71,32.71444485703676,32.71444485703676,32.71
36,%,%,True,True,Florida,Florida,3166,9663,%,11467951,32.76415191969368,32.76,32.76415191969368,32.76415191969368,32.76
37,%,%,True,True,Oregon,Oregon,1052,3195,%,3148080,32.9264475743349,32.93,32.9264475743349,32.9264475743349,32.93
38,%,%,True,True,North Carolina,North Carolina,2027,6116,%,6528578,33.14257684761282,33.14,33.14257684761282,33.14257684761282,33.14
39,%,%,True,True,Indiana,Indiana,2123,6376,%,5276416,33.296737766624844,33.30,33.296737766624844,33.296737766624844,33.30
40,%,%,True,True,Ohio,Ohio,3127,9386,%,9149813,33.31557639036863,33.32,33.31557639036863,33.31557639036863,33.32
41,%,%,True,True,Texas,Texas,3997,11960,%,11885058,33.419732441471574,33.42,33.419732441471574,33.419732441471574,33.42
42,%,%,True,True,Kentucky,Kentucky,1352,4006,%,3765843,33.74937593609585,33.75,33.74937593609585,33.74937593609585,33.75
43,%,%,True,True,Oklahoma,Oklahoma,843,2476,%,2544785,34.04684975767367,34.05,34.04684975767367,34.04684975767367,34.05
44,%,%,True,True,Nevada,Nevada,483,1407,%,1464563,34.32835820895522,34.33,34.32835820895522,34.32835820895522,34.33
45,%,%,True,True,South Carolina,South Carolina,1028,2993,%,3290272,34.34680922151687,34.35,34.34680922151687,34.34680922151687,34.35
46,%,%,True,True,Georgia,Georgia,1938,5633,%,5510193,34.4044026273744,34.40,34.4044026273744,34.4044026273744,34.40
47,%,%,True,True,Alabama,Alabama,1300,3670,%,3269726,35.42234332425068,35.42,35.42234332425068,35.42234332425068,35.42
48,%,%,True,True,Mississippi,Mississippi,499,1352,%,1652517,36.90828402366864,36.91,36.90828402366864,36.90828402366864,36.91
49,%,%,True,True,Arkansas,Arkansas,796,2133,%,2156694,37.31833098921706,37.32,37.31833098921706,37.31833098921706,37.32
50,%,%,True,True,West Virginia,West Virginia,577,1529,%,1632071,37.73708306082407,37.74,37.73708306082407,37.73708306082407,37.74
