,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,186,932,%,670050,19.95708154506438,19.96,19.95708154506438,19.95708154506438,19.96
1,%,%,True,True,Massachusetts,Massachusetts,2123,7782,%,6984723,27.280904651760473,27.28,27.280904651760473,27.280904651760473,27.28
2,%,%,True,True,Wyoming,Wyoming,258,926,%,578803,27.861771058315334,27.86,27.861771058315334,27.861771058315334,27.86
3,%,%,True,True,Vermont,Vermont,199,698,%,645570,28.510028653295127,28.51,28.510028653295127,28.510028653295127,28.51
4,%,%,True,True,Delaware,Delaware,321,1124,%,1003384,28.558718861209965,28.56,28.558718861209965,28.558718861209965,28.56
5,%,%,True,True,New Jersey,New Jersey,2836,9789,%,9267130,28.971294309939726,28.97,28.971294309939726,28.971294309939726,28.97
6,%,%,True,True,South Dakota,South Dakota,286,981,%,895376,29.153924566768602,29.15,29.153924566768602,29.153924566768602,29.15
7,%,%,True,True,Minnesota,Minnesota,2019,6850,%,5707390,29.474452554744524,29.47,29.474452554744524,29.474452554744524,29.47
8,%,%,True,True,Utah,Utah,1489,5006,%,3337975,29.744306831801836,29.74,29.744306831801836,29.744306831801836,29.74
9,%,%,True,True,New York,New York,6180,20710,%,19835913,29.840656687590535,29.84,29.840656687590535,29.840656687590535,29.84
10,%,%,True,True,Connecticut,Connecticut,1153,3860,%,3605597,29.870466321243523,29.87,29.870466321243523,29.870466321243523,29.87
11,%,%,True,True,Maryland,Maryland,2090,6971,%,6165129,29.98135131258069,29.98,29.98135131258069,29.98135131258069,29.98
12,%,%,True,True,California,California,14635,48112,%,39237836,30.41860658463585,30.42,30.41860658463585,30.41860658463585,30.42
13,%,%,True,True,Nebraska,Nebraska,710,2317,%,1963692,30.643072939145448,30.64,30.643072939145448,30.643072939145448,30.64
14,%,%,True,True,Pennsylvania,Pennsylvania,4298,13902,%,12964056,30.916414904330313,30.92,30.916414904330313,30.916414904330313,30.92
15,%,%,True,True,Maine,Maine,440,1413,%,1372247,31.139419674451524,31.14,31.139419674451524,31.139419674451524,31.14
16,%,%,True,True,Hawaii,Hawaii,551,1769,%,1441553,31.147540983606557,31.15,31.147540983606557,31.147540983606557,31.15
17,%,%,True,True,Virginia,Virginia,3198,10259,%,8642274,31.172628911199922,31.17,31.172628911199922,31.172628911199922,31.17
18,%,%,True,True,Rhode Island,Rhode Island,320,1025,%,1095610,31.21951219512195,31.22,31.21951219512195,31.21951219512195,31.22
19,%,%,True,True,Colorado,Colorado,2298,7305,%,5812069,31.457905544147845,31.46,31.457905544147845,31.457905544147845,31.46
20,%,%,True,True,Illinois,Illinois,4635,14642,%,12671469,31.655511542139052,31.66,31.655511542139052,31.655511542139052,31.66
21,%,%,True,True,Alaska,Alaska,519,1633,%,732673,31.78199632578077,31.78,31.78199632578077,31.78199632578077,31.78
22,%,%,True,True,Wisconsin,Wisconsin,2094,6557,%,5895908,31.935336281836207,31.94,31.935336281836207,31.935336281836207,31.94
23,%,%,True,True,North Dakota,North Dakota,282,880,%,774948,32.04545454545455,32.05,32.04545454545455,32.04545454545455,32.05
24,%,%,True,True,New Hampshire,New Hampshire,485,1512,%,1388992,32.076719576719576,32.08,32.076719576719576,32.076719576719576,32.08
25,%,%,True,True,Washington,Washington,3080,9578,%,7738692,32.15702651910629,32.16,32.15702651910629,32.15702651910629,32.16
26,%,%,True,True,Kansas,Kansas,1035,3200,%,2934582,32.34375,32.34,32.34375,32.34375,32.34
27,%,%,True,True,Tennessee,Tennessee,2642,8165,%,6975218,32.35762400489896,32.36,32.35762400489896,32.35762400489896,32.36
28,%,%,True,True,Michigan,Michigan,3614,11135,%,10050811,32.456219128872924,32.46,32.456219128872924,32.456219128872924,32.46
29,%,%,True,True,Florida,Florida,6834,20999,%,21781128,32.544406876517925,32.54,32.544406876517925,32.544406876517925,32.54
30,%,%,True,True,North Carolina,North Carolina,3468,10613,%,10551162,32.67690568171111,32.68,32.67690568171111,32.67690568171111,32.68
31,%,%,True,True,Missouri,Missouri,2162,6616,%,6168187,32.67835550181378,32.68,32.67835550181378,32.67835550181378,32.68
32,%,%,True,True,Louisiana,Louisiana,1224,3718,%,4624047,32.920925228617534,32.92,32.920925228617534,32.920925228617534,32.92
33,%,%,True,True,Idaho,Idaho,656,1988,%,1900923,32.99798792756539,33.00,32.99798792756539,32.99798792756539,33.00
34,%,%,True,True,Georgia,Georgia,3954,11958,%,10799566,33.06573005519318,33.07,33.06573005519318,33.06573005519318,33.07
35,%,%,True,True,Arizona,Arizona,3194,9617,%,7276316,33.212020380576064,33.21,33.212020380576064,33.212020380576064,33.21
36,%,%,True,True,Oregon,Oregon,1622,4873,%,4246155,33.28545044120665,33.29,33.28545044120665,33.28545044120665,33.29
37,%,%,True,True,Texas,Texas,10887,32602,%,29527941,33.393656830869276,33.39,33.393656830869276,33.393656830869276,33.39
38,%,%,True,True,Iowa,Iowa,1182,3529,%,3193079,33.493907622555966,33.49,33.493907622555966,33.493907622555966,33.49
39,%,%,True,True,Ohio,Ohio,4335,12890,%,11780017,33.63072148952676,33.63,33.63072148952676,33.63072148952676,33.63
40,%,%,True,True,Alabama,Alabama,2114,6268,%,5039877,33.72686662412253,33.73,33.72686662412253,33.72686662412253,33.73
41,%,%,True,True,New Mexico,New Mexico,685,2028,%,2115877,33.777120315581854,33.78,33.777120315581854,33.777120315581854,33.78
42,%,%,True,True,Kentucky,Kentucky,1726,5099,%,4509394,33.84977446558149,33.85,33.84977446558149,33.84977446558149,33.85
43,%,%,True,True,Indiana,Indiana,3178,9386,%,6805985,33.85893884508843,33.86,33.85893884508843,33.85893884508843,33.86
44,%,%,True,True,Montana,Montana,410,1203,%,1104271,34.08146300914381,34.08,34.08146300914381,34.08146300914381,34.08
45,%,%,True,True,South Carolina,South Carolina,1704,4937,%,5190705,34.51488758355276,34.51,34.51488758355276,34.51488758355276,34.51
46,%,%,True,True,Oklahoma,Oklahoma,1493,4235,%,3986639,35.25383707201889,35.25,35.25383707201889,35.25383707201889,35.25
47,%,%,True,True,Nevada,Nevada,1329,3677,%,3143991,36.14359532227359,36.14,36.14359532227359,36.14359532227359,36.14
48,%,%,True,True,Mississippi,Mississippi,856,2361,%,2949965,36.255823803473106,36.26,36.255823803473106,36.255823803473106,36.26
49,%,%,True,True,Arkansas,Arkansas,1181,3240,%,3025891,36.45061728395061,36.45,36.45061728395061,36.45061728395061,36.45
50,%,%,True,True,West Virginia,West Virginia,712,1898,%,1782959,37.5131717597471,37.51,37.5131717597471,37.5131717597471,37.51
