,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,South Dakota,South Dakota,10,49,%,41288,20.408163265306122,20.41,20.408163265306122,20.408163265306122,20.41
1,%,%,True,True,District of Columbia,District of Columbia,21,89,%,76919,23.595505617977526,23.60,23.595505617977526,23.595505617977526,23.60
2,%,%,True,True,Minnesota,Minnesota,122,410,%,333474,29.756097560975608,29.76,29.756097560975608,29.756097560975608,29.76
3,%,%,True,True,Oregon,Oregon,201,664,%,596517,30.271084337349397,30.27,30.271084337349397,30.271084337349397,30.27
4,%,%,True,True,Virginia,Virginia,317,1034,%,882402,30.657640232108317,30.66,30.657640232108317,30.657640232108317,30.66
5,%,%,True,True,Vermont,Vermont,10,32,%,14384,31.25,31.25,31.25,31.25,31.25
6,%,%,True,True,Maryland,Maryland,208,648,%,684437,32.098765432098766,32.10,32.098765432098766,32.098765432098766,32.10
7,%,%,True,True,Massachusetts,Massachusetts,305,947,%,897349,32.20696937697994,32.21,32.20696937697994,32.20696937697994,32.21
8,%,%,True,True,Hawaii,Hawaii,41,127,%,160134,32.28346456692913,32.28,32.28346456692913,32.28346456692913,32.28
9,%,%,True,True,Rhode Island,Rhode Island,41,127,%,187776,32.28346456692913,32.28,32.28346456692913,32.28346456692913,32.28
10,%,%,True,True,South Carolina,South Carolina,125,382,%,330096,32.72251308900523,32.72,32.72251308900523,32.72251308900523,32.72
11,%,%,True,True,Illinois,Illinois,899,2747,%,2282133,32.726610848198035,32.73,32.726610848198035,32.726610848198035,32.73
12,%,%,True,True,California,California,5403,16454,%,15754605,32.83700012155099,32.84,32.83700012155099,32.83700012155099,32.84
13,%,%,True,True,Missouri,Missouri,122,370,%,287125,32.972972972972975,32.97,32.972972972972975,32.972972972972975,32.97
14,%,%,True,True,New Jersey,New Jersey,664,2002,%,1991638,33.166833166833165,33.17,33.166833166833165,33.166833166833165,33.17
