,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,11,76,%,29628,14.473684210526317,14.47,14.473684210526317,14.473684210526317,14.47
1,%,%,True,True,Rhode Island,Rhode Island,8,41,%,39360,19.51219512195122,19.51,19.51219512195122,19.51219512195122,19.51
2,%,%,True,True,Louisiana,Louisiana,25,113,%,85860,22.123893805309734,22.12,22.123893805309734,22.123893805309734,22.12
3,%,%,True,True,Massachusetts,Massachusetts,148,629,%,520119,23.52941176470588,23.53,23.52941176470588,23.52941176470588,23.53
4,%,%,True,True,Pennsylvania,Pennsylvania,131,550,%,503783,23.81818181818182,23.82,23.81818181818182,23.81818181818182,23.82
5,%,%,True,True,New Mexico,New Mexico,13,54,%,35760,24.074074074074073,24.07,24.074074074074073,24.074074074074073,24.07
6,%,%,True,True,Delaware,Delaware,20,83,%,41957,24.096385542168676,24.10,24.096385542168676,24.096385542168676,24.10
7,%,%,True,True,Utah,Utah,42,172,%,119717,24.418604651162788,24.42,24.418604651162788,24.418604651162788,24.42
8,%,%,True,True,Wisconsin,Wisconsin,57,231,%,185474,24.675324675324674,24.68,24.675324675324674,24.675324675324674,24.68
9,%,%,True,True,Maryland,Maryland,123,496,%,421227,24.798387096774192,24.80,24.798387096774192,24.798387096774192,24.80
10,%,%,True,True,New Jersey,New Jersey,268,1062,%,942292,25.235404896421848,25.24,25.235404896421848,25.235404896421848,25.24
11,%,%,True,True,California,California,1881,7250,%,6136428,25.944827586206898,25.94,25.944827586206898,25.944827586206898,25.94
12,%,%,True,True,Michigan,Michigan,116,447,%,341843,25.95078299776286,25.95,25.95078299776286,25.95078299776286,25.95
13,%,%,True,True,Georgia,Georgia,162,610,%,490433,26.557377049180324,26.56,26.557377049180324,26.557377049180324,26.56
14,%,%,True,True,Virginia,Virginia,196,735,%,614516,26.666666666666668,26.67,26.666666666666668,26.666666666666668,26.67
15,%,%,True,True,North Carolina,North Carolina,119,443,%,353832,26.86230248306998,26.86,26.86230248306998,26.86230248306998,26.86
16,%,%,True,True,Connecticut,Connecticut,71,263,%,179054,26.996197718631176,27.00,26.996197718631176,26.996197718631176,27.00
17,%,%,True,True,New Hampshire,New Hampshire,13,48,%,42740,27.083333333333332,27.08,27.083333333333332,27.083333333333332,27.08
18,%,%,True,True,Kentucky,Kentucky,34,125,%,78406,27.200000000000003,27.20,27.200000000000003,27.200000000000003,27.20
19,%,%,True,True,Kansas,Kansas,31,113,%,94576,27.43362831858407,27.43,27.43362831858407,27.43362831858407,27.43
20,%,%,True,True,Texas,Texas,534,1939,%,1584396,27.53996905621454,27.54,27.53996905621454,27.53996905621454,27.54
21,%,%,True,True,Ohio,Ohio,115,417,%,313413,27.577937649880095,27.58,27.577937649880095,27.577937649880095,27.58
22,%,%,True,True,Washington,Washington,309,1111,%,813284,27.81278127812781,27.81,27.81278127812781,27.81278127812781,27.81
23,%,%,True,True,Florida,Florida,229,821,%,650132,27.892813641900123,27.89,27.892813641900123,27.892813641900123,27.89
24,%,%,True,True,New York,New York,616,2181,%,1812286,28.243924805135258,28.24,28.243924805135258,28.243924805135258,28.24
25,%,%,True,True,Iowa,Iowa,34,117,%,91780,29.059829059829063,29.06,29.059829059829063,29.059829059829063,29.06
26,%,%,True,True,Nebraska,Nebraska,19,65,%,54128,29.230769230769234,29.23,29.230769230769234,29.230769230769234,29.23
27,%,%,True,True,Minnesota,Minnesota,139,474,%,305845,29.324894514767934,29.32,29.324894514767934,29.324894514767934,29.32
28,%,%,True,True,Illinois,Illinois,254,866,%,756590,29.330254041570434,29.33,29.330254041570434,29.330254041570434,29.33
29,%,%,True,True,Tennessee,Tennessee,48,163,%,139839,29.447852760736197,29.45,29.447852760736197,29.447852760736197,29.45
30,%,%,True,True,Hawaii,Hawaii,242,819,%,651433,29.54822954822955,29.55,29.54822954822955,29.54822954822955,29.55
31,%,%,True,True,Colorado,Colorado,114,383,%,206559,29.765013054830288,29.77,29.765013054830288,29.765013054830288,29.77
32,%,%,True,True,Indiana,Indiana,84,281,%,183573,29.8932384341637,29.89,29.8932384341637,29.8932384341637,29.89
33,%,%,True,True,Oregon,Oregon,89,292,%,221414,30.47945205479452,30.48,30.47945205479452,30.47945205479452,30.48
34,%,%,True,True,Missouri,Missouri,47,153,%,144420,30.718954248366014,30.72,30.718954248366014,30.718954248366014,30.72
35,%,%,True,True,Arkansas,Arkansas,37,120,%,64245,30.833333333333336,30.83,30.833333333333336,30.833333333333336,30.83
36,%,%,True,True,Nevada,Nevada,104,332,%,292101,31.32530120481928,31.33,31.32530120481928,31.32530120481928,31.33
37,%,%,True,True,Arizona,Arizona,148,466,%,270631,31.759656652360512,31.76,31.759656652360512,31.759656652360512,31.76
38,%,%,True,True,Alabama,Alabama,63,197,%,78576,31.979695431472084,31.98,31.979695431472084,31.979695431472084,31.98
