,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Hawaii,Hawaii,11,53,%,27691,20.754716981132077,20.75,20.754716981132077,20.754716981132077,20.75
1,%,%,True,True,District of Columbia,District of Columbia,57,215,%,295889,26.51162790697674,26.51,26.51162790697674,26.51162790697674,26.51
2,%,%,True,True,New Mexico,New Mexico,11,41,%,41152,26.82926829268293,26.83,26.82926829268293,26.82926829268293,26.83
3,%,%,True,True,Utah,Utah,22,82,%,39687,26.82926829268293,26.83,26.82926829268293,26.82926829268293,26.83
4,%,%,True,True,Kentucky,Kentucky,81,287,%,377275,28.222996515679444,28.22,28.222996515679444,28.222996515679444,28.22
5,%,%,True,True,Louisiana,Louisiana,216,765,%,1499002,28.235294117647058,28.24,28.235294117647058,28.235294117647058,28.24
6,%,%,True,True,New York,New York,589,2032,%,2857575,28.986220472440944,28.99,28.986220472440944,28.986220472440944,28.99
7,%,%,True,True,New Hampshire,New Hampshire,9,31,%,21519,29.03225806451613,29.03,29.03225806451613,29.03225806451613,29.03
8,%,%,True,True,Delaware,Delaware,63,216,%,223935,29.166666666666668,29.17,29.166666666666668,29.166666666666668,29.17
9,%,%,True,True,North Carolina,North Carolina,445,1520,%,2248971,29.276315789473685,29.28,29.276315789473685,29.276315789473685,29.28
10,%,%,True,True,Maryland,Maryland,419,1430,%,1862521,29.3006993006993,29.30,29.3006993006993,29.3006993006993,29.30
11,%,%,True,True,Kansas,Kansas,46,155,%,168790,29.677419354838708,29.68,29.677419354838708,29.677419354838708,29.68
12,%,%,True,True,Oklahoma,Oklahoma,75,251,%,296154,29.880478087649404,29.88,29.880478087649404,29.880478087649404,29.88
13,%,%,True,True,Nebraska,Nebraska,28,93,%,97729,30.107526881720432,30.11,30.107526881720432,30.107526881720432,30.11
14,%,%,True,True,Michigan,Michigan,305,1012,%,1383769,30.138339920948614,30.14,30.138339920948614,30.138339920948614,30.14
15,%,%,True,True,Georgia,Georgia,779,2573,%,3451256,30.275942479595802,30.28,30.275942479595802,30.275942479595802,30.28
16,%,%,True,True,Colorado,Colorado,90,297,%,237929,30.303030303030305,30.30,30.303030303030305,30.303030303030305,30.30
17,%,%,True,True,Missouri,Missouri,157,518,%,711459,30.30888030888031,30.31,30.30888030888031,30.30888030888031,30.31
18,%,%,True,True,South Carolina,South Carolina,269,883,%,1352562,30.464326160815403,30.46,30.464326160815403,30.464326160815403,30.46
19,%,%,True,True,California,California,614,2015,%,2200126,30.47146401985112,30.47,30.47146401985112,30.47146401985112,30.47
20,%,%,True,True,New Jersey,New Jersey,286,934,%,1205848,30.620985010706637,30.62,30.620985010706637,30.620985010706637,30.62
21,%,%,True,True,Texas,Texas,884,2882,%,3630643,30.673143650242885,30.67,30.673143650242885,30.673143650242885,30.67
22,%,%,True,True,Alaska,Alaska,12,39,%,23681,30.76923076923077,30.77,30.76923076923077,30.76923076923077,30.77
23,%,%,True,True,Arizona,Arizona,123,398,%,339424,30.90452261306533,30.90,30.90452261306533,30.90452261306533,30.90
