,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,9,33,%,1383,27.27272727272727,27.27,27.27272727272727,27.27272727272727,27.27
1,%,%,True,True,Arizona,Arizona,632,1884,%,279130,33.54564755838641,33.55,33.54564755838641,33.54564755838641,33.55
2,%,%,True,True,Alaska,Alaska,228,650,%,109039,35.07692307692308,35.08,35.07692307692308,35.07692307692308,35.08
3,%,%,True,True,New Mexico,New Mexico,268,734,%,186151,36.51226158038147,36.51,36.51226158038147,36.51226158038147,36.51
4,%,%,True,True,Utah,Utah,135,369,%,31014,36.58536585365854,36.59,36.58536585365854,36.58536585365854,36.59
5,%,%,True,True,Maryland,Maryland,88,238,%,14865,36.97478991596639,36.97,36.97478991596639,36.97478991596639,36.97
6,%,%,True,True,Oklahoma,Oklahoma,875,2357,%,339826,37.1234620280017,37.12,37.1234620280017,37.1234620280017,37.12
7,%,%,True,True,Virginia,Virginia,124,331,%,23140,37.46223564954683,37.46,37.46223564954683,37.46223564954683,37.46
8,%,%,True,True,Hawaii,Hawaii,41,108,%,3099,37.96296296296296,37.96,37.96296296296296,37.96296296296296,37.96
9,%,%,True,True,Minnesota,Minnesota,272,713,%,60687,38.14866760168303,38.15,38.14866760168303,38.14866760168303,38.15
10,%,%,True,True,Wisconsin,Wisconsin,236,616,%,52520,38.311688311688314,38.31,38.311688311688314,38.311688311688314,38.31
11,%,%,True,True,New Jersey,New Jersey,104,269,%,14320,38.66171003717472,38.66,38.66171003717472,38.66171003717472,38.66
12,%,%,True,True,Georgia,Georgia,150,387,%,24975,38.759689922480625,38.76,38.759689922480625,38.759689922480625,38.76
13,%,%,True,True,Kansas,Kansas,146,376,%,23301,38.82978723404255,38.83,38.82978723404255,38.82978723404255,38.83
14,%,%,True,True,California,California,912,2339,%,160861,38.99102180418982,38.99,38.99102180418982,38.99102180418982,38.99
15,%,%,True,True,Delaware,Delaware,34,87,%,3033,39.08045977011494,39.08,39.08045977011494,39.08045977011494,39.08
16,%,%,True,True,New York,New York,350,894,%,60197,39.14988814317674,39.15,39.14988814317674,39.14988814317674,39.15
17,%,%,True,True,Connecticut,Connecticut,66,168,%,8111,39.285714285714285,39.29,39.285714285714285,39.285714285714285,39.29
18,%,%,True,True,Maine,Maine,72,182,%,8892,39.56043956043956,39.56,39.56043956043956,39.56043956043956,39.56
19,%,%,True,True,North Carolina,North Carolina,277,700,%,115825,39.57142857142858,39.57,39.57142857142858,39.57142857142858,39.57
20,%,%,True,True,Montana,Montana,174,434,%,66192,40.09216589861751,40.09,40.09216589861751,40.09216589861751,40.09
21,%,%,True,True,Massachusetts,Massachusetts,98,244,%,12835,40.16393442622951,40.16,40.16393442622951,40.16393442622951,40.16
22,%,%,True,True,Idaho,Idaho,128,318,%,20059,40.25157232704403,40.25,40.25157232704403,40.25157232704403,40.25
23,%,%,True,True,Iowa,Iowa,120,297,%,9836,40.4040404040404,40.40,40.4040404040404,40.4040404040404,40.40
24,%,%,True,True,North Dakota,North Dakota,110,272,%,40207,40.44117647058824,40.44,40.44117647058824,40.44117647058824,40.44
25,%,%,True,True,South Dakota,South Dakota,187,462,%,73258,40.476190476190474,40.48,40.476190476190474,40.476190476190474,40.48
26,%,%,True,True,Oregon,Oregon,225,555,%,46873,40.54054054054054,40.54,40.54054054054054,40.54054054054054,40.54
27,%,%,True,True,Washington,Washington,406,997,%,95740,40.7221664994985,40.72,40.7221664994985,40.7221664994985,40.72
28,%,%,True,True,Nevada,Nevada,114,279,%,26502,40.86021505376344,40.86,40.86021505376344,40.86021505376344,40.86
29,%,%,True,True,Florida,Florida,366,887,%,55453,41.26268320180383,41.26,41.26268320180383,41.26268320180383,41.26
30,%,%,True,True,Colorado,Colorado,262,633,%,37197,41.39020537124802,41.39,41.39020537124802,41.39020537124802,41.39
31,%,%,True,True,New Hampshire,New Hampshire,41,99,%,2960,41.41414141414141,41.41,41.41414141414141,41.41414141414141,41.41
32,%,%,True,True,Texas,Texas,598,1428,%,96976,41.87675070028011,41.88,41.87675070028011,41.87675070028011,41.88
33,%,%,True,True,Wyoming,Wyoming,50,118,%,12146,42.3728813559322,42.37,42.3728813559322,42.3728813559322,42.37
34,%,%,True,True,Louisiana,Louisiana,112,264,%,30358,42.42424242424242,42.42,42.42424242424242,42.42424242424242,42.42
35,%,%,True,True,Arkansas,Arkansas,171,398,%,23903,42.96482412060301,42.96,42.96482412060301,42.96482412060301,42.96
36,%,%,True,True,Pennsylvania,Pennsylvania,243,562,%,19021,43.238434163701065,43.24,43.238434163701065,43.238434163701065,43.24
37,%,%,True,True,Alabama,Alabama,240,555,%,28165,43.24324324324324,43.24,43.24324324324324,43.24324324324324,43.24
38,%,%,True,True,Tennessee,Tennessee,162,374,%,19841,43.31550802139038,43.32,43.31550802139038,43.31550802139038,43.32
39,%,%,True,True,Illinois,Illinois,254,585,%,19819,43.41880341880342,43.42,43.41880341880342,43.41880341880342,43.42
40,%,%,True,True,Missouri,Missouri,226,517,%,27135,43.7137330754352,43.71,43.7137330754352,43.7137330754352,43.71
41,%,%,True,True,Michigan,Michigan,383,871,%,57651,43.972445464982776,43.97,43.972445464982776,43.972445464982776,43.97
42,%,%,True,True,Indiana,Indiana,334,758,%,15815,44.06332453825858,44.06,44.06332453825858,44.06332453825858,44.06
43,%,%,True,True,Mississippi,Mississippi,79,178,%,14992,44.38202247191011,44.38,44.38202247191011,44.38202247191011,44.38
44,%,%,True,True,Kentucky,Kentucky,144,319,%,9313,45.141065830721004,45.14,45.141065830721004,45.141065830721004,45.14
45,%,%,True,True,Nebraska,Nebraska,89,196,%,16418,45.40816326530612,45.41,45.40816326530612,45.40816326530612,45.41
46,%,%,True,True,South Carolina,South Carolina,109,240,%,19363,45.416666666666664,45.42,45.416666666666664,45.416666666666664,45.42
47,%,%,True,True,Rhode Island,Rhode Island,24,51,%,4633,47.05882352941176,47.06,47.05882352941176,47.05882352941176,47.06
48,%,%,True,True,Ohio,Ohio,381,797,%,22944,47.80426599749059,47.80,47.80426599749059,47.80426599749059,47.80
49,%,%,True,True,Vermont,Vermont,28,53,%,2082,52.83018867924528,52.83,52.83018867924528,52.83018867924528,52.83
50,%,%,True,True,West Virginia,West Virginia,68,117,%,3860,58.119658119658126,58.12,58.119658119658126,58.119658119658126,58.12
