,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,89,380,%,29628,23.42105263157895,23.42,23.42105263157895,23.42105263157895,23.42
1,%,%,True,True,Massachusetts,Massachusetts,768,3143,%,520119,24.435252943048045,24.44,24.435252943048045,24.435252943048045,24.44
2,%,%,True,True,Vermont,Vermont,37,146,%,12952,25.34246575342466,25.34,25.34246575342466,25.34246575342466,25.34
3,%,%,True,True,Delaware,Delaware,121,473,%,41957,25.581395348837212,25.58,25.581395348837212,25.581395348837212,25.58
4,%,%,True,True,New Jersey,New Jersey,1321,5100,%,942292,25.901960784313726,25.90,25.901960784313726,25.901960784313726,25.90
5,%,%,True,True,Ohio,Ohio,515,1969,%,313413,26.15540883697308,26.16,26.15540883697308,26.15540883697308,26.16
6,%,%,True,True,Pennsylvania,Pennsylvania,810,3044,%,503783,26.609724047306177,26.61,26.609724047306177,26.609724047306177,26.61
7,%,%,True,True,North Carolina,North Carolina,546,2050,%,353832,26.634146341463417,26.63,26.634146341463417,26.634146341463417,26.63
8,%,%,True,True,Maryland,Maryland,689,2578,%,421227,26.726144297905353,26.73,26.726144297905353,26.726144297905353,26.73
9,%,%,True,True,Michigan,Michigan,626,2328,%,341843,26.89003436426117,26.89,26.89003436426117,26.89003436426117,26.89
10,%,%,True,True,California,California,9575,35512,%,6136428,26.96271682811444,26.96,26.96271682811444,26.96271682811444,26.96
11,%,%,True,True,Connecticut,Connecticut,340,1261,%,179054,26.96272799365583,26.96,26.96272799365583,26.96272799365583,26.96
12,%,%,True,True,Illinois,Illinois,1244,4564,%,756590,27.256792287467135,27.26,27.256792287467135,27.256792287467135,27.26
13,%,%,True,True,Virginia,Virginia,1082,3938,%,614516,27.475876079228033,27.48,27.475876079228033,27.475876079228033,27.48
14,%,%,True,True,Nebraska,Nebraska,120,434,%,54128,27.64976958525346,27.65,27.64976958525346,27.64976958525346,27.65
15,%,%,True,True,Wisconsin,Wisconsin,391,1414,%,185474,27.65205091937765,27.65,27.65205091937765,27.65205091937765,27.65
16,%,%,True,True,Tennessee,Tennessee,257,922,%,139839,27.874186550976138,27.87,27.874186550976138,27.874186550976138,27.87
17,%,%,True,True,Iowa,Iowa,188,673,%,91780,27.934621099554235,27.93,27.934621099554235,27.934621099554235,27.93
18,%,%,True,True,Kentucky,Kentucky,185,656,%,78406,28.20121951219512,28.20,28.20121951219512,28.20121951219512,28.20
19,%,%,True,True,Colorado,Colorado,564,1999,%,206559,28.214107053526767,28.21,28.214107053526767,28.214107053526767,28.21
20,%,%,True,True,Texas,Texas,2729,9657,%,1584396,28.259293776535156,28.26,28.259293776535156,28.259293776535156,28.26
21,%,%,True,True,Rhode Island,Rhode Island,81,285,%,39360,28.421052631578945,28.42,28.421052631578945,28.421052631578945,28.42
22,%,%,True,True,Minnesota,Minnesota,637,2230,%,305845,28.565022421524667,28.57,28.565022421524667,28.565022421524667,28.57
23,%,%,True,True,Missouri,Missouri,269,938,%,144420,28.678038379530918,28.68,28.678038379530918,28.678038379530918,28.68
24,%,%,True,True,Hawaii,Hawaii,1264,4390,%,651433,28.79271070615034,28.79,28.79271070615034,28.79271070615034,28.79
25,%,%,True,True,New York,New York,3135,10782,%,1812286,29.076238174735668,29.08,29.076238174735668,29.076238174735668,29.08
26,%,%,True,True,Washington,Washington,1559,5351,%,813284,29.13474116987479,29.13,29.13474116987479,29.13474116987479,29.13
27,%,%,True,True,New Hampshire,New Hampshire,82,280,%,42740,29.28571428571429,29.29,29.28571428571429,29.28571428571429,29.29
28,%,%,True,True,Louisiana,Louisiana,173,588,%,85860,29.421768707482993,29.42,29.421768707482993,29.421768707482993,29.42
29,%,%,True,True,Georgia,Georgia,931,3156,%,490433,29.499366286438526,29.50,29.499366286438526,29.499366286438526,29.50
30,%,%,True,True,Alaska,Alaska,354,1199,%,58213,29.524603836530446,29.52,29.524603836530446,29.524603836530446,29.52
31,%,%,True,True,Oregon,Oregon,443,1491,%,221414,29.711602951039573,29.71,29.711602951039573,29.711602951039573,29.71
32,%,%,True,True,Indiana,Indiana,956,3202,%,183573,29.85633978763273,29.86,29.85633978763273,29.85633978763273,29.86
33,%,%,True,True,Kansas,Kansas,213,704,%,94576,30.255681818181817,30.26,30.255681818181817,30.255681818181817,30.26
34,%,%,True,True,Arizona,Arizona,770,2543,%,270631,30.279197797876524,30.28,30.279197797876524,30.279197797876524,30.28
35,%,%,True,True,North Dakota,North Dakota,41,135,%,13076,30.37037037037037,30.37,30.37037037037037,30.37037037037037,30.37
36,%,%,True,True,Florida,Florida,1346,4404,%,650132,30.56312443233424,30.56,30.56312443233424,30.56312443233424,30.56
37,%,%,True,True,Alabama,Alabama,525,1715,%,78576,30.612244897959183,30.61,30.612244897959183,30.612244897959183,30.61
38,%,%,True,True,Montana,Montana,42,137,%,11461,30.656934306569344,30.66,30.656934306569344,30.656934306569344,30.66
39,%,%,True,True,Nevada,Nevada,593,1887,%,292101,31.425543190249073,31.43,31.425543190249073,31.425543190249073,31.43
40,%,%,True,True,New Mexico,New Mexico,103,326,%,35760,31.595092024539877,31.60,31.595092024539877,31.595092024539877,31.60
41,%,%,True,True,West Virginia,West Virginia,89,281,%,15762,31.672597864768683,31.67,31.672597864768683,31.672597864768683,31.67
42,%,%,True,True,Maine,Maine,122,383,%,18886,31.853785900783286,31.85,31.853785900783286,31.853785900783286,31.85
43,%,%,True,True,Utah,Utah,351,1096,%,119717,32.02554744525548,32.03,32.02554744525548,32.02554744525548,32.03
44,%,%,True,True,Mississippi,Mississippi,111,346,%,33735,32.080924855491325,32.08,32.080924855491325,32.080924855491325,32.08
45,%,%,True,True,Arkansas,Arkansas,235,724,%,64245,32.4585635359116,32.46,32.4585635359116,32.4585635359116,32.46
46,%,%,True,True,Oklahoma,Oklahoma,245,731,%,102892,33.515731874145004,33.52,33.515731874145004,33.515731874145004,33.52
47,%,%,True,True,Wyoming,Wyoming,62,179,%,6184,34.63687150837989,34.64,34.63687150837989,34.63687150837989,34.64
48,%,%,True,True,South Carolina,South Carolina,244,695,%,100149,35.10791366906475,35.11,35.10791366906475,35.10791366906475,35.11
49,%,%,True,True,Idaho,Idaho,150,425,%,31829,35.294117647058826,35.29,35.294117647058826,35.294117647058826,35.29
50,%,%,True,True,South Dakota,South Dakota,65,183,%,15358,35.51912568306011,35.52,35.51912568306011,35.51912568306011,35.52
