,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,337,1227,%,295889,27.465362673186632,27.47,27.465362673186632,27.465362673186632,27.47
1,%,%,True,True,New Hampshire,New Hampshire,36,130,%,21519,27.692307692307693,27.69,27.692307692307693,27.692307692307693,27.69
2,%,%,True,True,North Carolina,North Carolina,2422,8470,%,2248971,28.595041322314053,28.60,28.595041322314053,28.595041322314053,28.60
3,%,%,True,True,Delaware,Delaware,320,1092,%,223935,29.304029304029307,29.30,29.304029304029307,29.304029304029307,29.30
4,%,%,True,True,Maryland,Maryland,2335,7959,%,1862521,29.337856514637515,29.34,29.337856514637515,29.337856514637515,29.34
5,%,%,True,True,Alaska,Alaska,85,289,%,23681,29.411764705882355,29.41,29.411764705882355,29.411764705882355,29.41
6,%,%,True,True,Hawaii,Hawaii,73,245,%,27691,29.795918367346943,29.80,29.795918367346943,29.795918367346943,29.80
7,%,%,True,True,Virginia,Virginia,2122,7028,%,1657724,30.19351166761525,30.19,30.19351166761525,30.19351166761525,30.19
8,%,%,True,True,New York,New York,3467,11464,%,2857575,30.242498255408236,30.24,30.242498255408236,30.242498255408236,30.24
9,%,%,True,True,Utah,Utah,96,315,%,39687,30.476190476190478,30.48,30.476190476190478,30.476190476190478,30.48
10,%,%,True,True,Connecticut,Connecticut,553,1806,%,382977,30.620155038759687,30.62,30.620155038759687,30.620155038759687,30.62
11,%,%,True,True,South Dakota,South Dakota,42,136,%,20987,30.88235294117647,30.88,30.88235294117647,30.88235294117647,30.88
12,%,%,True,True,California,California,3308,10704,%,2200126,30.904334828101643,30.90,30.904334828101643,30.904334828101643,30.90
13,%,%,True,True,Georgia,Georgia,4330,13900,%,3451256,31.151079136690647,31.15,31.151079136690647,31.151079136690647,31.15
14,%,%,True,True,Mississippi,Mississippi,1261,4009,%,1107951,31.45422798702918,31.45,31.45422798702918,31.45422798702918,31.45
15,%,%,True,True,Pennsylvania,Pennsylvania,1781,5662,%,1416684,31.455316142705758,31.46,31.455316142705758,31.455316142705758,31.46
16,%,%,True,True,Michigan,Michigan,1684,5349,%,1383769,31.482520097214433,31.48,31.482520097214433,31.482520097214433,31.48
17,%,%,True,True,New Jersey,New Jersey,1553,4915,%,1205848,31.5971515768057,31.60,31.5971515768057,31.5971515768057,31.60
18,%,%,True,True,Massachusetts,Massachusetts,695,2190,%,522609,31.7351598173516,31.74,31.7351598173516,31.7351598173516,31.74
19,%,%,True,True,Missouri,Missouri,897,2808,%,711459,31.944444444444443,31.94,31.944444444444443,31.944444444444443,31.94
20,%,%,True,True,Texas,Texas,4979,15581,%,3630643,31.95558693280277,31.96,31.95558693280277,31.95558693280277,31.96
21,%,%,True,True,Alabama,Alabama,1434,4477,%,1336172,32.03037748492294,32.03,32.03037748492294,32.03037748492294,32.03
22,%,%,True,True,Nebraska,Nebraska,163,507,%,97729,32.149901380670606,32.15,32.149901380670606,32.149901380670606,32.15
23,%,%,True,True,Maine,Maine,55,171,%,23559,32.16374269005848,32.16,32.16374269005848,32.16374269005848,32.16
24,%,%,True,True,Ohio,Ohio,1944,6043,%,1510741,32.169452258811845,32.17,32.169452258811845,32.169452258811845,32.17
25,%,%,True,True,New Mexico,New Mexico,64,198,%,41152,32.323232323232325,32.32,32.323232323232325,32.323232323232325,32.32
26,%,%,True,True,South Carolina,South Carolina,1490,4606,%,1352562,32.349109856708644,32.35,32.349109856708644,32.349109856708644,32.35
27,%,%,True,True,Florida,Florida,4014,12398,%,3386309,32.37618970801742,32.38,32.37618970801742,32.37618970801742,32.38
28,%,%,True,True,Indiana,Indiana,993,3062,%,667291,32.429784454604835,32.43,32.429784454604835,32.429784454604835,32.43
29,%,%,True,True,Rhode Island,Rhode Island,84,259,%,68125,32.432432432432435,32.43,32.432432432432435,32.432432432432435,32.43
30,%,%,True,True,Vermont,Vermont,25,77,%,8685,32.467532467532465,32.47,32.467532467532465,32.467532467532465,32.47
31,%,%,True,True,Oklahoma,Oklahoma,425,1308,%,296154,32.49235474006117,32.49,32.49235474006117,32.49235474006117,32.49
32,%,%,True,True,Tennessee,Tennessee,1349,4107,%,1158262,32.8463598733869,32.85,32.8463598733869,32.8463598733869,32.85
33,%,%,True,True,Illinois,Illinois,2364,7174,%,1791229,32.95232785057151,32.95,32.95232785057151,32.95232785057151,32.95
34,%,%,True,True,Louisiana,Louisiana,1396,4201,%,1499002,33.23018328969293,33.23,33.23018328969293,33.23018328969293,33.23
35,%,%,True,True,Arizona,Arizona,735,2199,%,339424,33.42428376534789,33.42,33.42428376534789,33.42428376534789,33.42
36,%,%,True,True,Arkansas,Arkansas,552,1650,%,466227,33.45454545454545,33.45,33.45454545454545,33.45454545454545,33.45
37,%,%,True,True,Kentucky,Kentucky,519,1550,%,377275,33.483870967741936,33.48,33.483870967741936,33.483870967741936,33.48
38,%,%,True,True,Kansas,Kansas,296,872,%,168790,33.94495412844037,33.94,33.94495412844037,33.94495412844037,33.94
39,%,%,True,True,Minnesota,Minnesota,682,1979,%,409602,34.46184941889843,34.46,34.46184941889843,34.46184941889843,34.46
40,%,%,True,True,Washington,Washington,577,1665,%,316727,34.65465465465466,34.65,34.65465465465466,34.65465465465466,34.65
41,%,%,True,True,Colorado,Colorado,530,1529,%,237929,34.66317854807063,34.66,34.66317854807063,34.66317854807063,34.66
42,%,%,True,True,Montana,Montana,28,80,%,6138,35,35.00,35,35,35.00
43,%,%,True,True,Nevada,Nevada,490,1394,%,301273,35.1506456241033,35.15,35.1506456241033,35.1506456241033,35.15
44,%,%,True,True,Oregon,Oregon,183,518,%,84565,35.32818532818533,35.33,35.32818532818533,35.32818532818533,35.33
45,%,%,True,True,Wyoming,Wyoming,25,70,%,6016,35.714285714285715,35.71,35.714285714285715,35.714285714285715,35.71
46,%,%,True,True,Iowa,Iowa,228,638,%,131303,35.73667711598746,35.74,35.73667711598746,35.73667711598746,35.74
47,%,%,True,True,West Virginia,West Virginia,103,286,%,64063,36.01398601398601,36.01,36.01398601398601,36.01398601398601,36.01
48,%,%,True,True,Wisconsin,Wisconsin,533,1472,%,378263,36.20923913043478,36.21,36.20923913043478,36.20923913043478,36.21
49,%,%,True,True,Idaho,Idaho,58,160,%,14597,36.25,36.25,36.25,36.25,36.25
50,%,%,True,True,North Dakota,North Dakota,47,122,%,25870,38.52459016393443,38.52,38.52459016393443,38.52459016393443,38.52
