,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,107,390,%,76919,27.435897435897438,27.44,27.435897435897438,27.435897435897438,27.44
1,%,%,True,True,Vermont,Vermont,30,103,%,14384,29.126213592233007,29.13,29.126213592233007,29.126213592233007,29.13
2,%,%,True,True,Minnesota,Minnesota,489,1642,%,333474,29.780755176613887,29.78,29.780755176613887,29.780755176613887,29.78
3,%,%,True,True,Hawaii,Hawaii,144,475,%,160134,30.315789473684212,30.32,30.315789473684212,30.315789473684212,30.32
4,%,%,True,True,Delaware,Delaware,165,541,%,101213,30.499075785582253,30.50,30.499075785582253,30.499075785582253,30.50
5,%,%,True,True,Virginia,Virginia,1199,3777,%,882402,31.744770982261056,31.74,31.744770982261056,31.744770982261056,31.74
6,%,%,True,True,California,California,19966,62110,%,15754605,32.14619223957495,32.15,32.14619223957495,32.14619223957495,32.15
7,%,%,True,True,Idaho,Idaho,329,1018,%,251919,32.31827111984283,32.32,32.31827111984283,32.31827111984283,32.32
8,%,%,True,True,New York,New York,4450,13667,%,3868268,32.56018145898881,32.56,32.56018145898881,32.56018145898881,32.56
9,%,%,True,True,South Dakota,South Dakota,58,178,%,41288,32.58426966292135,32.58,32.58426966292135,32.58426966292135,32.58
10,%,%,True,True,Florida,Florida,6843,20951,%,5830908,32.661925445086155,32.66,32.661925445086155,32.661925445086155,32.66
11,%,%,True,True,New Jersey,New Jersey,2441,7432,%,1991638,32.84445640473628,32.84,32.84445640473628,32.84445640473628,32.84
12,%,%,True,True,Oregon,Oregon,796,2422,%,596517,32.865400495458296,32.87,32.865400495458296,32.865400495458296,32.87
