,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,57,204,%,16480,27.941176470588236,27.94,27.941176470588236,27.941176470588236,27.94
1,%,%,True,True,Connecticut,Connecticut,318,945,%,68017,33.65079365079365,33.65,33.65079365079365,33.65079365079365,33.65
2,%,%,True,True,Montana,Montana,71,208,%,28810,34.13461538461539,34.13,34.13461538461539,34.13461538461539,34.13
3,%,%,True,True,California,California,4859,13691,%,1170491,35.490468190782266,35.49,35.490468190782266,35.490468190782266,35.49
4,%,%,True,True,Hawaii,Hawaii,355,998,%,291001,35.57114228456914,35.57,35.57114228456914,35.57114228456914,35.57
5,%,%,True,True,Minnesota,Minnesota,454,1274,%,139747,35.63579277864992,35.64,35.63579277864992,35.63579277864992,35.64
6,%,%,True,True,Illinois,Illinois,1001,2768,%,224432,36.16329479768786,36.16,36.16329479768786,36.16329479768786,36.16
7,%,%,True,True,New Jersey,New Jersey,770,2111,%,152237,36.475603979156794,36.48,36.475603979156794,36.475603979156794,36.48
8,%,%,True,True,Massachusetts,Massachusetts,553,1511,%,137083,36.59827928524157,36.60,36.59827928524157,36.59827928524157,36.60
9,%,%,True,True,Washington,Washington,1034,2814,%,342530,36.74484719260839,36.74,36.74484719260839,36.74484719260839,36.74
10,%,%,True,True,Maryland,Maryland,620,1648,%,161497,37.62135922330097,37.62,37.62135922330097,37.62135922330097,37.62
11,%,%,True,True,Nebraska,Nebraska,180,478,%,40407,37.65690376569037,37.66,37.65690376569037,37.65690376569037,37.66
12,%,%,True,True,Virginia,Virginia,1044,2768,%,250775,37.716763005780344,37.72,37.716763005780344,37.716763005780344,37.72
13,%,%,True,True,North Carolina,North Carolina,899,2378,%,225732,37.80487804878049,37.80,37.80487804878049,37.80487804878049,37.80
14,%,%,True,True,Delaware,Delaware,119,314,%,25193,37.898089171974526,37.90,37.898089171974526,37.898089171974526,37.90
15,%,%,True,True,Rhode Island,Rhode Island,85,224,%,24311,37.94642857142857,37.95,37.94642857142857,37.94642857142857,37.95
16,%,%,True,True,Michigan,Michigan,814,2138,%,243379,38.072965388213284,38.07,38.072965388213284,38.072965388213284,38.07
17,%,%,True,True,New York,New York,1662,4345,%,378698,38.250863060989644,38.25,38.250863060989644,38.250863060989644,38.25
18,%,%,True,True,Pennsylvania,Pennsylvania,948,2470,%,238808,38.38056680161943,38.38,38.38056680161943,38.38056680161943,38.38
19,%,%,True,True,Georgia,Georgia,1044,2717,%,217873,38.42473316157526,38.42,38.42473316157526,38.42473316157526,38.42
20,%,%,True,True,Maine,Maine,83,216,%,24338,38.425925925925924,38.43,38.425925925925924,38.425925925925924,38.43
21,%,%,True,True,Utah,Utah,323,838,%,76033,38.544152744630075,38.54,38.544152744630075,38.544152744630075,38.54
22,%,%,True,True,Missouri,Missouri,473,1226,%,143689,38.580750407830344,38.58,38.580750407830344,38.580750407830344,38.58
23,%,%,True,True,Alaska,Alaska,139,360,%,52262,38.611111111111114,38.61,38.611111111111114,38.611111111111114,38.61
24,%,%,True,True,Oregon,Oregon,519,1337,%,148706,38.81824981301421,38.82,38.81824981301421,38.81824981301421,38.82
25,%,%,True,True,North Dakota,North Dakota,52,133,%,16837,39.097744360902254,39.10,39.097744360902254,39.097744360902254,39.10
26,%,%,True,True,New Mexico,New Mexico,198,505,%,33832,39.20792079207921,39.21,39.20792079207921,39.20792079207921,39.21
27,%,%,True,True,Arizona,Arizona,909,2310,%,163394,39.350649350649356,39.35,39.350649350649356,39.350649350649356,39.35
28,%,%,True,True,Florida,Florida,2001,5044,%,390375,39.67089611419508,39.67,39.67089611419508,39.67089611419508,39.67
29,%,%,True,True,Wyoming,Wyoming,52,131,%,11050,39.69465648854962,39.69,39.69465648854962,39.69465648854962,39.69
30,%,%,True,True,Texas,Texas,2913,7334,%,473467,39.71911644395964,39.72,39.71911644395964,39.71911644395964,39.72
31,%,%,True,True,Tennessee,Tennessee,526,1323,%,134263,39.75812547241119,39.76,39.75812547241119,39.75812547241119,39.76
32,%,%,True,True,Nevada,Nevada,546,1373,%,118795,39.76693372177713,39.77,39.76693372177713,39.76693372177713,39.77
33,%,%,True,True,Indiana,Indiana,641,1603,%,139946,39.987523393636934,39.99,39.987523393636934,39.987523393636934,39.99
34,%,%,True,True,Louisiana,Louisiana,274,681,%,74216,40.23494860499266,40.23,40.23494860499266,40.23494860499266,40.23
35,%,%,True,True,Wisconsin,Wisconsin,477,1177,%,109888,40.5267629566695,40.53,40.5267629566695,40.5267629566695,40.53
36,%,%,True,True,Mississippi,Mississippi,164,402,%,37834,40.79601990049751,40.80,40.79601990049751,40.79601990049751,40.80
37,%,%,True,True,South Dakota,South Dakota,71,173,%,20807,41.040462427745666,41.04,41.040462427745666,41.040462427745666,41.04
38,%,%,True,True,Alabama,Alabama,387,940,%,86070,41.170212765957444,41.17,41.170212765957444,41.170212765957444,41.17
39,%,%,True,True,New Hampshire,New Hampshire,89,215,%,22716,41.3953488372093,41.40,41.3953488372093,41.3953488372093,41.40
40,%,%,True,True,Iowa,Iowa,261,628,%,59427,41.56050955414013,41.56,41.56050955414013,41.56050955414013,41.56
41,%,%,True,True,Colorado,Colorado,832,1985,%,144152,41.914357682619645,41.91,41.914357682619645,41.914357682619645,41.91
42,%,%,True,True,Oklahoma,Oklahoma,527,1252,%,235733,42.0926517571885,42.09,42.0926517571885,42.0926517571885,42.09
43,%,%,True,True,West Virginia,West Virginia,115,273,%,33519,42.124542124542124,42.12,42.124542124542124,42.124542124542124,42.12
44,%,%,True,True,Kansas,Kansas,325,766,%,81605,42.42819843342037,42.43,42.42819843342037,42.42819843342037,42.43
45,%,%,True,True,Ohio,Ohio,1055,2471,%,274463,42.69526507486848,42.70,42.69526507486848,42.69526507486848,42.70
46,%,%,True,True,Arkansas,Arkansas,271,623,%,63545,43.4991974317817,43.50,43.4991974317817,43.4991974317817,43.50
47,%,%,True,True,South Carolina,South Carolina,482,1106,%,98263,43.58047016274864,43.58,43.58047016274864,43.58047016274864,43.58
48,%,%,True,True,Idaho,Idaho,204,451,%,41056,45.23281596452328,45.23,45.23281596452328,45.23281596452328,45.23
49,%,%,True,True,Kentucky,Kentucky,402,881,%,90573,45.6299659477866,45.63,45.6299659477866,45.6299659477866,45.63
50,%,%,True,True,Vermont,Vermont,46,97,%,12316,47.42268041237113,47.42,47.42268041237113,47.42268041237113,47.42
