,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,321,1664,%,249751,19.290865384615387,19.29,19.290865384615387,19.290865384615387,19.29
1,%,%,True,True,New Jersey,New Jersey,4899,17846,%,4960795,27.45152975456685,27.45,27.45152975456685,27.45152975456685,27.45
2,%,%,True,True,Massachusetts,Massachusetts,5344,19418,%,4894728,27.520856936862703,27.52,27.520856936862703,27.520856936862703,27.52
3,%,%,True,True,Minnesota,Minnesota,5787,20680,%,4458035,27.983558994197296,27.98,27.983558994197296,27.983558994197296,27.98
4,%,%,True,True,Connecticut,Connecticut,2796,9872,%,2330326,28.322528363047,28.32,28.322528363047,28.322528363047,28.32
5,%,%,True,True,Vermont,Vermont,741,2616,%,595151,28.325688073394495,28.33,28.325688073394495,28.325688073394495,28.33
6,%,%,True,True,Maryland,Maryland,3528,12330,%,3020582,28.613138686131386,28.61,28.613138686131386,28.613138686131386,28.61
7,%,%,True,True,Nebraska,Nebraska,2127,7422,%,1519341,28.65804365400162,28.66,28.65804365400162,28.65804365400162,28.66
8,%,%,True,True,New York,New York,11836,41022,%,10858889,28.852810686948466,28.85,28.852810686948466,28.852810686948466,28.85
9,%,%,True,True,Rhode Island,Rhode Island,796,2737,%,771405,29.082937522835223,29.08,29.082937522835223,29.082937522835223,29.08
10,%,%,True,True,Wisconsin,Wisconsin,6259,21328,%,4727246,29.346399099774946,29.35,29.346399099774946,29.346399099774946,29.35
11,%,%,True,True,Delaware,Delaware,891,3019,%,608053,29.51308380258364,29.51,29.51308380258364,29.51308380258364,29.51
12,%,%,True,True,California,California,16864,56724,%,13815325,29.729920315915663,29.73,29.729920315915663,29.729920315915663,29.73
13,%,%,True,True,Utah,Utah,4777,15855,%,2577888,30.129296751813307,30.13,30.129296751813307,30.129296751813307,30.13
14,%,%,True,True,Wyoming,Wyoming,746,2472,%,482320,30.17799352750809,30.18,30.17799352750809,30.17799352750809,30.18
15,%,%,True,True,Illinois,Illinois,9775,32373,%,7597266,30.194915516016437,30.19,30.194915516016437,30.194915516016437,30.19
16,%,%,True,True,Colorado,Colorado,6152,20121,%,3893018,30.57502112221063,30.58,30.57502112221063,30.57502112221063,30.58
17,%,%,True,True,Pennsylvania,Pennsylvania,12517,40897,%,9701126,30.606156930826224,30.61,30.606156930826224,30.606156930826224,30.61
18,%,%,True,True,Hawaii,Hawaii,566,1837,%,308195,30.811105062602067,30.81,30.811105062602067,30.811105062602067,30.81
19,%,%,True,True,South Dakota,South Dakota,974,3155,%,723678,30.871632329635503,30.87,30.871632329635503,30.871632329635503,30.87
20,%,%,True,True,Washington,Washington,7277,23381,%,5111255,31.123561866472777,31.12,31.123561866472777,31.123561866472777,31.12
21,%,%,True,True,Virginia,Virginia,7466,23898,%,5213717,31.241108042514014,31.24,31.241108042514014,31.241108042514014,31.24
22,%,%,True,True,North Carolina,North Carolina,8654,27446,%,6528578,31.531006339721635,31.53,31.531006339721635,31.531006339721635,31.53
23,%,%,True,True,Iowa,Iowa,3998,12650,%,2685614,31.60474308300395,31.60,31.60474308300395,31.60474308300395,31.60
24,%,%,True,True,New Hampshire,New Hampshire,1655,5231,%,1238184,31.638310074555537,31.64,31.638310074555537,31.638310074555537,31.64
25,%,%,True,True,Maine,Maine,1753,5537,%,1269535,31.65974354343507,31.66,31.65974354343507,31.65974354343507,31.66
26,%,%,True,True,New Mexico,New Mexico,984,3105,%,759740,31.69082125603865,31.69,31.69082125603865,31.69082125603865,31.69
27,%,%,True,True,North Dakota,North Dakota,889,2805,%,644623,31.693404634581107,31.69,31.693404634581107,31.693404634581107,31.69
28,%,%,True,True,Michigan,Michigan,10482,32760,%,7462582,31.996336996336993,32.00,31.996336996336993,31.996336996336993,32.00
29,%,%,True,True,Kansas,Kansas,3275,10234,%,2192217,32.001172562048076,32.00,32.001172562048076,32.001172562048076,32.00
30,%,%,True,True,Arizona,Arizona,5995,18401,%,3872615,32.57975110048367,32.58,32.57975110048367,32.57975110048367,32.58
31,%,%,True,True,Oregon,Oregon,4708,14436,%,3148080,32.612912164034356,32.61,32.612912164034356,32.612912164034356,32.61
32,%,%,True,True,Indiana,Indiana,9224,28034,%,5276416,32.90290361703646,32.90,32.90290361703646,32.90290361703646,32.90
33,%,%,True,True,Missouri,Missouri,6981,21141,%,4854359,33.021143749113094,33.02,33.021143749113094,33.021143749113094,33.02
34,%,%,True,True,Montana,Montana,1337,4047,%,943656,33.03681739560168,33.04,33.03681739560168,33.03681739560168,33.04
35,%,%,True,True,Ohio,Ohio,13866,41949,%,9149813,33.05442322820568,33.05,33.05442322820568,33.05442322820568,33.05
36,%,%,True,True,Florida,Florida,14233,42995,%,11467951,33.10384928480056,33.10,33.10384928480056,33.10384928480056,33.10
37,%,%,True,True,Texas,Texas,17699,53370,%,11885058,33.162825557429265,33.16,33.162825557429265,33.162825557429265,33.16
38,%,%,True,True,Alaska,Alaska,1053,3174,%,434746,33.1758034026465,33.18,33.1758034026465,33.1758034026465,33.18
39,%,%,True,True,Louisiana,Louisiana,3117,9273,%,2676273,33.61371724361048,33.61,33.61371724361048,33.61371724361048,33.61
40,%,%,True,True,South Carolina,South Carolina,4749,14097,%,3290272,33.68801872738881,33.69,33.68801872738881,33.68801872738881,33.69
41,%,%,True,True,Georgia,Georgia,8376,24824,%,5510193,33.74154044473091,33.74,33.74154044473091,33.74154044473091,33.74
42,%,%,True,True,Nevada,Nevada,2074,6059,%,1464563,34.230070968806736,34.23,34.230070968806736,34.230070968806736,34.23
43,%,%,True,True,Idaho,Idaho,2517,7308,%,1541463,34.441707717569784,34.44,34.441707717569784,34.441707717569784,34.44
44,%,%,True,True,Tennessee,Tennessee,8782,25350,%,5097174,34.642998027613416,34.64,34.642998027613416,34.642998027613416,34.64
