,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(TOTAL Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,1009,4244,%,670050,23.77474081055608,23.77,23.77474081055608,23.77474081055608,23.77
1,%,%,True,True,Massachusetts,Massachusetts,9105,31588,%,6984723,28.82423705204508,28.82,28.82423705204508,28.82423705204508,28.82
2,%,%,True,True,Minnesota,Minnesota,8719,29703,%,5707390,29.353937312729357,29.35,29.353937312729357,29.353937312729357,29.35
3,%,%,True,True,New Jersey,New Jersey,11768,39869,%,9267130,29.5166670847024,29.52,29.5166670847024,29.5166670847024,29.52
4,%,%,True,True,Maryland,Maryland,8496,28617,%,6165129,29.688646608659187,29.69,29.688646608659187,29.688646608659187,29.69
5,%,%,True,True,Vermont,Vermont,964,3233,%,645570,29.81750695948036,29.82,29.81750695948036,29.81750695948036,29.82
6,%,%,True,True,Delaware,Delaware,1783,5941,%,1003384,30.01178252819391,30.01,30.01178252819391,30.01178252819391,30.01
7,%,%,True,True,Connecticut,Connecticut,5235,17420,%,3605597,30.051664753157294,30.05,30.051664753157294,30.051664753157294,30.05
8,%,%,True,True,Nebraska,Nebraska,3167,10457,%,1963692,30.285932867935355,30.29,30.285932867935355,30.285932867935355,30.29
9,%,%,True,True,Hawaii,Hawaii,2640,8668,%,1441553,30.456852791878177,30.46,30.456852791878177,30.456852791878177,30.46
10,%,%,True,True,New York,New York,26758,87849,%,19835913,30.459083199581098,30.46,30.459083199581098,30.459083199581098,30.46
11,%,%,True,True,California,California,59397,193491,%,39237836,30.69755182411585,30.70,30.69755182411585,30.69755182411585,30.70
12,%,%,True,True,Wisconsin,Wisconsin,8954,29062,%,5895908,30.80999242997729,30.81,30.80999242997729,30.80999242997729,30.81
13,%,%,True,True,Rhode Island,Rhode Island,1343,4337,%,1095610,30.966105602951348,30.97,30.966105602951348,30.966105602951348,30.97
14,%,%,True,True,Virginia,Virginia,13666,43780,%,8642274,31.215166742804932,31.22,31.215166742804932,31.215166742804932,31.22
15,%,%,True,True,Illinois,Illinois,18887,60324,%,12671469,31.309263311451495,31.31,31.309263311451495,31.309263311451495,31.31
16,%,%,True,True,Utah,Utah,6789,21656,%,3337975,31.349279645363872,31.35,31.349279645363872,31.349279645363872,31.35
17,%,%,True,True,Pennsylvania,Pennsylvania,18533,59004,%,12964056,31.409734933224865,31.41,31.409734933224865,31.409734933224865,31.41
18,%,%,True,True,North Carolina,North Carolina,14892,47080,%,10551162,31.63126593033135,31.63,31.63126593033135,31.63126593033135,31.63
19,%,%,True,True,Wyoming,Wyoming,1115,3492,%,578803,31.930126002290947,31.93,31.930126002290947,31.930126002290947,31.93
20,%,%,True,True,New Hampshire,New Hampshire,2090,6522,%,1388992,32.045384851272615,32.05,32.045384851272615,32.045384851272615,32.05
21,%,%,True,True,Washington,Washington,12948,40255,%,7738692,32.16494845360825,32.16,32.16494845360825,32.16494845360825,32.16
22,%,%,True,True,Michigan,Michigan,15748,48585,%,10050811,32.41329628486158,32.41,32.41329628486158,32.41329628486158,32.41
23,%,%,True,True,Colorado,Colorado,10922,33689,%,5812069,32.42007777019205,32.42,32.42007777019205,32.42007777019205,32.42
24,%,%,True,True,Maine,Maine,2251,6940,%,1372247,32.435158501440924,32.44,32.435158501440924,32.435158501440924,32.44
