,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Age Chart-value,Age Chart-alias,State-value,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,ATTR(2021 Population Estimate)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Alaska,Alaska,2231,6762,732673,304.5014624532363,304.5,304.5
1,%null%,%null%,True,True,Utah,Utah,6789,21656,3337975,203.3867839034145,203.4,203.4
2,%null%,%null%,True,True,Indiana,Indiana,13718,41197,6805985,201.55789353047356,201.6,201.6
3,%null%,%null%,True,True,Wyoming,Wyoming,1115,3492,578803,192.63894623904852,192.6,192.6
4,%null%,%null%,True,True,Colorado,Colorado,10922,33689,5812069,187.9193106620035,187.9,187.9
5,%null%,%null%,True,True,Idaho,Idaho,3553,10136,1900923,186.90920147738757,186.9,186.9
6,%null%,%null%,True,True,Arizona,Arizona,13443,39632,7276316,184.75008507052195,184.8,184.8
7,%null%,%null%,True,True,Arkansas,Arkansas,5588,15321,3025891,184.6728781704298,184.7,184.7
8,%null%,%null%,True,True,Hawaii,Hawaii,2640,8668,1441553,183.13582643163312,183.1,183.1
9,%null%,%null%,True,True,West Virginia,West Virginia,3230,8618,1782959,181.1595218959045,181.2,181.2
10,%null%,%null%,True,True,Alabama,Alabama,9079,26216,5039877,180.143285242874,180.1,180.1
11,%null%,%null%,True,True,Delaware,Delaware,1783,5941,1003384,177.69866770847452,177.7,177.7
12,%null%,%null%,True,True,Oklahoma,Oklahoma,7047,19911,3986639,176.76544076351033,176.8,176.8
13,%null%,%null%,True,True,Kentucky,Kentucky,7856,22442,4509394,174.2140961734548,174.2,174.2
14,%null%,%null%,True,True,Tennessee,Tennessee,12021,34796,6975218,172.33869966501405,172.3,172.3
15,%null%,%null%,True,True,Nevada,Nevada,5377,15224,3143991,171.02466260240567,171.0,171.0
16,%null%,%null%,True,True,Oregon,Oregon,7216,21734,4246155,169.9419828056206,169.9,169.9
17,%null%,%null%,True,True,Kansas,Kansas,4972,15034,2934582,169.4278776329985,169.4,169.4
18,%null%,%null%,True,True,Iowa,Iowa,5361,16510,3193079,167.8943740508769,167.9,167.9
19,%null%,%null%,True,True,Washington,Washington,12948,40255,7738692,167.3150966597456,167.3,167.3
20,%null%,%null%,True,True,Montana,Montana,1835,5357,1104271,166.172977466582,166.2,166.2
21,%null%,%null%,True,True,South Dakota,South Dakota,1473,4486,895376,164.5118922106467,164.5,164.5
22,%null%,%null%,True,True,Ohio,Ohio,19342,57657,11780017,164.19331143579845,164.2,164.2
23,%null%,%null%,True,True,Maine,Maine,2251,6940,1372247,164.03752385685667,164.0,164.0
24,%null%,%null%,True,True,North Dakota,North Dakota,1268,3815,774948,163.6238818604603,163.6,163.6
25,%null%,%null%,True,True,Mississippi,Mississippi,4761,13585,2949965,161.391745325792,161.4,161.4
26,%null%,%null%,True,True,Nebraska,Nebraska,3167,10457,1963692,161.2778378686678,161.3,161.3
27,%null%,%null%,True,True,Georgia,Georgia,17219,51914,10799566,159.441592375101,159.4,159.4
28,%null%,%null%,True,True,Texas,Texas,47003,140099,29527941,159.18143428964453,159.2,159.2
29,%null%,%null%,True,True,Virginia,Virginia,13666,43780,8642274,158.12967744369132,158.1,158.1
30,%null%,%null%,True,True,Michigan,Michigan,15748,48585,10050811,156.68387357000347,156.7,156.7
31,%null%,%null%,True,True,Missouri,Missouri,9609,28790,6168187,155.78321474365157,155.8,155.8
32,%null%,%null%,True,True,Minnesota,Minnesota,8719,29703,5707390,152.76685139792443,152.8,152.8
33,%null%,%null%,True,True,Wisconsin,Wisconsin,8954,29062,5895908,151.86804136021118,151.9,151.9
34,%null%,%null%,True,True,California,California,59397,193491,39237836,151.37684963054537,151.4,151.4
35,%null%,%null%,True,True,District of Columbia,District of Columbia,1009,4244,670050,150.5857771808074,150.6,150.6
36,%null%,%null%,True,True,New Hampshire,New Hampshire,2090,6522,1388992,150.46882919412064,150.5,150.5
37,%null%,%null%,True,True,South Carolina,South Carolina,7790,22837,5190705,150.07595307381175,150.1,150.1
38,%null%,%null%,True,True,Vermont,Vermont,964,3233,645570,149.32540235760646,149.3,149.3
39,%null%,%null%,True,True,Illinois,Illinois,18887,60324,12671469,149.05138465003543,149.1,149.1
40,%null%,%null%,True,True,Connecticut,Connecticut,5235,17420,3605597,145.19093509341172,145.2,145.2
41,%null%,%null%,True,True,Pennsylvania,Pennsylvania,18533,59004,12964056,142.95680302522607,143.0,143.0
42,%null%,%null%,True,True,New Mexico,New Mexico,2992,8670,2115877,141.40708557255454,141.4,141.4
43,%null%,%null%,True,True,North Carolina,North Carolina,14892,47080,10551162,141.14085254306588,141.1,141.1
44,%null%,%null%,True,True,Florida,Florida,30323,91040,21781128,139.21684864071318,139.2,139.2
45,%null%,%null%,True,True,Maryland,Maryland,8496,28617,6165129,137.80733541828565,137.8,137.8
46,%null%,%null%,True,True,New York,New York,26758,87849,19835913,134.89674006938827,134.9,134.9
47,%null%,%null%,True,True,Massachusetts,Massachusetts,9105,31588,6984723,130.35592105800043,130.4,130.4
48,%null%,%null%,True,True,New Jersey,New Jersey,11768,39869,9267130,126.98645643257406,127.0,127.0
49,%null%,%null%,True,True,Rhode Island,Rhode Island,1343,4337,1095610,122.58011518697347,122.6,122.6
50,%null%,%null%,True,True,Louisiana,Louisiana,5565,16325,4624047,120.34912274896861,120.3,120.3
