,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,TRUE,Wyoming,1115,3492,43,43,-107.5,-107.5,578803,%null%,Breakdown by County (All Years),31.93,192.6389462,192.6,0.94
1,TRUE,Wisconsin,8954,29062,44.5,44.5,-90,-90,5895908,%null%,Breakdown by County (All Years),30.81,151.8680414,151.9,0.34
2,TRUE,West Virginia,3230,8618,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),37.48,181.1595219,181.2,0.82
3,TRUE,Washington,12948,40255,47.5,47.5,-120.5,-120.5,7738692,%null%,Breakdown by County (All Years),32.16,167.3150967,167.3,0.62
4,TRUE,Virginia,13666,43780,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),31.22,158.1296774,158.1,0.42
5,TRUE,Vermont,964,3233,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),29.82,149.3254024,149.3,0.24
6,TRUE,Utah,6789,21656,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),31.35,203.3867839,203.4,0.98
7,TRUE,Texas,47003,140099,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),33.55,159.1814343,159.2,0.44
8,TRUE,Tennessee,12021,34796,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),34.55,172.3386997,172.3,0.72
9,TRUE,South Dakota,1473,4486,44.5,44.5,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),32.84,164.5118922,164.5,0.58
10,TRUE,South Carolina,7790,22837,34,34,-81,-81,5190705,%null%,Breakdown by County (All Years),34.11,150.0759531,150.1,0.26
11,TRUE,Rhode Island,1343,4337,41.4966,41.5,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),30.97,122.5801152,122.6,0.02
12,TRUE,Pennsylvania,18533,59004,40.86,40.86,-77.9,-77.9,12964056,%null%,Breakdown by County (All Years),31.41,142.956803,143,0.18
13,TRUE,Oregon,7216,21734,44,44,-120.5,-120.5,4246155,%null%,Breakdown by County (All Years),33.2,169.9419828,169.9,0.68
14,TRUE,Oklahoma,7047,19911,35.5,35.5,-97.5,-97.5,3986639,%null%,Breakdown by County (All Years),35.39,176.7654408,176.8,0.76
15,TRUE,Ohio,19342,57657,40.25,40.25,-83,-83,11780017,%null%,Breakdown by County (All Years),33.55,164.1933114,164.2,0.56
16,TRUE,North Dakota,1268,3815,47.5,47.5,-100,-100,774948,%null%,Breakdown by County (All Years),33.24,163.6238819,163.6,0.52
17,TRUE,North Carolina,14892,47080,35.5,35.5,-80,-80,10551162,%null%,Breakdown by County (All Years),31.63,141.1408525,141.1,0.14
18,TRUE,New York,26758,87849,43,43,-75.49,-75.49,19835913,%null%,Breakdown by County (All Years),30.46,134.8967401,134.9,0.08
19,TRUE,New Mexico,2992,8670,34.5,34.5,-106,-106,2115877,%null%,Breakdown by County (All Years),34.51,141.4070856,141.4,0.16
20,TRUE,New Jersey,11768,39869,40.16,40.16,-74.49,-74.49,9267130,%null%,Breakdown by County (All Years),29.52,126.9864564,127,0.04
21,TRUE,New Hampshire,2090,6522,43.66,43.66,-71.49,-71.49,1388992,%null%,Breakdown by County (All Years),32.05,150.4688292,150.5,0.28
22,TRUE,Nevada,5377,15224,39.25,39.25,-116.75,-116.75,3143991,%null%,Breakdown by County (All Years),35.32,171.0246626,171,0.7
23,TRUE,Nebraska,3167,10457,41.5,41.5,-99.75,-99.75,1963692,%null%,Breakdown by County (All Years),30.29,161.2778379,161.3,0.48
24,TRUE,Montana,1835,5357,47,47,-109.75,-109.75,1104271,%null%,Breakdown by County (All Years),34.25,166.1729775,166.2,0.6
25,TRUE,Missouri,9609,28790,38.25,38.25,-92.5,-92.5,6168187,%null%,Breakdown by County (All Years),33.38,155.7832147,155.8,0.38
26,TRUE,Mississippi,4761,13585,33.503,33.5,-89.8071,-89.81,2949965,%null%,Breakdown by County (All Years),35.05,161.3917453,161.4,0.5
27,TRUE,Minnesota,8719,29703,46.25,46.25,-94.25,-94.25,5707390,%null%,Breakdown by County (All Years),29.35,152.7668514,152.8,0.36
28,TRUE,Michigan,15748,48585,43.1045,43.1,-84.6165,-84.62,10050811,%null%,Breakdown by County (All Years),32.41,156.6838736,156.7,0.4
29,TRUE,Massachusetts,9105,31588,42.3616,42.36,-72.1839,-72.18,6984723,%null%,Breakdown by County (All Years),28.82,130.3559211,130.4,0.06
30,TRUE,Maryland,8496,28617,39.4444,39.44,-77.0834,-77.08,6165129,%null%,Breakdown by County (All Years),29.69,137.8073354,137.8,0.1
31,TRUE,Maine,2251,6940,45.5,45.5,-69.24,-69.24,1372247,%null%,Breakdown by County (All Years),32.44,164.0375239,164,0.54
32,TRUE,Louisiana,5565,16325,30.6935,30.69,-92.241,-92.24,4624047,%null%,Breakdown by County (All Years),34.09,120.3491227,120.3,0
33,TRUE,Kentucky,7856,22442,37.79,37.79,-84.87,-84.87,4509394,%null%,Breakdown by County (All Years),35.01,174.2140962,174.2,0.74
34,TRUE,Kansas,4972,15034,38.5,38.5,-98.5,-98.5,2934582,%null%,Breakdown by County (All Years),33.07,169.4278776,169.4,0.66
35,TRUE,Iowa,5361,16510,42,42,-93.5,-93.5,3193079,%null%,Breakdown by County (All Years),32.47,167.8943741,167.9,0.64
36,TRUE,Indiana,13718,41197,40,40,-86.25,-86.25,6805985,%null%,Breakdown by County (All Years),33.3,201.5578935,201.6,0.96
