,Race Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(TOTAL Population)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,False,Wyoming,1115,578803,3492,43,43.00,-107.5,-107.50,%null%,192.6,192.6,0.94
1,False,Wisconsin,8954,5895908,29062,44.5,44.50,-90,-90.00,%null%,151.9,151.9,0.34
2,False,West Virginia,3230,1782959,8618,38.63,38.63,-80.73,-80.73,%null%,181.2,181.2,0.82
3,False,Washington,12948,7738692,40255,47.5,47.50,-120.5,-120.50,%null%,167.3,167.3,0.62
4,False,Virginia,13666,8642274,43780,37.77,37.77,-78.24,-78.24,%null%,158.1,158.1,0.42
5,False,Vermont,964,645570,3233,44.1584,44.16,-72.7678,-72.77,%null%,149.3,149.3,0.24
6,False,Utah,6789,3337975,21656,39.25,39.25,-111.75,-111.75,%null%,203.4,203.4,0.98
7,False,Texas,47003,29527941,140099,31.25,31.25,-99.25,-99.25,%null%,159.2,159.2,0.44
8,False,Tennessee,12021,6975218,34796,35.75,35.75,-86.25,-86.25,%null%,172.3,172.3,0.72
9,False,South Dakota,1473,895376,4486,44.5,44.50,-100.25,-100.25,%null%,164.5,164.5,0.58
10,False,South Carolina,7790,5190705,22837,34,34.00,-81,-81.00,%null%,150.1,150.1,0.26
11,False,Rhode Island,1343,1095610,4337,41.4966,41.50,-71.4757,-71.48,%null%,122.6,122.6,0.02
12,False,Pennsylvania,18533,12964056,59004,40.86,40.86,-77.9,-77.90,%null%,143.0,143.0,0.18
13,False,Oregon,7216,4246155,21734,44,44.00,-120.5,-120.50,%null%,169.9,169.9,0.68
14,False,Oklahoma,7047,3986639,19911,35.5,35.50,-97.5,-97.50,%null%,176.8,176.8,0.76
15,False,Ohio,19342,11780017,57657,40.25,40.25,-83,-83.00,%null%,164.2,164.2,0.56
16,False,North Dakota,1268,774948,3815,47.5,47.50,-100,-100.00,%null%,163.6,163.6,0.52
17,False,North Carolina,14892,10551162,47080,35.5,35.50,-80,-80.00,%null%,141.1,141.1,0.14
18,False,New York,26758,19835913,87849,43,43.00,-75.49,-75.49,%null%,134.9,134.9,0.08
19,False,New Mexico,2992,2115877,8670,34.5,34.50,-106,-106.00,%null%,141.4,141.4,0.16
20,False,New Jersey,11768,9267130,39869,40.16,40.16,-74.49,-74.49,%null%,127.0,127.0,0.04
21,False,New Hampshire,2090,1388992,6522,43.66,43.66,-71.49,-71.49,%null%,150.5,150.5,0.28
22,False,Nevada,5377,3143991,15224,39.25,39.25,-116.75,-116.75,%null%,171.0,171.0,0.7
23,False,Nebraska,3167,1963692,10457,41.5,41.50,-99.75,-99.75,%null%,161.3,161.3,0.48
24,False,Montana,1835,1104271,5357,47,47.00,-109.75,-109.75,%null%,166.2,166.2,0.6
25,False,Missouri,9609,6168187,28790,38.25,38.25,-92.5,-92.50,%null%,155.8,155.8,0.38
26,False,Mississippi,4761,2949965,13585,33.503,33.50,-89.8071,-89.81,%null%,161.4,161.4,0.5
27,False,Minnesota,8719,5707390,29703,46.25,46.25,-94.25,-94.25,%null%,152.8,152.8,0.36
28,False,Michigan,15748,10050811,48585,43.1045,43.10,-84.6165,-84.62,%null%,156.7,156.7,0.4
29,False,Massachusetts,9105,6984723,31588,42.3616,42.36,-72.1839,-72.18,%null%,130.4,130.4,0.06
30,False,Maryland,8496,6165129,28617,39.4444,39.44,-77.0834,-77.08,%null%,137.8,137.8,0.1
