Site Name,Site Address,Site City,Site State,Site Zip Code,County
ALAKANUK CLINIC,General Delivery,Alakanuk,AK,99554-9999,Kusilvak
ANIAK SUB-REGIONAL CLINIC,Morgan Rd,Aniak,AK,99557,Bethel
ANVIK CLINIC,General Delivery,Anvik,AK,99558-9999,Yukon-Koyukuk
CHEFORNAK CLINIC,General Delivery,Chefornak,AK,99561-9999,Bethel
CHEVAK CLINIC,General Delivery,Chevak,AK,99563-9999,Kusilvak
CHUATHBALUK CLINIC,General Delivery,Chuathbaluk,AK,99557-9999,Bethel
CROOKED CREEK CLINIC,General Delivery,Crooked Creek,AK,99575-9999,Bethel
EMMONAK SUB-REGIONAL CLINIC,246 Kwiguk St,Emmonak,AK,99581-0010,Kusilvak
Georgetown Clinic,#1 Clinic Road,Georgetown,AK,99501,Bethel
GRAYLING CLINIC,# 1 CLINIC ROAD GENERAL DELIV.,Grayling,AK,99590,Yukon-Koyukuk
HOLY CROSS CLINIC,General Delivery,Holy Cross,AK,99602-9999,Yukon-Koyukuk
HOOPER BAY SUB-REGIONAL CLINIC,Airport Rd,Hooper Bay,AK,99604,Kusilvak
KOTLIK CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Kotlik,AK,99620,Kusilvak
LIME VILLIAGE CLINIC,#1 CLINIC ROAD GENERAL DELIVE.,Mc Grath,AK,99627,Yukon-Koyukuk
LOWER KALSKAG CLINIC,#1 CLINIC ROAD GENERAL DELV.,Lower Kalskag,AK,99626,Bethel
MARSHAL CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Marshall,AK,99585,Kusilvak
MEKORYUK CLINIC,General Delivery,Mekoryuk,AK,99630-9999,Bethel
MOUNTAIN VILLAGE CLINIC,#1 CLINIC ROAD,Mountain Village,AK,99632,Kusilvak
Napaimute Clinic,#1 CLINIC ROAD,Mountain Village,AK,99632,Kusilvak
Newtok Clinic,#1 Clinic Road,Bethel,AK,99559,Bethel
NIGHTMUTE CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Nightmute,AK,99690,Bethel
PILOT STATION CLINIC,#1 Clinic Road,Pilot Station,AK,99650,Kusilvak
PITKA'S POINT CLINIC,#1 PITKA POINT CLINIC,Saint Marys,AK,99658,Kusilvak
Red Devil Clinic,#1 Clinic Road,Red Devil,AK,99656,Bethel
Russian Mission clinic,#1 Clinic Road,Russian Mission,AK,99657,Kusilvak
SCAMMON BAY CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Scammon Bay,AK,99662,Kusilvak
SHAGELUK CLINIC,General Delivery,Shageluk,AK,99665-9999,Yukon-Koyukuk
SHELDON POINT NUNAM IQUA CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Nunam Iqua,AK,99666,Kusilvak
SLEETMUTE CLINIC,#1 CLINC ROAD GENERAL DELIV.,Sleetmute,AK,99668,Bethel
ST MARY'S SUB-REGIONAL CLINIC,290 High School Lane,Saint Marys,AK,99658,Kusilvak
STONY RIVER CLINIC,#1 CLINIC ROAD GENERAL DELV.,Aniak,AK,99557,Bethel
TOOKSOOK BAY SUB-REGIONAL CLINIC,Airport Rd,Toksook Bay,AK,99637,Bethel
Tununak Clinic,#1 Clinic Road,Tununak,AK,99681,Bethel
UPPER KALSKAG CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Kalskag,AK,99607,Bethel
YUKON-KUSKOKWIM HEALTH CORPORATION,Eddie Hoffman Hwy,Bethel,AK,99559,Bethel
ANIKKAN INUIT ILLUAGUTAAT CLINIC,PO BOX 189,Unalakleet,AK,99684-0189,Nome
BESSIE KANINGOK HEALTH CLINIC,123 Maz Way,Gambell,AK,99742,Nome
BREVIG MISSION CLINIC,PO BOX 85058,Brevig Mission,AK,99785-0058,Nome
ELIM CLINIC,#1 Clinic Rd,Elim,AK,99739,Nome
IRENE AUKONGAK DAGUMAAQ HC,Punguk St,Nome,AK,99762,Nome
KATHERINE MIKSRUAQ OLANNA MEMORIAL HC,3066 Lagoonview,Shishmaref,AK,NaN,Nome
KOYUK CLINIC,101 MAIN ST,Koyuk,AK,99753,Nome
LITTLE DIOMEDE CLINIC,#1 CLINIC RD,Nome,AK,99762,Nome
NATCHIRSVIK HEALTH CLINIC,2 SCOW JOHN RD,White Mountain,AK,99784,Nome
Norton Sound Health Corporation Family Medical...,Greg Kruschek Ave,Nome,AK,99762,Nome
SAVOONGA CLINIC,# 1 CLINIC RD,Savoonga,AK,99769,Nome
SHAKTOOLIK CLINIC,MAIN BUSINESS CENTER ST,Shaktoolik,AK,99771,Nome
ST. MICHAEL CLINIC,101 Main Street,Saint Michael,AK,99659,Nome
STEBBINS CLINIC,101 Main Street,Stebbins,AK,99671,Nome
TELLER CLINIC,General Delivery,Teller,AK,99778-9999,Nome
TOBY ANUNGAZUK SR. MEMORIAL HC,WALES CLINIC #1 CLINIC RD,Wales,AK,99783,Nome
Little Diomede Clinic,NaN,Nome,AK,99762,Nome
INTERIOR COMMUNITY HEALTH CENTER,1606 23rd Ave,Fairbanks,AK,99701-6407,Fairbanks North Star
INTERIOR COMMUNITY HEALTH CENTER,USIBELLI SPUR ROAD,Healy,AK,99743,Denali
New Halen Health Clinic,Newhalen Rd,Iliamna,AK,99606,Lake and Peninsula
Samuel Simmonds Memorial Hospital,7000 Uula St,Barrow,AK,99723,North Slope
Wainwright Health Clinic,1235 Airport Rd,Wainwright,AK,99782,North Slope
Nuiqsut Health Clinic,413 Nigliq St,Nuiqsut,AK,99789,North Slope
Point Lay Village Clinic,NaN,Point Lay,AK,99759,North Slope
Atqasuk Health Clinic,4002 Qalgaq Street,Atqasuk,AK,99791,North Slope
Yukon-Kuskokwim-Delta Regional Hospital,Eddie Hoffman Hwy,Bethel,AK,99559,Bethel
