Site Name,Site Address,Site City,Site State,Site Zip Code,County
ANNISTON QUALITY HEALTH CARE,1316 Noble St,Anniston,AL,36201-4643,Calhoun
BLOUNT COUNTY QUALITY HEALTH CARE,1000 Lincoln Ave,Oneonta,AL,35121-2537,Blount
Calhoun Quality Health Care,601 Leighton Ave,Anniston,AL,36207-5743,Calhoun
Canterberry Family Practice,502 N 27th St,Gadsden,AL,35904-1580,Etowah
Chambers Quality Health Care,34 Veterans Memorial Pkwy,Lanett,AL,36863-2840,Chambers
Cherokee Quality Health Care,4055 Al Highway 9,Cedar Bluff,AL,35959-5099,Cherokee
Cherokee Quality Health Center,3330 Cedar Bluff Rd,Centre,AL,35960-2528,Cherokee
Clay Quality Health Care,40745 Highway 77,Ashland,AL,36251-4807,Clay
Cleburne Quality Health Care,64 Giles St,Heflin,AL,36264-1738,Cleburne
CULLMAN QUALITY HEALTH CARE,2016 Main Ave SW,Cullman,AL,35055-5239,Cullman
Dekalb Quality Health Care,12062 Al Highway 227,Geraldine,AL,35974-3562,DeKalb
Douglas Medical Center,8225 Al Highway 75,Horton,AL,35980-8473,Marshall
Gadsden Family and Student Health Solutions,1216 Wilbanks Ave,Gadsden,AL,35903-2024,Etowah
J.W. STEWART NEIGHBORHOOD HEALTH CENTER,1409 Springfield Ave,Gadsden,AL,35903-2819,Etowah
PROCARE - COLLEY HOMES,420 N 6th St,Gadsden,AL,35901-3244,Etowah
Quality Health Express,1411 Piedmont Cutoff,Gadsden,AL,35903-2708,Etowah
Quality Health Express II,1411 Piedmont Cutoff,Gadsden,AL,35903-2708,Etowah
Quality of Life Health Complex ,1411 Piedmont Cutoff,Gadsden,AL,35903-2708,Etowah
ROBERTA O. WATTS MEDICAL CENTER,1020 Tuscaloosa Ave,Gadsden,AL,35901-3005,Etowah
SARDIS CITY MEDICAL CENTER,1989 Sardis Dr,Boaz,AL,35956-2344,Etowah
Susie E. Allen Health Center,1502 11th Ave,Phenix City,AL,36867-4905,Russell
TALLADEGA QUALITY HEALTH CARE,110 Spring St N,Talladega,AL,35160-2040,Talladega
Tuskegee Quality Health Care,1201 Notasulga Rd,Tuskegee,AL,36083-7131,Macon
W. T. SCRUGGS MEDICAL CENTER,4350 Cleveland Ave,Altoona,AL,35952,Etowah
Wadley Cornerstone Clinic,203 Tallapoosa St,Wadley,AL,36276-4215,Randolph
Autaugaville Family Health Center,203 N Taylor St,Autaugaville,AL,36003-2663,Autauga
Bellingrath School Based Health Center,3550 S Court St,Montgomery,AL,36105-2102,Montgomery
Chisholm Family Health Center,100 E Vandiver Blvd,Montgomery,AL,36110-1812,Montgomery
Clanton Family Health Center,107 Medical Center Dr,Clanton,AL,35045-2331,Chilton
Eclectic Family Health Center,30 Main St,Eclectic,AL,36024-5614,Elmore
Gateway Family Health Center,2905 E South Blvd,Montgomery,AL,36116-2501,Montgomery
Hayneville Family Health Center,511 E Tuskeena St,Hayneville,AL,36040-2666,Lowndes
"Health Services, Inc. Community Outreach Unit",3058 Mobile Hwy,Montgomery,AL,36108-4027,Montgomery
"Health Services, Inc. Montgomery Community Res...",2905 E South Blvd,Montgomery,AL,36116-2501,Montgomery
Highland Gardens School Based Health Center,2801 Willena Ave,Montgomery,AL,36107-1055,Montgomery
Montevallo Family Health Center,33 Salem Rd STE 2,Montevallo,AL,35115-3586,Shelby
Montgomery East Family Health Center,309 Saint Lukes Dr,Montgomery,AL,36117-7109,Montgomery
Montgomery Primary Healthcare Center,3058 Mobile Hwy,Montgomery,AL,36108-4027,Montgomery
Ramer Family Health Center,5422 State Highway 94,Ramer,AL,36069-5008,Montgomery
River Region Health Center,1845 Cherry St,Montgomery,AL,36107-2613,Montgomery
River Region Mobile Unit,1845 Cherry St,Montgomery,AL,36107-2613,Montgomery
RHMPI Selma Mobile Unit Health Center,101 Park Pl,Selma,AL,36701-6764,Dallas
"Rural Health Medical Program, Inc - Selma Heal...",101 Park Pl,Selma,AL,36701-6764,Dallas
"Rural Health Medical Program, Inc. - Dallas Co...",228 Selma Ave,Selma,AL,36701-5825,Dallas
"Rural Health Medical Program, Inc. - Demopolis...",1502 US Highway 80 E,Demopolis,AL,36732-2200,Marengo
"Rural Health Medical Program, Inc. - Marion He...",1310 Washington St,Marion,AL,36756-3218,Perry
"Rural Health Medical Program, Inc. - Monroevil...",3040 S Alabama Ave,Monroeville,AL,36460-5600,Monroe
"Rural Health Medical Program, Inc. - Pine Appl...",867 County Road 59,Pine Apple,AL,36768-3525,Wilcox
"Rural Health Medical Program, Inc. - Thomaston...",111 Main St,Thomaston,AL,36783-3137,Marengo
"Rural Health Medical Program, Inc. - Thomasvil...",411 Wilson Ave W,Thomasville,AL,36784-2015,Clarke
"Rural Health Medical Program, Inc. - Yellow Bl...",2210 Highway 221,Camden,AL,36726-4233,Wilcox
Uniontown Health Center,330 Old Hamburg Rd,Uniontown,AL,36786-2614,Perry
Capstone Rural Health - Temporary Administrati...,312 18th St W,Jasper,AL,35501-5318,Walker
Capstone Rural Health Center,5947 Highway 269,Parrish,AL,35580-3847,Walker
Capstone Viking Health,1501 Viking Dr,Jasper,AL,35501-4942,Walker
Capstone-Double Springs,25734 Highway 195,Double Springs,AL,35553-2308,Winston
Capstone-Nauvoo,156 3rd Ave,Nauvoo,AL,35578-3238,Walker
Capstone-Summit,1351 Summitt,Jasper,AL,35501-0114,Walker
Capstone-West Jasper,1400 19th St W,Jasper,AL,35501-5171,Walker
Cahaba Community Center,195 Hospital Dr,Centreville,AL,35042-2935,Bibb
Cahaba Medical Care - Ability Clinic,200 Oslo Cir,Birmingham,AL,35211,Jefferson
Cahaba Medical Care - Alabaster,1010 1st St N STE 350,Alabaster,AL,35007-8619,Shelby
Cahaba Medical Care - Bessemer,"975 9th Ave SW, Ste 310",Bessemer,AL,35022-7839,Jefferson
Cahaba Medical Care - Birmingham Dental Office,623 8th Ave W,Birmingham,AL,35204-3604,Jefferson
Cahaba Medical Care - Birmingham Southern,900 Arkadelphia Rd,Birmingham,AL,35254,Jefferson
Cahaba Medical Care - Brent Aministration,2334 Main St,Brent,AL,35034-4019,Bibb
Cahaba Medical Care - Brent Elementary School,160 4th St,Brent,AL,35034-3739,Bibb
Cahaba Medical Care - Camden,321 Whiskey Run Rd,Camden,AL,36726-2303,Wilcox
Cahaba Medical Care - Centreville Administrati...,281 Alexander Ave,Centreville,AL,35042-2953,Bibb
Cahaba Medical Care - Centreville Dental Office,260 Walnut St,Centreville,AL,35042-2332,Bibb
Cahaba Medical Care - Centreville Office,405 Belcher St,Centreville,AL,35042-2946,Bibb
Cahaba Medical Care - CJ Donald Elementary,715 Valley Rd,Fairfield,AL,35064-2666,Jefferson
Cahaba Medical Care - Ensley Office,1925 Avenue E,Birmingham,AL,35218-1619,Jefferson
Cahaba Medical Care - Fairfield,6900 Grasselli Rd,Fairfield,AL,35064-2423,Jefferson
Cahaba Medical Care - Glen Oaks Elementary,1301 Highland Dr,Fairfield,AL,35064-1643,Jefferson
Cahaba Medical Care - Hemphill Elementary,714 12th St SW,Birmingham,AL,35211-1982,Jefferson
Cahaba Medical Care - Hope Health,4614 Carnegie Ave,Fairfield,AL,35064-1430,Jefferson
Cahaba Medical Care - IT Department,165 Montevallo Rd,Centreville,AL,35042-2221,Bibb
Cahaba Medical Care - Maplesville Office,9431 AL-22,Maplesville,AL,36750-3264,Chilton
Cahaba Medical Care - Marion Office,1303 Washington St,Marion,AL,36756-3217,Perry
Cahaba Medical Care - Princeton,"801 Princeton Ave SW, Ste 505",Birmingham,AL,35211-1308,Jefferson
Cahaba Medical Care - Robinson Elementary,301 61st St,Fairfield,AL,35064-1900,Jefferson
Cahaba Medical Care - Training Center,155 Birmingham Rd Ste 110,Centreville,AL,35042-2949,Bibb
Cahaba Medical Care - West Blocton,319 Magnolia St,West Blocton,AL,35184-2378,Bibb
Cahaba Medical Care - West Blocton Elementary ...,828 Cahaba River Dr,West Blocton,AL,35184,Bibb
Cahaba Medical Care - West End Office,1308 Tuscaloosa Ave SW,Birmingham,AL,35211-1948,Jefferson
Cahaba Medical Care - Woodland Park,873 Dennison Ave SW STE 102,Birmingham,AL,35211-3867,Jefferson
Cahaba Medical Care - Woodstock Office,28921 Highway 5,Woodstock,AL,35188-3613,Bibb
Cahaba Medical Care – Brent,1984 Main St,Brent,AL,35034-3503,Bibb
CMC Early Learning,217 Quail Ln,Centreville,AL,35042-4688,Bibb
"Familly Health Care Clinic, Inc.--Muscle Shoals",102 Physicians Dr STE B,Muscle Shoals,AL,35661-2149,Colbert
Family Health Care Clinic --Bude Head Start,262 Pine St N,Bude,MS,39630-8000,Franklin
"Family Health Care Clinic, Bogue Chitto--Head ...",2506 Highway 51 SE,Bogue Chitto,MS,39629-5183,Lincoln
"Family Health Care Clinic, Brookhaven",215 Highway 51 S,Brookhaven,MS,39601-3245,Lincoln
"Family Health Care Clinic, Calhoun City--Head ...",125 Carter Dr,Calhoun City,MS,38916-7028,Calhoun
"Family Health Care Clinic, Columbia--Head Start",431 Old Highway 13 S,Columbia,MS,39429-8364,Marion
"Family Health Care Clinic, Duckhill--Head Start",620 Carrollton St,Duck Hill,MS,38925-9416,Montgomery
"Family Health Care Clinic, Grenada--Head Start",1102 Telegraph St,Grenada,MS,38901-2838,Grenada
"Family Health Care Clinic, Inc.  --Rogersville",16410 Highway 72,Rogersville,AL,35652-8117,Lauderdale
"Family Health Care Clinic, Inc. -- Water Valley",102 Blackmur Dr,Water Valley,MS,38965-3003,Yalobusha
"Family Health Care Clinic, Inc. --Brandon",1551 W Government St,Brandon,MS,39042-2408,Rankin
"Family Health Care Clinic, Inc. --Florence",216 Marengo St STE A,Florence,AL,35630-6034,Lauderdale
"Family Health Care Clinic, Inc. --Meadville",445 Main St E,Meadville,MS,39653-9293,Franklin
"Family Health Care Clinic, Inc. --MENDENHALL",401 Main St N,Mendenhall,MS,39114-3303,Simpson
"Family Health Care Clinic, Inc. --MONTICELLO",430 W Broad St,Monticello,MS,39654-7723,Lawrence
"Family Health Care Clinic, Inc. --PEARL",4635 Highway 80 E,Pearl,MS,39208-4226,Rankin
"Family Health Care Clinic, Inc. --Raleigh",226 White Oak Ave,Raleigh,MS,39153-1219,Smith
"Family Health Care Clinic, Inc. --Russellville",318 Coffee Ave NE,Russellville,AL,35653-2331,Franklin
"Family Health Care Clinic, Inc. --Town Creek",1841 Al Highway 20,Town Creek,AL,35672-2500,Lawrence
"Family Health Care Clinic, Inc. --Tylertown",113 Enochs St,Tylertown,MS,39667-2711,Walthall
"Family Health Care Clinic, Inc. --Woodville",1495 US Highway 61 S,Woodville,MS,39669-3562,Wilkinson
"Family Health Care Clinic, Inc. -Mobile unit1",4635 Highway 80 E,Pearl,MS,39208-4226,Rankin
"Family Health Care Clinic, Inc. -Mobile unit2",4635 Highway 80 E,Pearl,MS,39208-4226,Rankin
"Family Health Care Clinic, Inc. -Mobile unit3",4635 Highway 80 E,Pearl,MS,39208-4226,Rankin
"Family Health Care Clinic, Inc., --Bogalusa",609 Superior Ave,Bogalusa,LA,70427-2630,Washington
"Family Health Care Clinic, Inc., --Columbia",628 Main St,Columbia,MS,39429-2936,Marion
