Site Name,Site Address,Site City,Site State,Site Zip Code,County
CF Delta Regional Unit,800 E Gaines St,Dermott,AR,71638,Chicot
CF Tucker Maximum Security Unit,2501 State Farm Rd,Tucker,AR,72168-9567,Jefferson
CF Wrightsville Unit,8400 Highway 386,Little Rock,AR,72206-8998,Pulaski
CF Cummins Unit,2540 State Highway 388,Gould,AR,71643-9634,Lincoln
CF-Ouachita River Unit,100 Walco Ln,Malvern,AR,72104-6793,Hot Spring
CF McPherson Correctional Unit,302 Corrections Dr,Newport,AR,72112-8008,Jackson
CF Tucker Unit,2400 State Farm Rd,Tucker,AR,72168-9503,Jefferson
Pine Bluff Unit,890 Free Line Dr,Pine Bluff,AR,71603-1495,Jefferson
Barbara Ester Unit,7500 Correction Cir,Pine Bluff,AR,71603-1496,Jefferson
CF Grimes Correctional Unit,300 Corrections Dr,Newport,AR,72112-8008,Jackson
CF North Central Unit,10 Prison Cir,Calico Rock,AR,72519-9054,Izard
CF East Arkansas Regional Unit,601 Lee 326 Rd,Marianna,AR,72360,Lee
CF Varner Supermax Unit,320 State Highway 388,Gould,AR,71643-9635,Lincoln
MCHC-Gould,407 S Gould Ave,Gould,AR,71643-5041,Lincoln
ARcare - 028,2000 Harrison St STE D,Batesville,AR,72501-7444,Independence
ARcare - 054,900 N Main St,Searcy,AR,72143-3712,White
ARcare - 10,400 Highway 64 E,Augusta,AR,72006,Woodruff
ARcare - 102,11520 Sr 27,Hector,AR,72843-8710,Pope
ARcare - 135,145 N Curtis Ave,Pea Ridge,AR,72751-3407,Benton
ARcare - 136,3057 Springdale Ave,Springdale,AR,72762-4346,Washington
ARcare - 138,500 S University Ave STE 316,Little Rock,AR,72205-5342,Pulaski
ARcare - 141,5510 Southwest Dr STE 12,Jonesboro,AR,72404-8353,Craighead
ARcare - 142,1301 W Center St,Beebe,AR,72012-3105,White
ARcare - 18,227 Pine Bluff Hwy,England,AR,72046-2234,Lonoke
ARcare - 20,125 Oak St,Cotton Plant,AR,72036-5089,Woodruff
