Site Name,Site Address,Site City,Site State,Site Zip Code,County
Immigration and Customs Enforcement - Florence,3250 N Pinal Pkwy,Florence,AZ,85132-9459,Pinal
Immigration and Customs Enforcement - Eloy,1705 E Hanna Rd,Eloy,AZ,85131-9612,Pinal
ICE - Florence Correctional Center,1100 N Bowling Rd,Florence,AZ,85132,Pinal
FCC - Tucson,9300 S Wilmot Rd,Tucson,AZ,85756-9706,Pima
FCI - Safford,1529 W State Route 366,Safford,AZ,85546-7732,Graham
TRI-VALLEY MEDICAL CENTER,39726 Harquahala Rd,Salome,AZ,85348,La Paz
WHITE MTN APACHE HEADSTART,311 N 1st Ave,Whiteriver,AZ,85941,Navajo
COTTONWOOD,51 S Brian Mickelsen Pkwy,Cottonwood,AZ,86326-3610,Yavapai
PRESCOTT,1090 Commerce Drive,Prescott,AZ,86305-3700,Yavapai
PRESCOTT VALLEY,3212 N Windsong Dr,Prescott Valley,AZ,86314-2255,Yavapai
Adelante Healthcare,3033 North Central Avenue,Phoenix,AZ,85012,Maricopa
Adelante Healthcare - MMU 1,13471 West Cornerstone Boulevard,Goodyear,AZ,85395,Maricopa
Adelante Healthcare Buckeye,306 E Monroe Ave,Buckeye,AZ,85326-2706,Maricopa
Adelante Healthcare Central Phoenix,500 West Thomas Road,Phoenix,AZ,85013,Maricopa
Adelante Healthcare Gila Bend,100 N Gila Blvd,Gila Bend,AZ,85337-1016,Maricopa
Adelante Healthcare Goodyear,13471 West Cornerstone Boulevard,Goodyear,AZ,85395,Maricopa
Adelante Healthcare Mesa,1705 W Main St,Mesa,AZ,85201-6920,Maricopa
Adelante Healthcare Peoria,"15525 North 83rd Avenue, #104",Peoria,AZ,85382,Maricopa
Adelante Healthcare Surprise,15351 West Bell Road,Surprise,AZ,85374,Maricopa
Adelante Healthcare Surprise Behavioral Health,15317 W Bell Rd STE 106,Surprise,AZ,85374-3901,Maricopa
Adelante Healthcare Surprise Dental Office,15317 W Bell Rd STE 108,Surprise,AZ,85374-3901,Maricopa
Adelante Healthcare Surprise Same Day Clinic,"15317 W Bell Rd, Ste 100",Surprise,AZ,85374-3900,Maricopa
Adelante Healthcare West Phoenix,9610 N Metro Pkwy W,Phoenix,AZ,85051-1402,Maricopa
Adelante Healthcare Wickenburg,"811 N Tegner St, Ste 113",Wickenburg,AZ,85390-5410,Maricopa
Canyonlands Healthcare - Administration,827 Vista Ave,Page,AZ,86040-7501,Coconino
Canyonlands Healthcare - Beaver Dam,3272 E Rio Virgin Rd,Littlefield,AZ,86432-3200,Mohave
Canyonlands Healthcare - Chilchinbeto,Chilchinbeto Chapter House Complex,Kayenta,AZ,86033,Navajo
Canyonlands Healthcare - Clifton,10A Ward Canyon Rd,Clifton,AZ,85533-8233,Greenlee
Canyonlands Healthcare - Duncan,227 Main St,Duncan,AZ,85534-9701,Greenlee
