Site Name,Site Address,Site City,Site State,Site Zip Code,County
ICE-Otay Mesa Detention Center/San Diego,7488 Calzada De La Fuente,San Diego,CA,92154-2717,San Diego
FCI - Herlong,741-925 Herlong Access Rd,Herlong,CA,96113,Lassen
FCI - Mendota,33500 W California Ave,Mendota,CA,93640-9703,Fresno
FCI - Dublin,5701 8th St,Dublin,CA,94568-3305,Alameda
FCI - Terminal Island,1299 S Seaside Ave,San Pedro,CA,90731-7359,Los Angeles
MDC - Los Angeles,535 N Alameda St,Los Angeles,CA,90012-3405,Los Angeles
Angeles Community Health Center - Bell,4750 Gage Ave,Bell Gardens,CA,90201-1351,Los Angeles
Angeles Community Health Center - Huntington Park,6208 Seville Ave,Huntington Park,CA,90255-2913,Los Angeles
Angeles Community Health Center - Huntington P...,6212 Seville Ave,Huntington Park,CA,90255-2913,Los Angeles
Angeles Community Health Center – Maywood School,5800 King Ave,Maywood,CA,90270-2928,Los Angeles
Angeles Community Health Center – Mobile Unit,6208 Seville Ave,Huntington Park,CA,90255-2913,Los Angeles
MEE MEMORIAL HOSPITAL MEDICAL CLINIC,467 El Camino Real,Greenfield,CA,93927-4915,Monterey
MEE MEMORIAL HOSPITAL MEDICAL CLINIC,210 Canal St,King City,CA,93930-3432,Monterey
Cameron Park Health Center,3104 Ponte Morino Dr STE 110,Cameron Park,CA,95682-8282,El Dorado
EDCHC Mobile Medical Unit,4212 Missouri Flat Rd,Placerville,CA,95667-6269,El Dorado
El Dorado Community Health Center - Cameron Pa...,3108 Ponte Morino Dr STE 122,Cameron Park,CA,95682-8278,El Dorado
El Dorado Community Health Center - Placerville,4212 Missouri Flat Rd BLDG,Placerville,CA,95667-6269,El Dorado
El Dorado Community Health Center Cameron Park...,3100 Ponte Morino Dr STE 120,Cameron Park,CA,95682-7450,El Dorado
Shingle Springs Tribal Health Program,5168 Honpie Rd,Placerville,CA,95667,El Dorado
Bell Gardens Family Medical Center,6501 Garfield Ave,Bell Gardens,CA,90201-1805,Los Angeles
Bell Gardens High School - School Based Health...,6119 Agra St,Bell Gardens,CA,90201-1705,Los Angeles
Family Health Care Centers of Greater Los Ange...,6513 Garfield Ave,Bell Gardens,CA,90201-1805,Los Angeles
FHCCGLA Commerce Family Medical Center,6001 E Washington Blvd,Commerce,CA,90040-2451,Los Angeles
FHCCGLA Downey Family  Medical Center,12113 Woodruff Ave,Downey,CA,90241-5605,Los Angeles
Hawaiian Gardens Health Center,22310 Wardham Ave,Hawaiian Gardens,CA,90716-1740,Los Angeles
Families Together of Orange County,661 W 1st St STE G,Tustin,CA,92780-2939,Orange
Families Together of Orange County,661 W 1st St STE A,Tustin,CA,92780-2939,Orange
Families Together of Orange County - Fountain ...,11180 Warner Ave STE 351-371,Fountain Valley,CA,92708-7501,Orange
Families Together of Orange County - Garden Grove,9918 Katella Ave STE A,Anaheim,CA,92804-6466,Orange
Families Together of Orange County - Mobile De...,661 W 1st St STE G-1,Tustin,CA,92780-2939,Orange
Families Together of Orange County-Mobile Clinic,661 W 1st St STE G,Tustin,CA,92780-2939,Orange
Families Together of Orange County-Wellness Ce...,621 W 1st St,Tustin,CA,92780-2950,Orange
ADVENTIST HEALTH REEDLEY,1212 Hanna Ave,Corcoran,CA,93212-2313,Kings
EXCELSIOR CLINIC,4434 Mission St,San Francisco,CA,94112-1927,San Francisco
John O&#39;Connell High School Clinic,2355 Folsom St RM S106A,San Francisco,CA,94110-2010,San Francisco
Mission Bernal Adult Clinic,1580 Valencia St STE 506,San Francisco,CA,94110-4418,San Francisco
Mission Bernal Pediatric After Hours Clinic,1580 Valencia St STE 702,San Francisco,CA,94110-4415,San Francisco
Mission Bernal Pediatric Clinic,1580 Valencia St STE 701,San Francisco,CA,94110-4421,San Francisco
