Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCI - Englewood,9595 W Quincy Ave,Littleton,CO,80123-1159,Jefferson
Abraham Lincoln Campus,2285 S Federal Blvd,Denver,CO,80219-5433,Denver
Adult Dental and OMFS Clinic,660 Bannock St STE 7770,Denver,CO,80204-4506,Denver
Adult Urgent Care Clinic,660 Bannock St STE 1057,Denver,CO,80204-4506,Denver
Bruce Randolph Campus,3955 N Steele St,Denver,CO,80205-3613,Denver
Denver Health and Hosptials,601 N Broadway,Denver,CO,80203-3407,Denver
Denver Health Primary Care Center,660 Bannock St STE 7144,Denver,CO,80204-4506,Denver
Dermatology Clinic and Endocrinology Clinic,660 Bannock St STE 5135,Denver,CO,80204-4506,Denver
East High School-Based Health Center,1600 City Park Esplanade,Denver,CO,80206-1429,Denver
Eastside Family Health Center,501 28th St,Denver,CO,80205-3003,Denver
Evie Garrett Dennis Campus,4800 Telluride St,Denver,CO,80249-6803,Denver
Federico F. Pena Family Health Center,1339 S Federal Blvd,Denver,CO,80219-4235,Denver
Florence Crittenton Campus,55 S Zuni St,Denver,CO,80223-1208,Denver
George Washington Campus School-Based Health C...,655 S Monaco Pkwy Ste 108,Denver,CO,80224-1228,Denver
John F. Kennedy High School,2855 S Lamar St,Denver,CO,80227-3809,Denver
Kepner Campus,911 S Hazel Ct,Denver,CO,80219-3418,Denver
Kunsmiller Creative Arts Academy,2250 S Quitman Way,Denver,CO,80219-5139,Denver
La Casa Quigg Newton Family Health Center,4545 Navajo St,Denver,CO,80211-2440,Denver
Lake Campus,1820 Lowell Blvd,Denver,CO,80204-1549,Denver
Lowry Family Health Center,1001 Yosemite St,Denver,CO,80230-6003,Denver
Manual Campus,1700 E 28th Ave,Denver,CO,80205-4502,Denver
Martin Luther King Junior Early College Campus,19535 E 46th Ave,Denver,CO,80249-6637,Denver
Mobile Health Center 2,777 Bannock St,Denver,CO,80204-4507,Denver
Mobile Health Center 3,777 Bannock St,Denver,CO,80204-4507,Denver
Mobile Health Clinic 1,777 Bannock St,Denver,CO,80204-4507,Denver
Montbello Campus,5000 Crown Blvd,Denver,CO,80239-4378,Denver
Montbello Family Health Center,12600 Albrook Dr,Denver,CO,80239-4604,Denver
North Campus,2960 N Speer Blvd,Denver,CO,80211-3795,Denver
Park Hill Family Health Center,4995 E 33rd Ave,Denver,CO,80207-1902,Denver
Pediatric Emergency Department and Urgent Care,777 Bannock St Ste 1364,Denver,CO,80204-4507,Denver
Place Bridge Academy,7125 Cherry Creek North Dr,Denver,CO,80224-2044,Denver
Primary Care Clinic at WellPower,4455 E 12th Ave,Denver,CO,80220-2415,Denver
Rachel B. Noel Campus,5290 Kittredge St,Denver,CO,80239-5628,Denver
Rose Andom Health Center,1330 Fox St,Denver,CO,80204-2602,Denver
Safe Center,405 S Platte River Dr,Denver,CO,80223-2069,Denver
Sloan's Lake Primary Care Center,4007 W Colfax Ave,Denver,CO,80204-1404,Denver
South High School,1700 E Louisiana Ave,Denver,CO,80210-1810,Denver
Thomas Jefferson High School,3950 S Holly St,Denver,CO,80237-1117,Denver
Wellington E. Webb Center for Primary Care,301 W 6th Ave,Denver,CO,80204-5182,Denver
West Campus,951 Elati St,Denver,CO,80204-3939,Denver
Westside Family Health Center,1100 Federal Blvd,Denver,CO,80204-3219,Denver
Westwood Family Health Center,4320 W Alaska Pl,Denver,CO,80219-2454,Denver
Women&#39;s Care Clinic,777 Bannock St STE 1179,Denver,CO,80204-4507,Denver
STRIDE CHC - Conifer,11030 Kitty Dr RM 1,Conifer,CO,80433-7767,Jefferson
STRIDE CHC - Horizon Community Middle School,3981 S Reservoir Rd UNIT A,Aurora,CO,80013-3804,Arapahoe
STRIDE CHC - Horizon Community Middle School,3981 S Reservoir Rd,Aurora,CO,80013-3804,Arapahoe
STRIDE CHC - Mobile Health Unit #2,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,Jefferson
STRIDE CHC - Mobile Health Unit #3,3515 S Delaware St,Englewood,CO,80110-3529,Arapahoe
STRIDE CHC - Overland High School,12400 E Jewell Ave UNIT A,Aurora,CO,80012-5324,Arapahoe
STRIDE CHC –  Mobile Health Care Unit,11005 Ralston Rd,Arvada,CO,80004-4551,Jefferson
STRIDE CHC – Administration,2255 S Oneida St,Denver,CO,80224-2522,Denver
STRIDE CHC – Alameda High School,1255 S Wadsworth Blvd,Lakewood,CO,80232-5406,Jefferson
STRIDE CHC – Del Mar,10680 Del Mar Pkwy,Aurora,CO,80010-4011,Arapahoe
STRIDE CHC – East Colfax,9801 E Colfax Ave STE 130,Aurora,CO,80010-2155,Adams
