Site Name,Site Address,Site City,Site State,Site Zip Code,County
CI-York,201 W Main St,Niantic,CT,06357-1014,New London
New Haven Correctional Center,245 Whalley Ave,New Haven,CT,06511-3254,New Haven
CF-Youth Detention-Manson,42 Jarvis St,Cheshire,CT,06410-1503,New Haven
Mashantucket Health Clinic,2 Matts Path,Mashantucket,CT,06338-3804,New London
FCI-Danbury,33 1/2 Pembroke Rd,Danbury,CT,06811-2954,Fairfield
Leonard J. Tyl Middle School - School Based He...,166 Chesterfield Rd,Oakdale,CT,06370,New London
Montville High School - School Based Health Ce...,800 Old Colchester Rd,Oakdale,CT,06370-2608,New London
Norwich Free Academy - School Based Health Center,305 Broadway,Norwich,CT,06360-3547,New London
Norwich Technical High School - School Based H...,7 Mahan Dr,Norwich,CT,06360-2425,New London
UCFS at Global Studies Magnet Middle School,15 Teachers Dr,Norwich,CT,06360-4029,New London
UCFS at Kelly STEAM Magnet Middle School,25 Mahan Dr,Norwich,CT,06360-2432,New London
UCFS at Stanton Network Elementary School,386 New London Tpke,Norwich,CT,06360-5337,New London
UCFS Behavioral Health Center - Colchester,212 Upton Rd,Colchester,CT,06415-2756,New London
UCFS Behavioral Health Center - New London,351 N Frontage Rd STE 24,New London,CT,06320-2628,New London
UCFS Eldercare Health Center,165 McKinley Ave,Norwich,CT,06360-3509,New London
UCFS General Administration,34 E Town St,Norwich,CT,06360-2317,New London
UCFS Health Center - Norwich,47 Town St,Norwich,CT,06360-2323,New London
UCFS Health Center - Plainfield,120 Plainfield Rd,Moosup,CT,06354-1632,Windham
UCFS Health Center Griswold,226 E Main St,Griswold,CT,06351-2110,New London
UCFS School Based Health Center at Clark Lane ...,105 Clark Ln,Waterford,CT,06385-2120,New London
UCFS School Based Health Center at Waterford H...,20 Rope Ferry Rd,Waterford,CT,06385-2850,New London
Community Health and Wellness Center,10 Center St,Winsted,CT,06098-1623,Litchfield
Community Health and Wellness Center of Greate...,469 Migeon Ave,Torrington,CT,06790-4643,Litchfield
FISH Torrington Emergency Shelter,332 S Main St,Torrington,CT,06790-6767,Litchfield
Forbes Elementary School,500 Migeon Ave,Torrington,CT,06790-4644,Litchfield
Mobile Medical Unit,469 Migeon Ave BLDG,Torrington,CT,06790-4643,Litchfield
Oliver Wolcott Vocational Technical School,75 Oliver St,Torrington,CT,06790-3859,Litchfield
Southwest Elementary School,340 Litchfield St,Torrington,CT,06790-6411,Litchfield
Sullivan Senior Center,88 E Albert St,Torrington,CT,06790-6522,Litchfield
The Open Door Soup Kitchen,160 Main St,Winsted,CT,06098-1735,Litchfield
Torringford Elementary School,800 Charles St,Torrington,CT,06790-3495,Litchfield
Torrington High School,50 Major Besse Dr,Torrington,CT,06790-3721,Litchfield
Torrington Middle School,200 Middle School Dr,Torrington,CT,06790-3168,Litchfield
Torrington Soup Kitchen c/o Trinity Church,220 Prospect St,Torrington,CT,06790-5314,Litchfield
Vogel Whetmore Elementary School,68 Church St,Torrington,CT,06790-5217,Litchfield
"120 Connecticut Avenue, Norwalk, CT 06854",120 Connecticut Ave,Norwalk,CT,06854-1525,Fairfield
Mobile Van #1,120 Connecticut Ave,Norwalk,CT,06854-1525,Fairfield
Norwalk Community Health Center @ Smilow Life ...,55 Chestnut St,Norwalk,CT,06854-3622,Fairfield
BHcare,14 Sycamore Way,Branford,CT,06405-6551,New Haven
Clinton Avenue School Based Health Center,293 Clinton Ave,New Haven,CT,06513-2814,New Haven
East Haven High School,35 Wheelbarrow Ln,East Haven,CT,06513-2003,New Haven
Fair Haven Community Health Care at 150 Sargen...,150 Sargent Dr STE 1-300,New Haven,CT,06511-6100,New Haven
Fair Haven Community Health Care at Bishop Woo...,1481 Quinnipiac Ave,New Haven,CT,06513-1520,New Haven
FAIR HAVEN COMMUNITY HEALTH CENTER,374 Grand Ave,New Haven,CT,06513-3733,New Haven
Fair Haven Community Health Center @ 50 Grand,50 Grand Ave,New Haven,CT,06513-3949,New Haven
Fair Haven Community Health Center @ East Haven,370 Hemingway Ave,East Haven,CT,06512-3240,New Haven
Fair Haven K-8 School Based Health Center,164 Grand Ave,New Haven,CT,06513-3938,New Haven
Fair Haven Medical Group at Bella Vista,339 Eastern St,New Haven,CT,06513-2463,New Haven
Family Academy of Multi-Lingual Exploration (F...,255 Blatchley Ave,New Haven,CT,06513-3509,New Haven
John B. Sliney Elementary School,23 Eades St,Branford,CT,06405-3628,New Haven
John Martinez K-8 School Based Health Center,100 James St,New Haven,CT,06513-4222,New Haven
Joseph Melillo Middle School,67 Hudson St,East Haven,CT,06512-1524,New Haven
Leeway House,40 Albert St,New Haven,CT,06511-1542,New Haven
Mary R. Tisko Elementary School,118 Damascus Rd,Branford,CT,06405-3979,New Haven
Multicultural Ambulatory Addictions Services,426 East St,New Haven,CT,06511-5018,New Haven
Ross Woodward School Based Health Center,185 Barnes Ave,New Haven,CT,06513-1707,New Haven
Shoreline Family Health Care,221 W Main St,Branford,CT,06405-4022,New Haven
Wilbur Cross High School Body Shop,181 Mitchell Dr,New Haven,CT,06511-2515,New Haven
45 Wadsworth Street,45 Wadsworth St,Hartford,CT,06106-7108,Hartford
A.I. PRINCE TECHNICAL SCHOOL,500 Brookfield St,Hartford,CT,06106-3709,Hartford
CHARTER OAK HEALTH CENTER,401 New Britain Ave,Hartford,CT,06106-3833,Hartford
Charter Oak Health Center Annex at 39 Grand St...,39 Grand St,Hartford,CT,06106-4607,Hartford
Charter Oak Health Center Bloomfield,693 Bloomfield Ave,Bloomfield,CT,06002-2489,Hartford
"CHARTER OAK HEALTH CENTER, INC.",21 Grand St,Hartford,CT,06106-1541,Hartford
Charter Oak Health Center; 32 Grand Street,32 Grand St,Hartford,CT,06106-4658,Hartford
Hartford Youth Scholars,129 Allen Pl,Hartford,CT,06106-3102,Hartford
HOUSE OF BREAD,245 Locust St,Hartford,CT,06114-2017,Hartford
IMMACULATE CONCEPTION SHELTER,757 New Britain Ave,Hartford,CT,06106-3913,Hartford
OPEN HEARTH,27 Chestnut St,Hartford,CT,06120-2810,Hartford
Parkville Community Elemetary School,574 Park St,Hartford,CT,06106-4617,Hartford
Parkville Community School,437 Sheldon St,Hartford,CT,06106-1939,Hartford
SOUTH PARK INN,1755 Park St,Hartford,CT,06106-2160,Hartford
Thomas J. McDonough Middle School,47 New Park Ave,Hartford,CT,06106-2168,Hartford
"YWCA OF THE HARTFORD REGION, INC",75 Main St,Hartford,CT,06106-1806,Hartford
Community Health Services at Windsor,135 Broad St,Hartford,CT,06105-3718,Hartford
"STAYWELL HEALTH CARE, INC.",500 Albany Ave,Hartford,CT,06120-2508,Hartford
StayWell Health Center at St. V's,80 Phoenix Ave,Waterbury,CT,06702-1418,New Haven
StayWell Health Center at Western CT Mental He...,402 E Main St,Waterbury,CT,06702-1701,New Haven
StayWell Naugatuck Health Center,114 Benedict St,Waterbury,CT,06706-1007,New Haven
StayWell South End Health Center,95 Thomaston Ave,Waterbury,CT,06702-1007,New Haven
StayWell South End Health Center II,30 Church St,Naugatuck,CT,06770-4112,New Haven
"Bassick High School, School Based Health Clinic",1309 S Main St,Waterbury,CT,06706-1758,New Haven
Casa Recovery,1181 Fairfield Ave,Bridgeport,CT,06605-1183,Fairfield
