Site Name,Site Address,Site City,Site State,Site Zip Code,County
Community of Hope Conway Health and Resource C...,4 Atlantic St SW,Washington,DC,20032-2350,District of Columbia
Community of Hope Marie Reed Center,2155 Champlain St NW,Washington,DC,20009-2795,District of Columbia
Family Health and Birth Center -  Bladensburg ...,2120 Bladensburg Rd NE,Washington,DC,20018-1440,District of Columbia
Ketcham Elementary School,1919 15th St SE,Washington,DC,20020-4818,District of Columbia
Moten Elementary School,1565 Morris Rd SE,Washington,DC,20020-4435,District of Columbia
Roosevelt High School,4301 13th St NW,Washington,DC,20011-5629,District of Columbia
The Commons,2375 Elvans Rd SE,Washington,DC,20020-3543,District of Columbia
The Triumph,4225 6th St SE,Washington,DC,20032-3613,District of Columbia
Bancroft Elementary School (SBMH),1755 Newton St NW,Washington,DC,20010-1823,District of Columbia
Barnard Elementary School (SBMH),430 Decatur St NW,Washington,DC,20011-4745,District of Columbia
Bruce-Monroe Elementary School @ Parkview (SBMH),3560 Warder St NW,Washington,DC,20010-1721,District of Columbia
Capital City Public Charter School (SBMH),100 Peabody St NW,Washington,DC,20011-2212,District of Columbia
Clevelend Elementary School (SBMH),1825 8th St NW,Washington,DC,20001-3113,District of Columbia
Columbia Heights Educational Campus (SBMH),3101 16th St NW,Washington,DC,20010-3302,District of Columbia
Coolidge HS/Ida B Wells MS (SBHC),6315 5th St NW,Washington,DC,20011-1325,District of Columbia
DC Bilingual Public Charter School (SBMH),33 Riggs Rd NE,Washington,DC,20011-2463,District of Columbia
DC International Public Charter School (SBMH),1400 Main Dr NW,Washington,DC,20012-2822,District of Columbia
EL Haynes Public Charter School (SBMH),3600 Georgia Ave NW,Washington,DC,20010-1691,District of Columbia
EL Haynes Public Charter School (SBMH),4501 Kansas Ave NW,Washington,DC,20011-7256,District of Columbia
Fort Totten DC/Briya PCS/Bridges PCS,100 Gallatin St NE,Washington,DC,20011-7533,District of Columbia
H.D. Cooke Elementary School (SBMH),2525 17th St NW,Washington,DC,20009-2801,District of Columbia
Harriet Tubman Elementary School (SBMH),3101 13th St NW,Washington,DC,20010-2407,District of Columbia
Ingenuity Prep Public Charter School (SBMH),4600 Livingston Rd SE,Washington,DC,20032-3136,District of Columbia
Jackson-Reed High School (SBMH),3950 Chesapeake St NW,Washington,DC,20016-1858,District of Columbia
KIPP DC Benning Campus (SBMH),4801 Benning Rd SE,Washington,DC,20019-6145,District of Columbia
KIPP DC College Preparatory Campus (SBMH),1405 Brentwood Pkwy NE,Washington,DC,20002-2220,District of Columbia
KIPP DC Webb Campus (SBMH),1375 Mount Olivet Rd NE,Washington,DC,20002-2509,District of Columbia
Mary&#39;s Center - Adams Morgan DC,2333 Ontario Rd NW,Washington,DC,20009-2627,District of Columbia
Mary&#39;s Center - Petworth Health Center DC,3912 Georgia Ave NW,Washington,DC,20011-5861,District of Columbia
McFarland Middle School (SBMH),4400 Iowa Ave NW,Washington,DC,20011-5604,District of Columbia
Oyster Adams Bilingual School - Adams Campus (...,2020 19th St NW,Washington,DC,20009-1308,District of Columbia
Oyster Adams Bilingual School - Oyster Campus ...,2801 Calvert St NW,Washington,DC,20008-2666,District of Columbia
Powell Elementary School (SBMH),1350 Upshur St NW,Washington,DC,20011-5635,District of Columbia
Truesdell Elementary School (SBMH),800 Ingraham St NW,Washington,DC,20011-2904,District of Columbia
Bread for the City's Northwest Center,1525 7th St NW,Washington,DC,20001-3201,District of Columbia
The Michelle Obama Southeast Center of Bread f...,1700 Good Hope Rd SE,Washington,DC,20020-4708,District of Columbia
Kenilworth,1627 Kenilworth Ave NE,Washington,DC,20019-2010,District of Columbia
"Family and Medical Counseling Service, Inc.",2041 Martin Luther King Jr Ave SE STE 303,Washington,DC,20020-7036,District of Columbia
FMCS Mobile,2041 Martin Luther King Jr Ave SE,Washington,DC,20020-7024,District of Columbia
La Casa Community Health Action Center,3166 Mount Pleasant St NW,Washington,DC,20010-2747,District of Columbia
LA CLINICA DEL PUEBLO,2831 15th St NW,Washington,DC,20009-4607,District of Columbia
Anacostia Health Center,1500 Galen St SE,Washington,DC,20020-4913,District of Columbia
Brentwood Health Center,1251 Saratoga Ave NE # B,Washington,DC,20018-1025,District of Columbia
Cardozo Student Health Center,1200 Clifton St NW,Washington,DC,20009-5217,District of Columbia
CCNV Shelter,425 2nd St NW,Washington,DC,20001-2003,District of Columbia
Central Union Mission,65 Massachusetts Ave NW,Washington,DC,20001-1431,District of Columbia
Christ House,1717 Columbia Rd NW,Washington,DC,20009-2803,District of Columbia
Columbia Road Health Center,1660 Columbia Rd NW,Washington,DC,20009-3602,District of Columbia
Conway Behavioral Health Services,4420 Benning Rd NE,Washington,DC,20019-4555,District of Columbia
Downtown BID,1313 New York Ave NW Bsmt # 1,Washington,DC,20005-4701,District of Columbia
East of the River Health Center,4430 Benning Rd NE,Washington,DC,20019-4555,District of Columbia
Friendship Place,4713 Wisconsin Ave NW,Washington,DC,20016-4609,District of Columbia
H.D. Woodson Student Health Center,540 55th St NE,Washington,DC,20019-6799,District of Columbia
Harbor Light,2100 New York Ave NE,Washington,DC,20002-1826,District of Columbia
Hope Has A Home,4515 Edson Pl NE,Washington,DC,20019-4768,District of Columbia
Isaiah House,75 Hanover Pl NW,Washington,DC,20001-1252,District of Columbia
ISAQ Hampton,501 New York Ave NE,Washington,DC,20002,District of Columbia
Minnesota Ave Health Center,3946 Minnesota Ave NE,Washington,DC,20019-2661,District of Columbia
Minnesota Ave Health Center - Administrative O...,3936 Minnesota Ave NE,Washington,DC,20019-2661,District of Columbia
Mobile Outreach Van,1717 Columbia Rd NW,Washington,DC,20009-2803,District of Columbia
N Street Village,1333 N St NW,Washington,DC,20005-4599,District of Columbia
New York Avenue Shelter,1355 New York Ave NE,Washington,DC,20002-1620,District of Columbia
Parkside Health Center,765 Kenilworth Ter NE,Washington,DC,20019-1898,District of Columbia
Pathways to Housing,828 Evarts St NE,Washington,DC,20018-1722,District of Columbia
Patricia Handy Place,810 5th St NW,Washington,DC,20001-2622,District of Columbia
So Others Might Eat (SOME),60 O St NW,Washington,DC,20001-1259,District of Columbia
Southwest Health Center,850 Delaware Ave SW STE B,Washington,DC,20024-4208,District of Columbia
Stanton Road Health Center,3240 Stanton Rd SE,Washington,DC,20020-2910,District of Columbia
Temporary Site - ISAQ 1,1615 New York Ave NE,Washington,DC,20002-1725,District of Columbia
Temporary Site - ISAQ 2,1917 Bladensburg Rd NE,Washington,DC,20002,District of Columbia
Temporary Site - ISAQ 3,4400 Connecticut Ave NW,Washington,DC,20008-2301,District of Columbia
Temporary Site - ISAQ 4,10 I St SW,Washington,DC,20024-4266,District of Columbia
Temporary Site - PEP-V,2305 New York Ave NE,Washington,DC,20002-1905,District of Columbia
Temporary Site - Pep-V 2,1501 Rhode Island Ave NW,Washington,DC,20005-5504,District of Columbia
"Unity Health Care, Inc - Administrative Offices",1100 New Jersey Ave SE,Washington,DC,20003,District of Columbia
Upper Cardozo Health Center,3020 14th St NW,Washington,DC,20009-6837,District of Columbia
Elizabeth Taylor Medical Center,1377 R St NW STE 200,Washington,DC,20009-6293,District of Columbia
Whitman-Walker Health,1525 14th St NW,Washington,DC,20005-3706,District of Columbia
Whitman-Walker Health New Max Robinson,1201 Sycamore Dr SE,Washington,DC,20032-5956,District of Columbia
Metro Health Administrative Site,1012 14th St NW STE 310,Washington,DC,20005-3415,District of Columbia
Metro Health Main Site,1012 14th St NW,Washington,DC,20005,District of Columbia
