Site Name,Site Address,Site City,Site State,Site Zip Code,County
Florida Women's Reception Center,3700 NW 111th Pl,Ocala,FL,34482-1480,Marion
Florida Department of Health in Bradford Count...,1801 N Temple Ave,Starke,FL,32091-1960,Bradford
Florida Department of Health in Union County -...,495 E Main St,Lake Butler,FL,32054-1731,Union
FCI - Marianna,3625 FCI Rd,Marianna,FL,32446-7917,Jackson
RHN - Mobile,3706 N Roosevelt Blvd STE C,Key West,FL,33040-4566,Monroe
RHN - Suite C,3706 N Roosevelt Blvd STE D,Key West,FL,33040-4566,Monroe
RHN - Suite F,3706 N Roosevelt Blvd STE F,Key West,FL,33040-4566,Monroe
RHN Dental - Key West,3706 N Roosevelt Blvd STE E,Key West,FL,33040-4566,Monroe
RHN Medical,3706 N Roosevelt Blvd STE G,Key West,FL,33040-4566,Monroe
RHN Suite C Admin,3706 N Roosevelt Blvd STE C,Key West,FL,33040-4566,Monroe
Federal Correctional Institution - Tallahassee,501 Capital Cir NE,Tallahassee,FL,32301-3558,Leon
Bond Community Health Center (Main Site),1720 S Gadsden St,Tallahassee,FL,32301-5506,Leon
Bond Community Health Center (Mobile Unit),1720 S Gadsden St,Tallahassee,FL,32301-5506,Leon
Bond Community Health Center Specialty & Commu...,1549 S Monroe St,Tallahassee,FL,32301-4312,Leon
Bond on Magnolia,2200 S Monroe St,Tallahassee,FL,32301-6303,Leon
The Smile Connection at Sabal Palm,2813 Ridgeway St,Tallahassee,FL,32310-5003,Leon
BRIGHTON HEALTH CENTER,17201 Civic St NE,Okeechobee,FL,34974-2729,Glades
CLARK CLINIC INC,212 S Florida St,Bushnell,FL,33513-6703,Sumter
6645 Willow Park,6645 Willow Park Dr,Naples,FL,34109-8989,Collier
Children&#39;s Care East,6350 Davis Blvd STE 1001,Naples,FL,34104-5323,Collier
CHS-FSU Primary Care,1441 Heritage Blvd,Immokalee,FL,34142-2260,Collier
Countryside Dental,1749 Heritage Trl STE 801,Naples,FL,34112-7591,Collier
CREEKSIDE PEDIATRICS,1265 Creekside Pkwy STE 208,Naples,FL,34108-1954,Collier
Family Care North,"1265 Creekside Pkwy, Ste 206",Naples,FL,34108-1954,Collier
Friendship Health Center,"2355 Stanford Ct, Apt 701",Naples,FL,34112-4813,Collier
Health and Smiles,1454 Madison Ave W,Immokalee,FL,34142-2200,Collier
Healthcare Network Apple Pediatrics,7795 Davis Blvd STE 206,Naples,FL,34104-5373,Collier
Immokalee Family Care Center,"508 N 9th St, Unit 142",Immokalee,FL,34142-2948,Collier
MARION E FETHER MEDICAL CENTER,1454 Madison Ave W,Immokalee,FL,34142-2200,Collier
Nichols Community Health Center,12655 Collier Blvd,Naples,FL,34116-4005,Collier
Nichols Pediatric Center,5450 Ymca Rd,Naples,FL,34109-5944,Collier
RONALD MCDONALD CARE MOBILE,1454 Madison Ave W,Immokalee,FL,34142-2200,Collier
Total Women's Care of Naples,"1890 SW Health Pkwy, Ste 203",Naples,FL,34109-0473,Collier
CHC Admin - Purchasing,603 S Main St STE 150,Winter Garden,FL,34787-3997,Orange
COMMUNITY HEALTH CENTER - APOPKA DENTAL CARE,210 E 7th St,Apopka,FL,32703-5328,Orange
COMMUNITY HEALTH CENTER - APOPKA FAMILY & OB CARE,225 E 7th St,Apopka,FL,32703-5327,Orange
COMMUNITY HEALTH CENTER - APOPKA PEDIATRIC CARE,618 S Forest Ave,Apopka,FL,32703-5338,Orange
COMMUNITY HEALTH CENTER - BITHLO FAMILY CARE,19108 E Colonial Dr,Orlando,FL,32820-3701,Orange
COMMUNITY HEALTH CENTER - Call Center,301 W Crown Point Rd,Winter Garden,FL,34787,Orange
Community Health Center - Forest City Family &...,7900 Forest City Rd,Orlando,FL,32810-3002,Orange
"COMMUNITY HEALTH CENTER - GROVELAND FAMILY, PE...",1296 W Broad St,Groveland,FL,34736-2012,Lake
COMMUNITY HEALTH CENTER - INFORMATION SERVICES...,184 S Dillard St,Winter Garden,FL,34787-3560,Orange
COMMUNITY HEALTH CENTER - LAKE ELLENOR PEDIATR...,6101 Lake Ellenor Dr STE 106,Orlando,FL,32809-4616,Orange
COMMUNITY HEALTH CENTER - LEESBURG Family Medi...,225 N 1st St,Leesburg,FL,34748-5150,Lake
