Site Name,Site Address,Site City,Site State,Site Zip Code,County
Pohnpei Community Health Center,Sekirinpeilapalap Street,Kolonia,FM,96941,Pohnpei
Central,"Keng Street, Weloy",Colonia,FM,NaN,Yap
Gagil,"Miniw St., Gagil",Colonia,FM,NaN,Yap
Maap/Rumung,"Tomakaw St., Maap",Colonia,FM,NaN,Yap
Marbaa',Okaw Road,Weloy,FM,96943,Yap
Nimgil,"Baldanig St., Kanifay",Colonia,FM,NaN,Yap
Tomil,"Tamor St, Tomil",Colonia,FM,NaN,Yap
Wa’ab Community Health Center,"Keng St, Weloy",Colonia,FM,NaN,Yap
Neou,Chuuk CHC - Neou Site125 Neou street,Neou Chuuk State,FM,96942,Chuuk
Nepukos,PO BOX 375,Chuuk,FM,96942,Chuuk
Sapuk,100 Roosevelt Road Chuuk FSM 96942,Chuuk,FM,96942,Chuuk
KCHC Administrative Site,Suite 101 KDC Building,Kosrae,FM,96944,Kosrae
Tafunsak Community Health Center,"BMC Compound, Airport Road",Kosrae,FM,96944,Kosrae
Tafunsak Health Center,"Airport Road,",Tafunsak,FM,96944,Kosrae
Tofol Dental site,Kosrae High School Campus,Kosrae,FM,96944,Kosrae
Utwa Health Center,"Finkol Road, Utwa Kosrae",NaN,FM,96944,Kosrae
Walung Health Center,Pilyucul Road,Kosrae,FM,96944,Kosrae
