Site Name,Site Address,Site City,Site State,Site Zip Code,County
ICE-Stewart,146 Cca Rd,Lumpkin,GA,31815-3823,Stewart
FCI-Jesup,2600 US-301,Jesup,GA,31599-0001,Wayne
Coastal State Prison,200 Gulfstream Rd,Savannah,GA,31408-9677,Chatham
Georgia Diagnostic Class Prison,2978 Highway 36 W,Jackson,GA,30233-6150,Butts
Hays State Prison,777 Underwood Dr,Trion,GA,30753-1500,Chattooga
Georgia State Prison,300 1st Ave S,Reidsville,GA,30453-9304,Tattnall
Johnson State Prison,290 Donovan Harrison Rd,Wrightsville,GA,31096-5045,Johnson
"213 N. McDonald Street Suite C, Ludowici, GA 3...",213 N Mcdonald St STE C,Ludowici,GA,31316-6075,Long
Diversity Health Center Hinesville,303 Fraser Dr,Hinesville,GA,31313-3712,Liberty
"Diversity Health Center, Inc.- Long County","213 N McDonald St, Ste A",Ludowici,GA,31316-6075,Long
"Diversity Health Center, Inc.-301 Fraser Dr.",301 Fraser Dr,Hinesville,GA,31313-3749,Liberty
"Diversity Health Center, Inc.-Fraser Dr. Admin...",301 Fraser Dr UNIT B,Hinesville,GA,31313-3751,Liberty
"Diversity Health Center, Inc.-Mobile",213 N Mcdonald St,Ludowici,GA,31316-6075,Long
"Diversity Health Center, Inc.-Mobile Dental",213 N Mcdonald St,Ludowici,GA,31316-6075,Long
"Diversity Health Center, Inc.-Stewart Way Office",502 E General Stewart Way,Hinesville,GA,31313-2642,Liberty
"Diversity Health Center, Inc.-Wayne County",244 Peachtree St,Jesup,GA,31545-0212,Wayne
KIPP Woodson Park Academy School Based Health ...,1571 Donald Lee Hollowell Pkwy NW BLDG,Atlanta,GA,30318-5049,Fulton
Martin Luther King Middle School,545 Hill St SE,Atlanta,GA,30312-3051,Fulton
Toomer Elementary School,65 Rogers St SE,Atlanta,GA,30317-2237,DeKalb
Whitefoord Dental Satellite,35 Whitefoord Ave SE,Atlanta,GA,30317-1727,DeKalb
Whitefoord Health Center,1401 Hosea L Williams Dr SE,Atlanta,GA,30317-1703,DeKalb
Whitefoord Inc.,1353 George W Brumley Way SE,Atlanta,GA,30317-1743,DeKalb
"Oconee Valley Healthcare, Inc. Greensboro",803 S Main St,Greensboro,GA,30642-1211,Greene
"Oconee Valley Healthcare, Inc. Lake Oconee",1041 Park Dr,Greensboro,GA,30642-3465,Greene
"Oconee Valley Healthcare, Inc. Milledgeville",510 N Cobb St,Milledgeville,GA,31061-2635,Baldwin
"Oconee Valley Healthcare, Inc. River Edge",60 GA Highway 22 W,Milledgeville,GA,31061-6606,Baldwin
"Oconee Valley Healthcare, Inc. Wellness Center",1040 Park Dr,Greensboro,GA,30642-3466,Greene
WRENS PHYSICIANS' HEALTH GROUP,400 Canterbury Dr,Wrens,GA,30833-4072,Jefferson
Southwest Georgia Healthcare Clinics - Holley ...,219 S Wiley Ave,Donalsonville,GA,39845-1628,Seminole
Southwest Georgia Healthcare Clinics -WMSG,804 N Wiley Ave,Donalsonville,GA,39845-1120,Seminole
Southwest Georgia Pediatric CLinic,205 Bresee St,Donalsonville,GA,39845-1134,Seminole
Daybreak Center Suite A,174 Walnut St,Macon,GA,31201-3440,Bibb
FCPC Bibb County Health Dept,171 Emery Hwy,Macon,GA,31217-3666,Bibb
FCPC South Macon,2525 2nd St,Macon,GA,31206-2223,Bibb
First Choice Atrium Transitional Care,777 Hemlock St,Macon,GA,31201-2102,Bibb
First Choice HHC Transitional Care,1601 Watson Blvd,Warner Robins,GA,31093-3431,Houston
FIRST CHOICE PRIMARY CARE INC.,770 Walnut St,Macon,GA,31201-2635,Bibb
First Choice Primary Care Poplar St,400 Poplar St,Macon,GA,31201-3336,Bibb
First Choice Primary Care Warner Robins,207 Green St,Warner Robins,GA,31093-2727,Houston
Ingram Pye Health Center,855 Anthony Rd,Macon,GA,31204-6266,Bibb
Good Samaritan Health & Wellness Center,175 Samaritan Dr,Jasper,GA,30143-1964,Pickens
MAP @ Burke County SBSS,352 Southside Dr,Waynesboro,GA,30830-4561,Burke
